c/n,f/f,operator,type,St
,31.01.94,Trent-PR 330,*330-341,
30,22.06.93,Air Inter ,330-301 ,
37,20.10.93,Air Inter ,330-301 ,
45,31.01.94,Air Inter ,330-301 ,
50,28.03.94,Thai AW Int ,330-321 ,STD
54,24.02.94,Aer Lingus lsd,330-301 ,
55,17.03.94,Aer Lingus lsd,330-301 ,
59,01.06.94,Air Inter ,330-301 ,
60,10.08.94,Thai AW Int ,330-321 ,SCR
62,12.08.94,Thai AW Int ,330-321 ,SCR
64,25.11.94,Thai AW Int ,330-321 ,SCR
65,13.01.95,Thai AW Int ,330-321 ,SCR
66,02.03.95,Thai AW Int ,330-321 ,STD
67,10.02.95,Malaysian AS,330-322 ,SCR
68,08.09.94,Malaysian AS,330-322 ,W/O
69,28.09.94,Malaysian AS,330-322 ,SCR
70,27.10.94,Aer Lingus lsd,330-301 ,
71,27.08.94,Cathay Pacific,330-342 ,
72,26.01.95,LTU lsd,330-321 ,
73,08.03.95,Malaysian AS,330-322 ,SCR
77,21.03.95,Malaysian AS,330-322 ,SCR
82,24.11.94,LTU Int'l AW lsd,330-322 ,
83,09.02.95,Cathay Pacific,330-342 ,
86,21.12.94,Aer Lingus,330-301 ,
87,01.03.95,LTU lsd,330-322 ,
95,07.04.95,LTU lsd,330-321 ,
96,12.04.95,Malaysian AS lsd,330-321 ,
98,05.04.95,Dragonair lsd,330-342 ,
99,23.05.95,Cathay Pacific,330-342 ,
100,05.05.95,Malaysian AS,330-322 ,SCR
102,09.06.95,Cathay Pacific,330-342 ,
106,18.06.95,Dragonair lsd,330-342 ,
107,22.06.95,Malaysian AS,330-322 ,SCR
109,06.07.95,Cathay Pacific,330-342 ,
110,18.07.95,Malaysian AS,330-322 ,SCR
111,05.09.95,Dragonair lsd,330-342 ,
112,29.08.95,Thai AW Int ,330-321 ,STD
113,03.10.95,Cathay Pacific,330-342 ,
116,05.10.95,Malaysian AS,330-322 ,
118,08.11.95,Cathay Pacific,330-342 ,
119,21.11.95,Malaysian AS,330-322 ,SCR
120,13.02.96,LTU Int'l AW,330-322 ,
121,18.12.95,Cathay Pacific,330-342 ,
122,17.11.95,Thai AW Int ,330-321 ,STD
127,26.01.96,LTU Int'l AW,330-322 ,
132,15.03.96,Cathay Pacific,330-342 ,
138,21.11.96,Garuda,330-341 ,C
140,06.12.96,Garuda Indonesian AW,330-341 ,C
143,22.08.96,Malaysian AS lsd,330-322 ,
144,09.01.97,Garuda Indonesian AW,330-341 ,C
148,31.01.97,Garuda,330-341 ,C
153,27.02.97,Garuda Indonesian AW,330-341 ,C
155,17.10.96,Cathay Pacific,330-341 ,
162,29.01.97,Korean Air,330-322 ,C
165,20.03.97,Garuda,330-341 ,C
171,02.04.97,LTU ,330-322 ,
172,28.04.97,Korean Air,330-322 ,C
177,07.06.97,Dragonair lsd,330-342 ,
181,13.08.97,PROTO 330-200 #1,330-202 ,
183,09.07.97,Philippine AL ,330-301 ,
184,28.07.97,Philippine AL ,330-301 ,
188,29.08.97,Philippine AL ,330-301 ,
189,15.10.97,Philippine AL ,330-301 ,
191,05.09.97,Philippine AL ,330-301 ,
195,04.12.97,PROTO 330-200 #2,330-200 ,
198,26.11.97,Philippine AL ,330-301 ,
200,17.12.97,Philippine AL ,330-301 ,
203,16.01.98,Philippine AL ,330-301 ,
205,20.01.98,Canada 3000 lsd,330-202 ,
206,15.04.98,Korean Air,330-322 ,
209,15.04.98,Thai AW Int ,330-322 ,
211,27.03.98,Canada 3000,330-202 ,
219,12.05.98,Korean Air,330-322 ,W/O
222,10.07.98,Korean Air,330-223,
223,15.07.98,Austrian AL ,330-223,
224,30.09.98,Thai AW Int ,330-322 ,SCR
226,21.08.98,Korean Air,330-222 ,
229,10.08.98,Swissair,330-223 ,
230,28.08.98,Sabena,330-222 ,
231,21.08.98,Thai AW Int ,330-322 ,
232,08.10.98,TAM Brazil lsd,330-223,
234,22.09.98,Dragonair ,330-342 ,
238,12.10.98,TAM Brazil lsd,330-223,
241,12.11.98,Korean Air,330-322 ,C
244,04.11.98,Cathay Pacific,330-342 ,
247,07.12.98,TAM Brazil lsd,330-223,SCR
248,18.12.98,Emirates AL ,330-243,
249,23.11.98,Swissair,330-223,
250,13.01.99,Air Transat lsd,330-243,
251,26.01.99,Emirates AL,330-243,
253,07.01.99,Swissair lsd,330-223,
254,06.04.99,Airtours International,330-243,
255,15.01.99,Swissair lsd,330-223,
256,05.01.99,Korean Air,330-323X,C
258,09.02.99,Korean Air,330-223,
259,03.02.99,TAM Brazil,330-223,
261,09.03.99,Monarch AL,330-243,
262,12.02.99,Swissair lsd,330-223,
265,23.02.99,Monarch AL,330-243,
266,04.06.99,Airtours International,330-243,
267,16.04.99,Korean Air,330-323X,C
269,13.04.99,Aer Lingus,330-202,
271,17.03.99,Air Transat lsd,330-243,
272,07.05.99,Canada 3000 lsd,330-202,
275,23.04.99,Swissair,330-223,
276,27.05.99,Gulf Air,330-243,
277,07.06.99,Air Canada,330-343E,C
279,30.08.99,Air Canada,330-343E,C
281,03.06.99,Gulf Air,330-243,
283,23.06.99,Emirates AL,330-243,
284,01.10.99,Air Canada,330-343E,C
285,16.06.99,Corsair,330-243,C
286,24.06.99,Gulf Air,330-243,
287,21.06.99,Gulf Air,330-243,
288,30.06.99,Swissair,330-223,
290,19.07.99,Sabena lsd,330-223,
291,13.07.99,Swissair,330-223,
293,15.07.99,Emirates AL,330-243,
294,27.08.99,Swissair lsd,330-223,
295,19.08.99,Emirates AL,330-243,
296,08.09.99,Sabena lsd,330-223,
299,17.09.99,Swissair,330-223,
300,29.10.99,Sabena lsd,330-223,
301,22.10.99,Airtours International,330-243,
303,07.10.99,Srilankan AL,330-243,C
305,14.10.99,Flightlease,330-223,
306,07.10.99,Srilankan AL,330-243,C
308,09.11.99,Swissair,330-223,
309,25.11.99,Airtours International,330-243,
311,25.11.99,Srilankan AL,330-243,C
312,26.11.99,Swissair,330-223,
313,07.12.99,Srilankan AL,330-243,
314,23.12.99,Emirates AL,330-243,
315,07.03.00,US AW,330-323X,
316,05.01.00,Emirates AL,330-243,
317,20.12.99,Austrian AL lsd,330-223,
320,21.03.00,Corsair,330-243,SCR
322,18.01.00,Sabena,330-223,
323,31.03.00,US AW,330-323X,
324,27.01.00,Sabena,330-223,
326,15.02.00,Emirates AL,330-243,
328,07.03.00,Emirates AL,330-243,
330,04.04.00,Aer Lingus lsd,330-202,
333,06.04.00,US AW lsd,330-323X,
334,28.04.00,Gulf Air,330-243,
336,12.04.00,Srilankan AL,330-243,W/O
337,03.05.00,US AW lsd,330-323X,
338,16.05.00,Korean Air,330-323X,C
339,15.05.00,Canada 3000 lsd,330-202,
340,17.04.00,Gulf Air,330-243,
341,03.05.00,Srilankan AL,330-243,W/O
342,15.06.00,US AW lsd,330-323X,
343,18.05.00,Swissair,330-223,
344,15.06.00,Air Canada,330-343E,C
345,13.09.00,Emirates AL,330-243,
346,06.06.00,Thai AW Int,330-323X,STD
348,30.08.00,Emirates AL,330-243,
349,30.06.00,Airtours/Premiair,330-343,
350,07.07.00,Korean Air,330-323X,C
351,26.07.00,Korean Air,330-323X,C
353,30.08.00,Fll/Novair AL,330-223,
356,20.07.00,Airtours/Premiair,330-343E,
357,10.08.00,Airtours/Premiair,330-343E,
358,08.09.00,Air Afrique lsd,330-223,
361,05.10.00,TAM Brasil,330-223,
362,26.09.00,Novair AL lsd ,330-223,
364,17.10.00,Air Afrique lsd,330-223,
365,25.10.00,Emirates AL,330-243,
366,01.07.00,Swissair,330-223,
368,08.11.00,Korean Air,330-323X,C
369,08.11.00,Edelweiss Air lsd,330-243,
370,15.11.00,US AW lsd,330-323X,
372,20.11.00,Emirates AL,330-243,
375,14.12.00,US AW lsd,330-323X,
380,08.01.01,US AW,330-323X,
382,12.01.01,Emirates AL,330-243,SCR
384,21.12.00,Emirates AL,330-243,SCR
386,18.01.01,Cathay Pacific,330-343E,
388,12.02.01,US AW,330-323X,
