c/n,f/f,operator,type,St
389,25.01.01,Cathay Pacific,330-343E,
392,09.03.01,Emirates AL,330-243,
393,13.03.01,Cathay Pacific,330-343E,
396,21.02.01,Emirates AL,330-243,
397,16.03.01,Aer Lingus,330-202,
398,09.04.01,bmi British Midland,330-243,
400,23.03.01,Air Canada,330-343E,C
401,13.04.01,bmi British Midland,330-243,
403,03.04.01,LTU Int'l AW,330-223,
404,09.05.01,bmi British Midland lsd,330-243,
405,27.04.01,Dragonair,330-343E,
407,21.05.01,Dragonair lsd,330-343E,
408,28.05.01,Air Canada,330-343E,C
409,15.05.01,Emirates AL,330-243,
412,12.06.01,Air Canada,330-343E,C
418,25.07.01,Cathay Pacific AW,330-343E,C
419,30.07.01,Air Canada,330-343E,C
420,10.08.01,Cathay Pacific AW,330-343E,C
421,07.09.01,Cathay Pacific AW,330-343E,C
422,24.08.01,Air France lsd,330-203,C
423,11.09.01,Cathay Pacific AW,330-343E,C
425,03.09.01,Korean Air,330-323X,
427,09.10.01,JMC AL lsd,330-243,
428,12.09.01,Korean Air,330-323X,C
432,09.10.01,LTU Int'l AW lsd,330-223,
437,07.11.01,Emirates AL,330-243,
439,14.11.01,Cathay Pacific AW,330-343E,
441,27.11.01,Qatar AW,330-203*202,
443,29.11.01,Air France,330-203,C
444,16.01.02,LTU Int'l AW lsd,330-223,
448,09.01.02,Air France lsd,330-203,C
451,09.01.02,Emirates AL,330-243,
452,04.02.02,Emirates AL,330-243,
454,22.01.02,LTU Int'l AW lsd,330-223,
455,04.02.03,Emirates AL,330-243,
456,07.02.02,JMC AL lsd,330-243,
458,25.02.02,Air France lsd,330-203,C
461,19.03.02,Iberworld lsd,330-243,
462,19.02.02,Emirates AL lsd,330-243,
463,19.11.02,Volare AL lsd,330-203,
465,12.03.02,Air France lsd,330-203,C
466,26.03.02,TAM lsd,330-203,
469,11.03.02,LTU Int'l AW lsd,330-223,
472,30.04.02,TAM lsd,330-203,
473,22.04.02,Qatar AW,330-203,
476,30.04.02,LTU Int'l AW lsd,330-223,
477,29.04.02,TAM lsd,330-203,
479,28.05.02,Dragonair,330-343E,
480,27.05.02,Air Transat lsd,330-243,
481,06.06.02,Air France lsd,330-203,C
484,02.07.02,Korean Air,330-323X,C
486,05.06.02,TAM lsd,330-203,
487,25.06.02,Qatar AW,330-203,C
490,18.07.02,Korean Air,330-323X,C
493,05.07.02,LTU Int'l AW lsd,330-223,
494,22.07.02,Emirates AL,330-243,
496,20.09.02,SAS lsd,330-343E,
497,03.09.02,SAS lsd,330-343E,
498,19.10.02,Air France,330-203,C
500,11.09.02,Air France lsd,330-203,C
501,25.10.02,Star AL lsd,330-243,
502,24.09.02,Air France lsd,330-203,C
503,08.10.02,Air France lsd,330-203,C
504,06.11.02,Volare AL lsd,330-203,
505,21.10.02,Cyprus AW lsd,330-243,
506,07.02.03,Qantas,330-201,
507,23.11.02,Air Caledonie Int'l,330-202,
508,11.10.02,Qantas,330-201,
509,16.12.02,Emirates AL,330-243,
510,23.11.02,Air Caledonie Int'l,330-202,
511,17.01.03,Qatar AW,330-203,
512,26.11.02,Dragonair,330-343E,
513,07.02.03,Qantas,330-201,
515,16.01.03,SAS lsd,330-343E,
516,03.02.03,Air France lsd,330-203,C
519,17.02.03,Air France lsd,330-203,C
521,10.03.03,Qatar AW,330-203,
522,26.11.02,Qantas,330-201,
524,09.01.03,Northwest AL,330-323X,
525,28.02.03,Emirates AL,330-243,
526,21.03.03,Cyprus AW lsd,330-243,
527,04.04.03,MEA-Middle East AL lsd,330-243,
529,27.03.03,MEA-Middle East AL lsd,330-243,
530,04.06.03,EVA Air lsd,330-203,
532,10.04.03,MEA-Middle East AL lsd,330-243,
533,06.06.03,Northwest AL,330-323X,C
535,12.05.03,EVA Air lsd,330-203,
536,28.04.03,Emirates AL,330-243,
539,07.07.03,Cathay Pacific AW,330-343E,C
542,29.08.03,Northwest AL,330-323X,
548,08.09.03,Cathay Pacific AW,330-343E,C
549,09.09.03,Northwest AL,330-323X,
550,07.08.03,Korean AL,330-323X,C
551,12.11.03,Livingston AL lsd,330-243,
552,09.10.03,Northwest AL,330-323X,
553,05.11.03,Qantas,330-301,C
555,12.06.03,EVA AW lsd,330-203,
558,10.10.03,Qantas,330-301,C
564,18.11.03,Qantas,330-301,C
565,07.11.03,Cathay Pacific AW,330-343E,C
567,10.01.04,Air France,330-203,C
568,08.12.03,SAS lsd,330-343E,
570,09.02.04,Lufthansa,330-343E,
571,02.03.04,Qatar AW,330-203,
573,09.01.04,EVA AW lsd,330-203,
574,09.01.04,Qantas,330-303,C
576,19.01.04,Lufthansa,330-343E,
578,10.02.04,Northwest AL,330-323X,
579,30.01.04,Lufthansa,330-343E,
581,02.03.04,Dragonair lsd,330-343E,
584,13.03.04,Air France lsd,330-203,C
587,18.03.04,EVA AW lsd,330-203,
588,01.03.04,Northwest AL,330-323X,
591,25.03.04,Northwest AL,330-323X,
593,23.04.04,Qantas,330-303,C
595,29.03.04,Qantas,330-303,C
597,27.05.04,Livingston AL lsd,330-243,
602,19.05.04,China AL,330-302,C
603,03.05.04,Qantas,330-303,C
605,09.06.04,Qatar AW,330-203*202CJ,
607,10.06.04,China AL,330-302,C
609,08.06.04,Northwest AL,330-223,
612,29.07.04,Qatar AW lsd,330-202,
614,23.07.04,Northwest AL,330-223,
616,25.06.04,Qatar AW lsd,330-202,
618,08.07.04,Northwest AL,330-223,
620,26.08.04,Northwest AL,330-223,
621,23.07.04,Northwest AL,330-223,
623,10.09.04,Qatar AW,330-302,
625,02.09.04,Yemenia AW lsd,330-243,
627,10.09.04,Livingston AL lsd,330-243,
629,27.08.04,Lufthansa,330-343E,
631,05.10.04,Northwest AL,330-223,
632,28.09.04,Yemenia AW lsd,330-243,
633,06.10.04,Northwest AL,330-223,
634,11.10.04,EVA Air lsd,330-203,
635,29.10.04,Star AL lsd,330-243,
636,18.10.04,Lufthansa,330-343E,
637,17.11.04,Qatar AW,330-302,STD
638,26.11.04,Qatar AW,330-202,
640,10.11.04,Asiana AL,330-323X,C
641,25.11.04,China AL,330-302,C
642,08.11.04,Lufthansa,330-343E,C
644,06.12.04,Air Algerie,330-202,C
645,16.12.04,Lufthansa,330-343E,
647,13.01.05,Air Algerie,330-202,C
648,17.01.05,Lufthansa,330-343E,
649,01.02.05,China Southern AL,330-243,C
650,12.01.05,Air Algerie,330-202,C
652,23.02.05,China Southern AL,330-243,C
653,27.01.05,Air Algerie,330-202,C
654,25.02.05,Dragonair lsd,330-343E,
655,24.02.05,EVA Air lsd,330-203,
656,11.03.05,China Southern AL,330-243,C
657,15.02.05,Air France,330-203,C
658,29.04.05,Etihad AW lsd,330-243,STD
659,30.03.05,Qatar AW,330-302,
660,25.02.05,Air France,330-203,W/O
661,22.03.05,EVA Air lsd,330-203,
662,12.04.05,Dragonair lsd,330-343E,
663,31.03.05,Northwest AL,330-323X,
664,19.05.05,China Southern AL,330-243,C
665,04.05.05,Eurofly lsd,330-223,
666,25.03.05,Egyptair,330-243,C
667,11.04.05,Air Algerie,330-202,C
669,23.05.05,Cathay Pacific AL lsd,330-343E,
670,03.06.05,Iberworld lsd,330-343E,
671,22.04.05,China AL,330-302,C
673,27.05.05,Cathay Pacific AL lsd,330-343E,
674,13.05.05,Northwest AL,330-323X,
675,17.05.05,China AL,330-302,C
676,16.06.05,Asiana AL,330-323X,C
678,23.06.05,EVA Air,330-203,C
679,16.06.05,Cathay Pacific AL lsd,330-343E,
680,27.07.05,Qatar AW,330-302,C
682,01.08.05,KLM,330-203,C
683,27.06.05,Egyptair,330-243,C
684,08.07.05,Qatar AW lsd,330-202,
686,19.07.05,KLM,330-203,C
687,07.07.05,Lufthansa,330-343E,C
688,28.07.05,Etihad AW lsd,330-243,STD
690,21.07.05,Northwest AL,330-323X,
691,18.08.05,China AL,330-302,C
692,06.10.05,Dragonair lsd,330-343E,
693,07.09.05,EVA Air,330-203,C
695,30.08.05,Qantas,330-303,C
696,16.09.05,Egyptair,330-243,
697,31.08.05,THY Turkish AL,330-203,C
699,13.09.05,China AL,330-302,C
700,07.10.05,TAM lsd,330-203,
701,26.09.05,Lufthansa,330-343E,
703,26.10.05,KLM,330-203,C
704,15.11.05,THY Turkish AL,330-203,C
705,11.10.05,Qantas,330-303,C
707,24.10.05,China AL,330-302,C
708,16.11.05,Asiana AL,330-323X,C
711,01.12.05,Qatar AW,330-302,C
712,30.11.05,Qantas,330-303,C
713,21.12.05,China Eastern AL,330-343E,
714,07.12.05,China AL,330-302,C
716,22.11.05,Dragonair lsd,330-343E,
717,09.01.06,Etihad AW,330-243,
718,04.01.06,Northwest AL,330-223,
720,02.12.05,China Eastern AL,330-343E,
721,19.01.06,Qatar AW,330-302,C
722,19.01.06,Northwest AL,330-223,
724,27.01.06,Etihad AW,330-243,STD
725,02.01.06,China AL lsd,330-302,
726,03.02.06,Egyptair,330-243,C
728,17.01.06,China Eastern AL,330-243,
729,14.02.06,Etihad AW,330-243,STD
730,02.03.06,Etihad AW,330-243,STD
732,02.02.06,China Eastern AL,330-243,
733,08.03.06,Air Europa lsd,330-202,
734,24.02.06,Qatar AW,330-302,C
735,20.02.06,China Eastern AL,330-243,
737,22.03.06,Etihad AW,330-243,STD
738,08.04.06,KLM,330-203,C
739,21.03.06,LTU Int'l AW lsd,330-223,
741,02.03.06,Dragonair lsd,330-343E,
742,29.03.06,THY Turkish AL,330-203,C
743,31.03.06,Qatar AW,330-202,C
745,15.03.06,Air Europa lsd,330-202,
746,24.04.06,Qatar AW,330-202,C
747,30.03.06,Royal Australian AF,330-203MRTT,
749,28.04.06,Air Europa lsd,330-202,
750,04.05.06,Air China,330-243,C
751,20.04.06,Jet AW lsd,330-243,
752,27.04.06,China AL,330-302,C
754,09.06.06,THY Turkish AL,330-203,C
755,26.04.06,EVA AW,330-203,C
756,01.06.06,Air China,330-243,C
758,08.06.06,Air Caraibes lsd,330-323X,C
759,18.05.06,Air China,330-243,C
760,04.07.06,Qatar AW,330-202,
769,22.06.06,China AL,330-302,
770,26.07.06,KLM,330-203,C
772,02.06.06,Asiana AL,330-323X,C
773,20.06.06,China Eastern AL lsd,330-343E,
774,11.07.06,THY Turkish AL,330-203,C
776,04.07.06,Cathay Pacific AW lsd,330-342,C
777,29.08.06,China Eastern AL,330-343E,
778,10.08.06,Northwest AL,330-223,
780,30.08.06,Air China,330-243,C
781,04.09.06,China Eastern AL,330-343E,
782,01.08.06,China Eastern AL,330-343E,
784,10.10.06,Northwest AL,330-323E,
785,26.09.06,Air China,330-243,STD
786,09.10.06,Dragonair lsd,330-343E,
788,31.10.06,Etihad AW,330-243,STD
789,28.09.06,Qatar AW,330-302,
791,15.09.06,China Eastern AL,330-343E,
792,12.10.06,Qatar AW,330-202,C
795,24.10.06,Thomas Cook AL lsd,330-243,
796,18.10.06,Northwest AL,330-223,
797,31.10.06,Air China,330-243,C
799,30.11.06,Northwest AL,330-323X,
801,13.11.06,KLM,330-203,C
802,23.11.06,Eurofly lsd,330-223,
803,15.11.06,Asiana AL,330-323X,C
806,01.12.06,Northwest AL,330-323X,
807,29.11.06,Jet AW lsd,330-243,
809,11.01.07,Etihad AW,330-243,STD
810,05.12.06,Air China,330-243,
811,20.12.06,KLM lsd,330-203,
813,21.12.06,Qatar AW,330-302,C
814,01.02.07,Air Europa lsd,330-203,
815,12.01.07,Air China,330-243,
817,19.01.07,Northwest AL,330-323X,
818,06.02.07,China Southern AL,330-243,
819,24.01.07,KLM lsd,330-203,
820,31.01.07,Qatar AW,330-202,
821,21.02.07,China Eastern AL,330-243,C
822,13.02.07,Air Comet lsd,330-223,
823,19.02.07,China AL,330-302,C
824,14.03.07,Etihad AW,330-243,
825,28.02.07,Jet AW slsd,330-202,
826,27.02.07,Qatar AW,330-302,C
827,14.03.07,Northwest AL,330-323X,
828,13.03.07,LTU Int'l AW lsd,330-223,
830,19.03.07,China Eastern AL,330-343E,
831,27.04.07,Jet AW lsd,330-202,
832,26.04.07,Etihad AW,330-243,
833,27.03.07,Iberworld lsd,330-343E,
834,05.04.07,KLM lsd,330-203,
836,25.04.07,China Eastern AL,330-343E,C
838,28.03.07,China AL,330-302,C
839,16.04.07,Air China,330-243,C
840,18.05.07,China Southern AL,330-243,
841,02.05.07,Aer Lingus,330-202,C
842,29.05.07,Jetstar AW lsd,330-202,
843,26.04.07,Northwest AL,330-323X,
845,21.06.07,Asiana AL,330-323X,C
847,24.05.07,Aer Lingus,330-302,C
849,23.05.07,Qatar AW,330-202,C
850,27.06.07,Cathay Pacific AW,330-342,C
851,26.06.07,China Eastern AL,330-343E,C
852,05.07.07,Etihad AW,330-243,
853,13.07.07,Jetstar AW lsd,330-202,
854,02.08.07,Etihad AW,330-243,
855,10.08.07,Cathay Pacific AW,330-343E,C
857,04.07.07,Northwest AL,330-323X,
858,10.07.07,Northwest AL,330-323X,
859,01.08.07,Northwest AL,330-323X,
860,11.07.07,Air China,330-243,C
861,04.09.07,China AL,330-302,C
863,20.09.07,Midroc Aviation,330-243,
865,08.08.07,Northwest AL,330-323X,
867,24.09.07,Air China,330-243,C
868,07.09.07,Etihad AW,330-243,
869,24.10.07,TAM,330-223,
873,05.10.07,Air China,330-243,C
874,09.04.08,Kingfisher AL slsd,330-223,
875,18.10.07,Hainan AL lsd,330-243,C
876,29.10.07,TAM,330-223,
877,23.10.07,TAP Air Portugal,330-202,
879,26.10.07,China Southern AL,330-343E,
881,15.11.07,Hainan AL lsd,330-243,C
882,29.10.07,Jet AW lsd,330-202,
883,06.11.07,Air Mauritius,330-202,
884,09.11.07,Air China,330-243,C
885,20.11.07,Jet AW lsd,330-202,
887,26.11.07,Qantas,330-202,C
888,29.11.07,Jet AW lsd,330-202,
889,27.11.07,China Southern AL,330-343E,
890,29.11.07,Air China,330-243,C
891,23.05.08,Kingfisher AL lsd,330-223,
892,17.12.07,Qantas lsd,330-202,
893,18.12.07,Qatar AW,330-302,
895,19.12.07,Cathay Pacific AW lsd,330-342,
896,09.01.08,Lufthansa,330-343E,C
898,17.01.08,Qantas lsd,330-202,
899,14.01.08,TAP Air Portugal,330-202,
900,28.01.08,KLM lsd,330-203,
901,11.01.08,Jet AW lsd,330-202,
903,28.01.08,Air China,330-243,C
904,30.01.08,TAP Air Portugal,330-202,STD
905,29.01.08,Lufthansa,330-343E,C
906,12.02.08,Hainan AL lsd,330-243,C
907,07.02.08,Qatar AW,330-302,C
908,21.02.08,China Southern AL,330-343E,
909,07.02.08,Air China,330-243,C
911,13.02.08,Air Berlin,330-223,
913,25.02.08,Lufthansa,330-343E,C
914,11.03.08,TAP Air Portugal,330-202,C
915,26.03.08,Cathay Pacific AW lsd,330-342,
916,28.02.08,China Eastern AL,330-243,C
918,06.03.08,Qatar AW,330-302,C
919,11.03.08,Hainan AL lsd,330-243,
920,20.03.08,China AL lsd,330-302,C
922,17.04.08,Lufthansa,330-343E,C
923,29.04.08,Jet AW lsd,330-202,
925,18.04.08,KLM lsd,330-203,
926,22.05.08,MEA - Middle East AL,330-243,
927,26.05.08,Kingfisher AL lsd,330-223,
928,25.04.08,China Eastern AL,330-343E,C
930,04.06.08,Air China,330-243,C
931,15.05.08,Air Europa lsd,330-202,
932,05.06.08,Jet AW lsd,330-202,
934,29.05.08,TAP Air Portugal,330-202,C
935,19.06.08,China Southern AL,330-343E,
936,19.06.08,China Eastern AL,330-343E,C
937,19.06.08,China Southern AL,330-343E,
939,09.07.08,Kingfisher AL lsd,330-223,
940,20.05.08,Qantas lsd,330-202,
941,07.07.08,Air China,330-243,C
942,11.07.08,China Eastern AL,330-343E,C
943,01.08.08,Air Comet lsd,330-223,
944,08.07.08,Air China,330-243,C
945,01.07.08,Qantas lsd,330-202,
946,30.07.08,Kingfisher AL lsd,330-223,
947,14.08.08,Jet AW lsd,330-202,
948,02.09.08,Avianca lsd,330-243,
949,28.08.08,TAM,330-223,
950,16.07.08,Air Europa lsd,330-202,
951,14.04.08,Royal Australian AF,330-203,
952,26.09.08,AirAsia X,330-343E,
954,02.09.08,China Southern AL,330-343E,
956,10.09.08,Jet AW slsd,330-202,
957,09.09.08,Air China,330-243,C
958,01.10.08,China Southern AL,330-343E,
959,03.10.08,Cathay Pacific AW lsd,330-342,
961,01.10.08,TAM,330-223,
962,20.10.08,Air Comet,330-223,
963,30.10.08,Aeroflot lsd,330-243,
964,02.10.08,China Southern AL,330-343E,
965,05.11.08,Air Caraibes lsd,330-323E,
966,29.10.08,Mexicana lsd,330-243,
967,17.10.08,Avianca slsd,330-243,
968,23.10.08,TAM,330-223,
969,24.10.08,MTAD,330-203,
970,05.11.08,Air Comet lsd,330-223,
971,12.11.08,Mexicana lsd,330-243,
973,01.12.08,Aeroflot lsd,330-243,
974,03.12.08,AirAsia X,330-343E,
975,21.11.08,Etihad AW lsd,330-243,
976,14.11.08,Qantas lsd,330-203,C
977,04.12.08,TAM,330-223,
978,16.12.08,Singapore AL lsd,330-343E,
979,10.12.08,Air Comet lsd,330-223,
980,27.01.09,MTAD,330-202,
982,05.01.09,Hainan AL lsd,330-243,C
983,23.01.09,Singapore AL lsd,330-343E,
984,13.01.09,MEA - Middle East AL,330-243,C
985,15.12.08,Aer Lingus,330-302,C
986,05.02.09,Singapore AL lsd,330-343E,
988,02.02.09,Garuda Indonesian AW lsd,330-243,
989,14.01.09,Lufthansa,330-343E,C
990,02.03.09,Thai AW Int,330-343E,C
991,28.01.09,Etihad AW lsd,330-243,
992,17.03.09,Gulf Air,330-243,
994,17.02.09,Finnair lsd,330-302E,C
995,16.02.09,MEA - Middle East AL,330-243,C
996,10.03.09,MTAD,330-202,
997,05.03.09,Singapore AL,330-343E,
998,19.02.08,MEA - Middle East AL,330-243,C
999,18.06.09,Afriqiyah AW,330-202,W/O
1000,23.03.09,Swiss Int'l AL,330-343E,C
1001,05.03.09,Asiana AL lsd,330-323E,C
1002,06.05.09,HSH Nordbank,330-223,
1003,07.04.09,Thai AW Int,330-343E,C
1006,25.03.09,Singapore AL lsd,330-343E,
1007,10.04.09,Finnair lsd,330-302E,C
1008,24.03.09,Hi Fly lsd,330-243,
1009,07.04.09,Avianca lsd,330-243,C
1010,01.04.09,Singapore AL,330-343E,
1011,10.04.09,US AW,330-243,
1012,22.04.09,Singapore AL lsd,330-343E,
1013,30.03.09,Finnair lsd,330-302E,STD
1014,19.05.09,Aeroflot lsd,330-243,
1015,30.04.09,Singapore AL lsd,330-343E,
1016,06.05.09,Avianca lsd,330-243,
1018,19.05.09,Swiss Int'l AL,330-343E,C
1019,23.03.09,HSH Nordbank,330-223,
1020,12.06.09,Garuda Indonesian AW lsd,330-243,
1021,02.06.09,Air Caraibes lsd,330-323E,
1022,04.06.09,US AW,330-243,
1023,27.04.09,Finnair,330-302E,C
1024,12.08.09,Afriqiyah AW,330-202,W/O
1025,12.05.09,Aer Lingus,330-302,
1026,18.06.09,Swiss Int'l AL,330-343E,C
1028,26.06.09,Garuda Indonesian AW lsd,330-243,
1029,25.06.09,Swiss Int'l AL,330-343E,C
1031,24.11.09,Hong Kong AL,330-223,C
1033,04.06.09,MTAD,330-243,
1034,15.07.10,Hainan AL lsd,330-223,
1035,06.07.09,Thai AW Int,330-343E,C
1037,30.07.09,Thai AW Int,330-343E,C
1038,13.08.09,Oman Air lsd,330-243,C
1039,06.11.09,Hong Kong AL,330-223,C
1041,20.08.09,US AW lsd,330-243,
1042,27.10.09,Hong Kong AL,330-223,C
1043,07.09.09,Afriqiyah AW,330-202,STD
1044,10.09.09,Oman Air,330-343,C
1045,03.08.09,Aeroflot lsd,330-243,
1046,18.08.09,MTAD,330-243,
1047,12.08.09,Aeroflot lsd,330-243,
1048,14.09.09,AirAsia X,330-343E,C
1049,02.10.09,Oman Air lsd,330-243,C
1052,12.10.09,Garuda Indonesian AW lsd,330-243,
