c/n,f/f,operator,type,St
149.0,27.09.17,Delta AL,350-941,C
150.0,06.10.17,Vietnam AL,350-941,C
151.0,03.10.17,China AL,350-941,C
153.0,04.10.17,Hong Kong AL,350-941,
154.0,10.10.17,Cathay Pacific,350-941,C
155.0,09.11.17,Cathay Pacific,350-941,C
157.0,31.10.17,Air Mauritius,350-941,C
158.0,20.10.17,Singapore AL,350-941,C
159.0,09.11.17,Malaysia AL,350-941,C
160.0,11.11.17,Delta AL,350-941,C
161.0,13.11.18,Qatar AW,350-1041,C
162.0,13.11.17,China AL,350-941,C
163.0,19.07.18,Qatar AW,350-941,C
164.0,07.11.17,Delta AL,350-941,C
165.0,30.11.17,Malaysia AL,350-941,C
167.0,31.05.18,Air China,350-941,C
168.0,23.10.17,Hong Kong AL,350-941,
169.0,01.08.18,Cathay Pacific,350-1041,C
170.0,06.12.17,Singapore AL,350-941,C
172.0,23.08.18,Qatar AW,350-941,C
173.0,09.12.17,Vietnam AL,350-941,C
174.0,21.12.17,Lufthansa,350-941,C
175.0,06.12.17,Delta AL,350-941,C
176.0,06.12.17,Asiana AL,350-941,C
177.0,08.01.18,Thai AW International,350-941,C
178.0,02.07.18,Air China,350-941,C
179.0,20.12.17,China AL,350-941,C
180.0,09.01.18,Ethiopian AL,350-941,C
181.0,10.01.18,Thai AW International,350-941,C
182.0,05.01.18,Delta AL,350-941,C
183.0,23.01.18,Malaysia AL,350-941,C
184.0,19.01.18,Lufthansa,350-941,C
185.0,29.01.18,Thai AW International,350-941,C
186.0,22.01.18,Singapore AL,350-941,C
187.0,01.02.18,Hong Kong AL,350-941,
188.0,15.06.18,Cathay Pacific,350-1041,C
189.0,02.02.18,Thai AW International,350-941,C
190.0,07.02.18,Delta AL,350-941,C
191.0,09.02.18,China AL,350-941,C
192.0,14.02.18,Vietnam AL,350-941,C
193.0,16.02.18,French Bee,350-941,C
195.0,28.02.18,Malaysia AL,350-941,C
196.0,12.02.18,Ethiopian AL,350-941,C
197.0,07.03.18,Vietnam AL,350-941,C
198.0,19.02.18,Asiana AL,350-941,C
199.0,14.03.18,Delta AL,350-941,C
200.0,22.03.18,LATAM AL,350-941,
201.0,06.03.18,Thai AW International,350-941,C
202.0,11.04.18,Lufthansa,350-941,C
203.0,03.04.18,Malaysia AL,350-941,C
204.0,25.04.18,Delta AL,350-941,C
205.0,21.03.18,Ethiopian AL,350-941,C
206.0,06.09.18,Cathay Pacific,350-1041,C
207.0,21.09.18,Qatar AW,350-941,C
208.0,06.04.18,China AL,350-941,C
209.0,30.04.18,Lufthansa,350-941,C
210.0,14.05.18,Delta AL,350-941,C
211.0,04.12.18,Qatar AW,350-941,C
212.0,19.04.18,Lufthansa,350-941,C
213.0,29.05.18,Malaysia AL,350-941,C
214.0,31.01.19,Qatar AW,350-941,C
215.0,05.02.19,Qatar AW,350-1041,C
216.0,23.04.18,Singapore AL,350-941,C
217.0,30.05.18,Air China,350-941,C
218.0,11.06.18,Asiana AL,350-941,C
219.0,29.05.18,Iberia,350-941,C
220.0,05.07.18,Singapore AL,350-941,C
221.0,07.06.18,Philippine AL,350-941,C
223.0,16.08.18,Singapore AL,350-941,C
224.0,20.02.19,Asiana AL,350-941,C
