c/n,f/f,operator,type,St
5,31.07.92,Air France lsd,340-311 ,
6,20.07.92,Lufthansa ,340-211 ,
7,15.01.93,Air France lsd,340-312 ,
8,07.12.92,Lufthansa ,340-211 ,
9,13.01.93,Lufthansa ,340-211 ,
10,18.03.93,Sabena/Air France ,340-211 ,W/O
11,03.02.93,Lufthansa ,340-211 ,
13,19.10.93,Virgin Atlantic ,340-311 ,
14,01.04.93,Sabena/Air France ,340-211 ,
15,26.10.93,Virgin Atlantic ,340-311 ,
16,03.11.93,Virgin Atlantic ,340-311 ,
18,18.06.93,Lufthansa ,340-211 ,
19,02.07.93,Lufthansa ,340-211 ,
20,08.09.93,Lufthansa ,340-311 ,
21,06.08.93,Lufthansa ,340-211 ,
22,24.05.93,Sabena/Air France ,340-211 ,
23,08.06.93,THY Turkish AL,340-311 ,SCR
24,06.10.93,Lufthansa ,340-311 ,SCR
25,21.06.93,THY Turkish AL,340-311 ,STD
26,23.04.93,Qatar Gvmt,340-211 ,C
27,01.10.93,Lufthansa ,340-311 ,SCR
28,04.01.94,Lufthansa ,340-311 ,SCR
29,21.07.93,Air France lsd,340-311 ,SCR
31,23.07.93,Air France,340-211 ,
32,25.04.94,Air Lanka ,340-311 ,
33,20.07.94,Air Lanka ,340-311 ,
35,31.03.94,Lufthansa ,340-311 ,SCR
36,06.04.94,Gulf Air,340-312 ,
38,01.12.93,Air France,340-211 ,
39,25.05.94,Gulf Air,340-312 ,
40,01.07.94,Gulf Air,340-312 ,
41,25.11.94,TAP Air Portugal,340-312 ,SCR
43,02.02.94,Air France,340-311 ,
44,14.12.94,TAP Air Portugal,340-312 ,SCR
46,22.02.94,Bahrein Gvmt,340-212 ,
47,09.02.94,Sabena/Air France ,340-311 ,
48,26.04.94,Air Mauritius lsd ,340-312 ,
49,18.03.94,Air France lsd,340-311 ,
51,18.03.94,Sabena/Air France ,340-311 ,
52,30.06.94,Lufthansa ,340-311 ,SCR
53,17.10.94,Lufthansa ,340-311 ,SCR
56,07.12.94,Lufthansa ,340-311 ,
57,15.04.94,THY Turkish AL,340-311 ,STD
58,05.10.94,Virgin Atlantic ,340-311 ,
61,12.04.94,Egypt Govmt ,340-211 ,C
63,14.09.94,PAL/Cathay Pacific,340-211 ,
74,27.10.94,PAL/Cathay Pacific,340-211 ,
75,02.02.95,Austrian AL ,340-212 ,
76,21.10.94,Air Mauritius ,340-312 ,SCR
78,05.01.95,Air France,340-311 ,SCR
79,17.02.95,TAP Air Portugal,340-312 ,SCR
80,05.12.94,PAL/Cathay Pacific,340-211 ,
81,07.02.95,Austrian AL ,340-212 ,
84,12.07.95,Air France,340-311 ,SCR
85,03.03.95,PAL/Cathay Pacific,340-211 ,
88,19.01.95,Air Canada lsd,340-313 ,
89,08.03.95,Kuwait AW ,340-313 ,STD
90,23.03.95,Kuwait AW ,340-313 ,STD
91,28.03.95,TAP Air Portugal,340-312 ,STD
93,15.03.95,Air Canada lsd,340-313 ,
94,13.03.95,Air Mauritius lsd ,340-312 ,
97,17.05.95,Gulf Air,340-312 ,
101,20.04.95,Kuwait AW ,340-313 ,
103,23.06.95,Gulf Air/Egyptair ,340-312 ,
104,24.05.95,Kuwait AW ,340-313 ,
114,17.01.96,Virgin Atlantic lsd,340-313 ,
115,27.02.96,THY Turkish AL,340-311 ,
117,25.08.95,Singapore AL,340-313X,
123,25.03.96,Singapore AL,340-313X,
125,31.01.96,Iberia,340-313 ,
126,29.03.96,Singapore AL,340-313X,
128,30.05.96,Singapore AL,340-313X,
129,18.03.96,China Eastern AL,340-313X,SCR
131,10.05.96,China Eastern AL,340-313X,SCR
133,07.11.96,Gulf Air/Egyptair ,340-312 ,
134,16.04.96,Iberia,340-313 ,
135,03.04.96,Lufthansa ,340-313X,C
136,15.05.96,Cathay Pacific,340-313X,
137,03.06.96,Cathay Pacific,340-313X,
139,10.06.96,Singapore AL,340-313X,
141,05.07.96,China Eastern AL,340-313X,SCR
142,20.06.96,Cathay Pacific,340-313X,
145,31.07.96,Iberia,340-313 ,
146,10.05.96,Iberia,340-313 ,
147,12.07.96,Cathay Pacific,340-313X,
149,04.09.96,Singapore AL,340-313X,
150,24.10.96,Air Canada,340-313X,
151,23.09.96,Brunei Gvmt ,340-213CJ,
152,28.10.96,Air Mauritius lsd ,340-313X,SCR
