c/n,f/f,operator,type,St
154,29.11.96,Air Canada,340-313X,
156,08.11.96,Egyptair,340-212 ,
157,18.11.96,Cathay Pacific,340-313X,
158,09.01.97,Lufthansa ,340-313X,
159,04.12.96,Egyptair,340-212 ,
160,24.01.97,Cathay Pacific,340-313X,
161,30.01.97,China Eastern AL,340-313X,SCR
163,06.02.97,Singapore AL,340-313X,
164,24.03.97,Virgin Atlantic lsd,340-313X,
166,06.03.97,Singapore AL,340-313X,
167,14.03.97,Air Canada,340-313X,
168,02.04.97,Air France lsd,340-313X,
169,08.04.97,Austrian AL ,340-313X,
170,04.04.97,Air Canada,340-313X,
173,12.05.97,Philippine AL ,340-313X,
174,06.05.97,Air France lsd,340-313X,
175,30.04.97,Air Canada,340-313X,
176,05.06.97,Philippine AL ,340-313X,
178,11.06.97,Egyptair,340-212 ,
179,29.04.97,Air Canada,340-313X,
180,01.08.97,THY Turkish AL,340-313X,
182,16.06.97,China Eastern AL,340-313X,SCR
185,09.07.97,Singapore AL,340-313X,
186,22.08.97,Air France,340-313X,SCR
187,28.08.97,Philippine AL ,340-313X,
190,17.09.97,Singapore AL,340-313X,
192,19.09.97,Air China ,340-313X,
193,07.10.97,Iberia,340-313X,
194,30.09.97,Air Mauritius ,340-313X,SCR
196,18.09.97,Philippine AL ,340-313X,
197,22.10.97,Iberia,340-313X,
199,28.10.97,Air China ,340-313X,
201,28.10.97,Air China ,340-313X,
202,18.11.97,Singapore AL,340-313X,
204,19.12.97,Brunei Gvmt ,340-213X,
207,05.12.97,Air France,340-313X,
208,16.01.98,Cathay Pacific,340-313X,
210,23.01.98,Air France,340-313X,
212,04.02.98,Singapore AL,340-313X,
213,20.02.98,Lufthansa ,340-313X,C
214,25.02.98,Virgin Atlantic lsd,340-313X,SCR
215,13.03.98,Singapore AL,340-313X,
216,01.03.98,Air Canada lsd,340-313X,
217,01.02.98,Iberia,340-313X,SCR
218,12.03.98,Cathay Pacific,340-313X,SCR
220,02.06.98,Cathay Pacific,340-313X,SCR
221,03.06.98,Iberia,340-313X,SCR
225,18.05.98,Virgin Atlantic ,340-313X,SCR
227,09.06.98,Cathay Pacific,340-313X,SCR
228,02.07.98,Cathay Pacific,340-313X,SCR
233,17.07.98,Lufthansa ,340-313X,C
235,24.09.98,Olympic AW,340-313X,
236,21.09.98,Singapore AL,340-313X,
237,24.09.98,Air France,340-313X,SCR
239,31.08.98,Olympic AW,340-313X,
242,16.11.98,China Southwest AL,340-313X,
243,23.10.98,China Southwest AL,340-313X,
245,04.11.98,Air France,340-313X,
246,09.11.98,Air France,340-313X,
252,09.12.98,Lufthansa,340-313X,C
257,28.01.99,Air Canada lsd,340-313X,
260,04.02.99,Air France,340-313X,
263,05.03.99,Austrian AL ,340-313X,
264,11.02.99,China Southwest AL,340-313X,
268,02.04.99,Air Mauritius,340-313X,STD
270,31.03.99,THY Turkish AL,340-313X,
273,04.05.99,Air Canada,340-313X,
274,28.04.99,Lufthansa,340-313X,
278,08.06.99,Air Canada,340-313X,
280,13.07.99,Olympic AW,340-313X,
282,18.06.99,Singapore AL,340-313X,
289,03.08.99,Air France,340-313X,W/O
292,30.09.99,Olympic AW,340-313X,
297,24.09.99,Lufthansa,340-313X,C
302,10.11.99,Iberia,340-313X,
304,17.11.99,Lufthansa,340-313X,C
307,19.10.99,Air France,340-313X,SCR
310,02.12.99,Air France,340-313X,SCR
318,24.01.00,Iberia,340-313X,
319,09.02.00,Air France,340-313X,
321,02.02.00,Lufthansa,340-313X,C
325,09.02.00,Lufthansa,340-313X,C
327,11.02.00,Lufthansa,340-313X,STD
329,18.02.00,Iberia,340-313X,SCR
331,16.03.00,THY Turkish AL,340-313X,STD
332,13.03.00,Iberia,340-313X,
335,17.05.00,Lufthansa,340-313X,
347,16.06.00,Lufthansa,340-313X,C
352,20.06.00,Lufthansa,340-313X,W/O
354,12.07.00,Lufthansa,340-313X,
355,29.08.00,Lufthansa,340-313X,
359,05.09.00,LAN Chile,340-313X,
363,21.09.00,LAN Chile,340-313X,
367,27.10.00,AOM-Air Outre Mer lsd,340-313X,
373,30.10.00,Air France lsd,340-313X,
374,01.12.00,Fll/AOM-Air Outre Mer,340-313X,
377,01.12.00,Air France lsd,340-313X,SCR
378,15.12.00,Iberia,340-313X,
379,15.12.00,Lufthansa,340-313X,C
381,21.12.00,Cathay Pacific,340-313X,
383,11.06.02,Virgin Atlantic AW,340-642,
385,01.02.01,Air Tahiti Nui,340-313X,SCR
387,26.01.01,Iberia,340-313X,
390,08.02.01,Lufthansa,340-313X,C
391,02.09.02,Virgin Atlantic AW,340-642,
395,25.06.01,Canada 3000 AL lsd,340-313X,
399,08.03.01,Air France,340-313X,
402,03.04.01,China AL,340-313X,
406,17.05.01,China AL,340-313X,
410,16.10.02,South African AW,340-642,STD
411,11.06.01,China AL,340-313X,
413,29.06.01,SAS,340-313X,
414,05.06.01,Iberia,340-313X,
415,05.07.01,China AL,340-313X,
416,10.10.02,Virgin Atlantic AW,340-642,
417,04.12.02,South African AW,340-642,STD
424,06.09.01,SAS,340-313X,
426,30.01.03,South African AW,340-642,C
429,12.10.01,LAN Chile,340-313X,
430,11.10.01,SAS lsd,340-313X,SCR
431,07.06.03,Iberia,340-642,
433,09.10.01,China AL,340-313X,SCR
434,26.09.01,Lufthansa,340-313X,C
435,11.10.01,SAS lsd,340-313X,STD
436,28.09.02,Cathay Pacific AW lsd,340-642,
438,08.11.01,Air Tahiti Nui lsd,340-313X,SCR
440,01.08.03,Iberia,340-642,
442,15.11.01,LAN Chile,340-313X,
445,07.01.03,Air Canada,340-541,
446,04.12.01,Air Tahiti Nui lsd,340-313X,SCR
447,06.12.01,Lufthansa,340-313X,C
449,03.12.02,Virgin Atlantic AW,340-642,
450,10.01.02,SAS lsd,340-313X,
453,16.11.02,Cathay Pacific AW lsd,340-642,
457,23.07.03,Emirates AL,340-541,
459,30.01.02,Iberia,340-313X,
460,17.09.03,Iberia,340-642,STD
464,28.03.03,Air Canada,340-541,
467,22.03.02,SAS lsd,340-313X,SCR
468,09.05.02,China Eastern AL,340-642,
470,03.04.02,SAS lsd,340-313X,SCR
471,22.09.03,Emirates AL,340-541,
474,22.04.02,Iberia lsd,340-313X,
475,17.02.03,Cathay Pacific AW lsd,340-642,
478,03.10.03,Singapore AL,340-541,
482,08.08.03,Lufthansa lsd,340-642,SCR
483,23.11.02,Iberia lsd,340-313X,
485,12.09.03,Emirates AL,340-541,
488,04.06.03,China Eastern AL,340-642,
492,11.11.03,Singapore AL,340-541,
495,11.06.03,Qatar Gvmt,340-541,C
499,15.11.03,Singapore AL,340-541,
514,09.09.03,China Eastern AL,340-642,
517,10.10.03,Lufthansa,340-642,STD
520,29.10.03,Emirates AL,340-541,
523,23.10.03,Lufthansa lsd,340-642,STD
528,08.04.03,Singapore AL,340-313X,
531,13.10.03,South African AW,340-642,C
534,31.10.03,South African AW lsd,340-642,STD
537,26.11.03,Lufthansa lsd,340-642,STD
538,11.06.03,Swiss Int'l AL lsd,340-313X,C
540,18.11.03,Lufthansa,340-642,STD
541,28.05.03,China AL,340-313X,SCR
543,13.01.04,Lufthansa,340-642,STD
544,18.09.03,South African AW,340-313E,
545,03.07.03,Swiss Int'l AL,340-313X,C
546,22.07.03,Swiss Int'l AL,340-313X,C
547,03.12.03,South African AW,340-642,C
554,30.09.03,Singapore AL,340-313X,
556,29.10.03,Swiss Int'l AL,340-313X,
557,16.12.03,South African AW,340-642,
559,10.10.03,Swiss Int'l AL,340-313X,
560,16.03.04,Singapore AL,340-541,
561,25.10.03,Swiss Int'l AL,340-313X,
562,12.11.03,Swiss Int'l AL lsd,340-313X,
563,06.03.04,Singapore AL,340-541,
566,20.01.04,Lufthansa,340-642,STD
569,06.02.04,Lufthansa,340-642,C
572,02.02.04,Emirates AL,340-541,SCR
575,18.02.04,Virgin Atlantic AW,340-642,
577,02.06.04,China Eastern AL,340-642,
580,16.04.04,Lufthansa,340-642,STD
582,20.02.04,South African AW,340-313E,
583,04.05.04,Lufthansa,340-642,STD
585,27.02.04,Swiss Int'l AL,340-313X,C
586,29.06.04,China Eastern AL,340-642,
590,11.03.04,South African AW,340-313E,
594,18.04.05,NOT BUILT,340-642,
598,22.04.04,Swiss Int'l AL,340-313X,C
601,07.09.04,Iberia,340-642,STD
604,17.09.04,Iberia,340-642,
606,19.10.04,Iberia,340-642,STD
608,04.11.04,Emirates AL,340-541,
611,23.11.04,Emirates AL,340-541,
615,25.11.04,Virgin Atlantic AW,340-642,
617,04.01.05,Iberia lsd,340-642,SCR
619,28.01.05,Iberia lsd,340-642,STD
622,21.12.04,Virgin Atlantic AW,340-642,
624,07.02.05,Thai AW Int,340-541,STD
626,11.03.05,South African AW lsd,340-642,STD
628,14.04.05,Thai AW Int,340-541,STD
630,18.04.05,South African AW lsd,340-642,STD
639,16.03.05,Virgin Atlantic AW,340-642,SCR
643,25.11.04,South African AW lsd,340-313E,
646,08.12.04,South African AW,340-313E,
651,09.02.05,South African AW,340-313E,
668,13.05.05,Air Tahiti Nui,340-313E,
672,18.05.05,Iberia,340-642,STD
677,06.06.05,Thai AW Int,340-642,STD
681,24.06.05,Thai AW Int,340-642,STD
685,30.06.05,Emirates AL,340-541,
689,12.07.05,Thai AW Int,340-642,STD
694,06.09.05,Emirates AL,340-541,
698,13.09.05,Thai AW Int,340-541,
702,15.09.05,Iberia,340-642,STD
706,07.10.05,Virgin Atlantic AW lsd,340-642,SCR
710,27.10.05,Thai AW Int,340-642,STD
715,18.11.05,Qatar AW,340-642,SCR
719,04.11.05,Thai AW Int,340-642,STD
723,04.01.06,Virgin Atlantic AW lsd,340-642,SCR
727,30.11.05,Iberia,340-642,STD
731,01.02.06,Iberia,340-642,W/O
736,09.02.06,Virgin Atlantic AW lsd,340-642,
740,03.06.06,Qatar AW,340-642,STD
744,16.03.06,Iberia,340-642,STD
748,30.03.06,Etihad AW,340-541,
753,10.05.06,Virgin Atlantic AW,340-642,
757,28.04.06,Etihad AW,340-541,
761,11.08.06,Etihad AW,340-541,
762,17.07.06,Lufthansa,340-642,SCR
763,01.09.06,Lufthansa,340-642,SCR
764,09.06.06,Virgin Atlantic AW,340-642,
765,08.08.06,Virgin Atlantic AW,340-642,
766,13.10.06,Qatar AW,340-642,
767,11.10.06,Lufthansa,340-642,SCR
768,05.09.06,Virgin Atlantic AW,340-642,
771,08.11.06,Lufthansa,340-642,STD
775,13.10.06,Thai AW Int,340-541,STD
779,28.11.06,National Air Service lsd,340-642ACJ,
783,31.10.06,Etihad AW,340-541,
787,15.11.06,Virgin Atlantic AW,340-642,
790,03.01.07,Lufthansa,340-642,SCR
793,08.11.06,Air Mauritius,340-313E,SCR
794,30.01.07,Lufthansa,340-642,SCR
798,16.02.07,Qatar AW,340-642,
800,27.11.06,Air Mauritius,340-313E,SCR
804,09.02.07,Virgin Atlantic AW lsd,340-642,SCR
812,05.03.07,Lufthansa,340-642,SCR
829,04.05.07,Etihad AW,340-642,
835,11.04.07,Finnair,340-313E,
837,01.08.07,Etihad AW,340-642,
844,01.06.07,Finnair,340-313E,
846,03.04.08,Lufthansa,340-642,C
848,06.05.08,Lufthansa,340-642,STD
856,21.09.07,Etihad AW,340-642,W/O
870,31.10.07,Etihad AW,340-642,
886,06.02.08,Azerbaijan AL lsd,340-542,C
894,09.04.08,Azerbaijan AL lsd,340-542,C
897,05.03.08,Lufthansa,340-642,STD
902,29.05.08,Tunisian Gvmt,340-542,
910,17.06.08,Arik Air,340-542,
912,18.07.08,Arik Air,340-542,
917,15.05.08,Algerian Government,340-541,C
921,30.04.08,Finnair lsd,340-313E,
924,29.08.08,Royal Jordanian AF,340-642CJ,
929,01.10.08,Etihad AW,340-642,
933,07.11.08,Etihad AW,340-642,
938,02.07.08,Finnair,340-313E,
953,06.08.08,Thai AW Int,340-642,STD
955,17.09.08,Global Jet Luxembourg,340-313ECJ,
960,14.01.09,Iberia,340-642,STD
972,03.12.08,Lufthansa,340-642,STD
981,27.01.09,Lufthansa,340-642,STD
987,27.02.09,Lufthansa,340-642,C
993,29.07.09,Iberia,340-642,STD
1005,14.04.09,Lufthansa,340-642,STD
1017,12.06.09,Iberia,340-642,STD
1030,23.07.09,Etihad AW,340-642,
1040,06.08.09,Etihad AW,340-642,
1079,26.01.10,Iberia,340-642,STD
1091,11.05.10,Kuwait Government,340-542CJ,C
1102,16.11.10,Kuwait Government,340-542CJ,C
1122,25.06.10,Iberia,340-642,STD
