c/n,f/f,operator,type,St
5.0,19.07.06,Singapore AL,380-841,
6.0,17.11.06,Singapore AL,380-841,
8.0,19.03.07,Singapore AL,380-841,
10.0,21.12.07,Singapore AL,380-841,
11.0,04.09.07,Emirates AL,380-861,SCR
12.0,20.02.08,Singapore AL,380-841,C
13.0,02.04.08,Emirates AL,380-861,SCR
14.0,25.01.08,Qantas lsd,380-842,STD
15.0,25.06.08,Qantas,380-842,C
16.0,28.05.08,Emirates AL,380-861,C
17.0,29.09.08,Emirates AL,380-861,C
19.0,07.11.08,Singapore AL,380-841,SCR
20.0,15.07.08,Emirates AL,380-861,C
21.0,10.12.08,Singapore AL,380-841,SCR
22.0,01.08.08,Qantas lsd,380-842,STD
23.0,06.05.09,Emirates AL,380-861,C
25.0,13.07.09,Emirates AL,380-861,C
26.0,12.11.08,Qantas lsd,380-842,C
27.0,18.03.09,Qantas lsd,380-842,STD
28.0,15.10.09,Emirates AL,380-861,C
29.0,30.03.09,Qantas lsd,380-842,STD
30.0,14.01.10,Emirates AL,380-861,C
31.0,03.03.11,China Southern AL,380-841,
33.0,12.02.09,Air France lsd,380-861,STD
34.0,12.01.09,Singapore AL,380-841,C
35.0,16.11.10,Korean AL,380-861,C
36.0,06.05.11,China Southern AL,380-841,
38.0,06.10.09,Lufthansa,380-841,STD
39.0,07.01.11,Korean AL,380-861,C
40.0,02.06.09,Air France,380-861,SCR
41.0,22.01.10,Lufthansa,380-841,STD
42.0,06.04.10,Emirates AL,380-861,C
43.0,20.07.09,Air France,380-861,STD
44.0,15.02.10,Lufthansa,380-841,STD
45.0,23.02.09,Singapore AL,380-841,C
46.0,29.01.10,Emirates AL,380-861,C
47.0,06.08.09,Qantas,380-842,STD
48.0,29.04.10,Lufthansa,380-841,STD
49.0,22.02.10,Air France,380-861,STD
50.0,28.08.09,Qantas lsd,380-842,C
51.0,10.09.09,Singapore AL,380-841,C
52.0,10.08.10,Air France,380-861,STD
54.0,12.08.11,China Southern AL,380-841,C
55.0,15.07.10,Qantas,380-842,STD
56.0,17.05.10,Emirates AL,380-861,C
57.0,11.06.10,Emirates AL,380-861,C
58.0,23.07.10,Singapore AL,380-841,C
59.0,16.02.11,Korean AL,380-861,C
61.0,03.08.10,Lufthansa,380-841,STD
62.0,09.09.10,Qantas,380-842,C
63.0,01.04.11,Qantas,380-842,C
64.0,27.08.10,Air France lsd,380-861,STD
65.0,29.09.10,Singapore AL,380-841,C
66.0,18.10.10,Lufthansa,380-841,STD
67.0,23.09.11,Air France lsd,380-861,STD
68.0,15.03.11,Korean AL,380-861,C
69.0,22.11.10,Lufthansa,380-841,STD
70.0,09.12.10,Lufthansa,380-841,STD
71.0,08.11.10,Singapore AL,380-841,C
72.0,16.11.11,Lufthansa,380-841,STD
73.0,28.11.11,Lufthansa,380-841,STD
74.0,19.04.11,Qantas,380-842,STD
75.0,16.05.11,Korean AL,380-861,C
76.0,22.06.11,Singapore AL,380-841,C
77.0,18.03.11,Emirates AL,380-861,C
78.0,20.10.11,Malaysian AL,380-841,STD
79.0,03.10.11,Singapore AL,380-841,C
80.0,18.04.11,Emirates AL,380-861,C
81.0,17.01.12,Malaysian AL,380-841,STD
82.0,05.09.11,Singapore AL,380-841,C
83.0,31.05.11,Emirates AL,380-861,C
84.0,14.03.12,Malaysian AL,380-841,STD
85.0,13.12.11,Singapore AL,380-841,C
86.0,17.06.11,Emirates AL,380-861,C
87.0,05.03.12,Thai AW,380-841,STD
88.0,26.03.12,China Southern AL,380-841,C
89.0,21.05.12,Malaysian AL,380-841,STD
90.0,11.07.11,Emirates AL,380-861,C
92.0,03.02.12,Singapore AL,380-841,C
93.0,06.06.12,Thai AW,380-841,STD
94.0,12.09.12,Malaysian AL,380-841,STD
95.0,09.11.12,British AW,380-841,C
96.0,27.06.12,Korean AL,380-861,C
98.0,29.08.11,Emirates AL,380-861,C
99.0,18.10.11,Air France lsd,380-861,STD
100.0,13.08.12,Thai AW,380-841,STD
101.0,28.10.11,Emirates AL,380-861,C
103.0,10.01.12,Emirates AL,380-861,C
105.0,28.02.12,Emirates AL,380-861,C
106.0,05.04.12,Emirates AL,380-861,C
107.0,26.04.12,Emirates AL,380-861,C
108.0,23.04.12,Emirates AL,380-861,C
109.0,11.05.12,Emirates AL,380-861,C
110.0,05.07.12,Emirates AL,380-861,C
111.0,19.07.12,Emirates AL,380-861,C
112.0,02.08.12,Emirates AL,380-861,C
113.0,26.11.12,Emirates AL,380-861,C
114.0,29.10.12,Malaysian AL,380-841,STD
115.0,08.03.13,Air France,380-861,STD
116.0,14.12.12,Emirates AL,380-861,C
117.0,16.01.14,Air France,380-861,STD
119.0,03.01.13,Emirates AL,380-861,C
120.0,25.09.12,China Southern AL,380-841,C
121.0,04.02.13,British AW,380-841,C
122.0,12.10.12,Thai AW,380-841,STD
123.0,17.01.13,Emirates AL,380-861,C
124.0,25.03.13,British AW,380-841,C
