c/n,f/f,operator,type,St
5,1992-07-31,Air France lsd,340,
6,1992-07-20,Lufthansa ,340,
7,1993-01-15,Air France lsd,340,
8,1992-12-07,Lufthansa ,340,
9,1993-01-13,Lufthansa ,340,
10,1993-03-18,Sabena/Air France ,340,W/O
11,1993-02-03,Lufthansa ,340,
13,1993-10-19,Virgin Atlantic ,340,
14,1993-04-01,Sabena/Air France ,340,
15,1993-10-26,Virgin Atlantic ,340,
16,1993-11-03,Virgin Atlantic ,340,
18,1993-06-18,Lufthansa ,340,
19,1993-07-02,Lufthansa ,340,
20,1993-09-08,Lufthansa ,340,
21,1993-08-06,Lufthansa ,340,
22,1993-05-24,Sabena/Air France ,340,
23,1993-06-08,THY Turkish AL,340,SCR
24,1993-10-06,Lufthansa ,340,SCR
25,1993-06-21,THY Turkish AL,340,STD
26,1993-04-23,Qatar Gvmt,340,C
27,1993-10-01,Lufthansa ,340,SCR
28,1994-01-04,Lufthansa ,340,SCR
29,1993-07-21,Air France lsd,340,SCR
31,1993-07-23,Air France,340,
32,1994-04-25,Air Lanka ,340,
33,1994-07-20,Air Lanka ,340,
35,1994-03-31,Lufthansa ,340,SCR
36,1994-04-06,Gulf Air,340,
38,1993-12-01,Air France,340,
39,1994-05-25,Gulf Air,340,
40,1994-07-01,Gulf Air,340,
41,1994-11-25,TAP Air Portugal,340,SCR
43,1994-02-02,Air France,340,
44,1994-12-14,TAP Air Portugal,340,SCR
46,1994-02-22,Bahrein Gvmt,340,
47,1994-02-09,Sabena/Air France ,340,
48,1994-04-26,Air Mauritius lsd ,340,
49,1994-03-18,Air France lsd,340,
51,1994-03-18,Sabena/Air France ,340,
52,1994-06-30,Lufthansa ,340,SCR
53,1994-10-17,Lufthansa ,340,SCR
56,1994-12-07,Lufthansa ,340,
57,1994-04-15,THY Turkish AL,340,STD
58,1994-10-05,Virgin Atlantic ,340,
61,1994-04-12,Egypt Govmt ,340,C
63,1994-09-14,PAL/Cathay Pacific,340,
74,1994-10-27,PAL/Cathay Pacific,340,
75,1995-02-02,Austrian AL ,340,
76,1994-10-21,Air Mauritius ,340,SCR
78,1995-01-05,Air France,340,SCR
79,1995-02-17,TAP Air Portugal,340,SCR
80,1994-12-05,PAL/Cathay Pacific,340,
81,1995-02-07,Austrian AL ,340,
84,1995-07-12,Air France,340,SCR
85,1995-03-03,PAL/Cathay Pacific,340,
88,1995-01-19,Air Canada lsd,340,
89,1995-03-08,Kuwait AW ,340,STD
90,1995-03-23,Kuwait AW ,340,STD
91,1995-03-28,TAP Air Portugal,340,STD
93,1995-03-15,Air Canada lsd,340,
94,1995-03-13,Air Mauritius lsd ,340,
97,1995-05-17,Gulf Air,340,
101,1995-04-20,Kuwait AW ,340,
103,1995-06-23,Gulf Air/Egyptair ,340,
104,1995-05-24,Kuwait AW ,340,
114,1996-01-17,Virgin Atlantic lsd,340,
115,1996-02-27,THY Turkish AL,340,
117,1995-08-25,Singapore AL,340,
123,1996-03-25,Singapore AL,340,
125,1996-01-31,Iberia,340,
126,1996-03-29,Singapore AL,340,
128,1996-05-30,Singapore AL,340,
129,1996-03-18,China Eastern AL,340,SCR
131,1996-05-10,China Eastern AL,340,SCR
133,1996-11-07,Gulf Air/Egyptair ,340,
134,1996-04-16,Iberia,340,
135,1996-04-03,Lufthansa ,340,C
136,1996-05-15,Cathay Pacific,340,
137,1996-06-03,Cathay Pacific,340,
139,1996-06-10,Singapore AL,340,
141,1996-07-05,China Eastern AL,340,SCR
142,1996-06-20,Cathay Pacific,340,
145,1996-07-31,Iberia,340,
146,1996-05-10,Iberia,340,
147,1996-07-12,Cathay Pacific,340,
149,1996-09-04,Singapore AL,340,
150,1996-10-24,Air Canada,340,
151,1996-09-23,Brunei Gvmt ,340,
152,1996-10-28,Air Mauritius lsd ,340,SCR
154,1996-11-29,Air Canada,340,
156,1996-11-08,Egyptair,340,
157,1996-11-18,Cathay Pacific,340,
158,1997-01-09,Lufthansa ,340,
159,1996-12-04,Egyptair,340,
160,1997-01-24,Cathay Pacific,340,
161,1997-01-30,China Eastern AL,340,SCR
163,1997-02-06,Singapore AL,340,
164,1997-03-24,Virgin Atlantic lsd,340,
166,1997-03-06,Singapore AL,340,
167,1997-03-14,Air Canada,340,
168,1997-04-02,Air France lsd,340,
169,1997-04-08,Austrian AL ,340,
170,1997-04-04,Air Canada,340,
173,1997-05-12,Philippine AL ,340,
174,1997-05-06,Air France lsd,340,
175,1997-04-30,Air Canada,340,
176,1997-06-05,Philippine AL ,340,
178,1997-06-11,Egyptair,340,
179,1997-04-29,Air Canada,340,
180,1997-08-01,THY Turkish AL,340,
182,1997-06-16,China Eastern AL,340,SCR
185,1997-07-09,Singapore AL,340,
186,1997-08-22,Air France,340,SCR
187,1997-08-28,Philippine AL ,340,
190,1997-09-17,Singapore AL,340,
192,1997-09-19,Air China ,340,
193,1997-10-07,Iberia,340,
194,1997-09-30,Air Mauritius ,340,SCR
196,1997-09-18,Philippine AL ,340,
197,1997-10-22,Iberia,340,
199,1997-10-28,Air China ,340,
201,1997-10-28,Air China ,340,
202,1997-11-18,Singapore AL,340,
204,1997-12-19,Brunei Gvmt ,340,
207,1997-12-05,Air France,340,
208,1998-01-16,Cathay Pacific,340,
210,1998-01-23,Air France,340,
212,1998-02-04,Singapore AL,340,
213,1998-02-20,Lufthansa ,340,C
214,1998-02-25,Virgin Atlantic lsd,340,SCR
215,1998-03-13,Singapore AL,340,
216,1998-03-01,Air Canada lsd,340,
217,1998-02-01,Iberia,340,SCR
218,1998-03-12,Cathay Pacific,340,SCR
220,1998-06-02,Cathay Pacific,340,SCR
221,1998-06-03,Iberia,340,SCR
225,1998-05-18,Virgin Atlantic ,340,SCR
227,1998-06-09,Cathay Pacific,340,SCR
228,1998-07-02,Cathay Pacific,340,SCR
233,1998-07-17,Lufthansa ,340,C
235,1998-09-24,Olympic AW,340,
236,1998-09-21,Singapore AL,340,
237,1998-09-24,Air France,340,SCR
239,1998-08-31,Olympic AW,340,
242,1998-11-16,China Southwest AL,340,
243,1998-10-23,China Southwest AL,340,
245,1998-11-04,Air France,340,
246,1998-11-09,Air France,340,
252,1998-12-09,Lufthansa,340,C
257,1999-01-28,Air Canada lsd,340,
260,1999-02-04,Air France,340,
263,1999-03-05,Austrian AL ,340,
264,1999-02-11,China Southwest AL,340,
268,1999-04-02,Air Mauritius,340,STD
270,1999-03-31,THY Turkish AL,340,
273,1999-05-04,Air Canada,340,
274,1999-04-28,Lufthansa,340,
