c/n,f/f,operator,type,St,year
101,1995-04-20,Kuwait AW ,340,,1995
103,1995-06-23,Gulf Air/Egyptair ,340,,1995
104,1995-05-24,Kuwait AW ,340,,1995
114,1996-01-17,Virgin Atlantic lsd,340,,1996
115,1996-02-27,THY Turkish AL,340,,1996
117,1995-08-25,Singapore AL,340,,1995
123,1996-03-25,Singapore AL,340,,1996
125,1996-01-31,Iberia,340,,1996
126,1996-03-29,Singapore AL,340,,1996
128,1996-05-30,Singapore AL,340,,1996
129,1996-03-18,China Eastern AL,340,SCR,1996
131,1996-05-10,China Eastern AL,340,SCR,1996
133,1996-11-07,Gulf Air/Egyptair ,340,,1996
134,1996-04-16,Iberia,340,,1996
135,1996-04-03,Lufthansa ,340,C,1996
136,1996-05-15,Cathay Pacific,340,,1996
137,1996-06-03,Cathay Pacific,340,,1996
139,1996-06-10,Singapore AL,340,,1996
141,1996-07-05,China Eastern AL,340,SCR,1996
142,1996-06-20,Cathay Pacific,340,,1996
145,1996-07-31,Iberia,340,,1996
146,1996-05-10,Iberia,340,,1996
147,1996-07-12,Cathay Pacific,340,,1996
149,1996-09-04,Singapore AL,340,,1996
150,1996-10-24,Air Canada,340,,1996
151,1996-09-23,Brunei Gvmt ,340,,1996
152,1996-10-28,Air Mauritius lsd ,340,SCR,1996
154,1996-11-29,Air Canada,340,,1996
156,1996-11-08,Egyptair,340,,1996
157,1996-11-18,Cathay Pacific,340,,1996
158,1997-01-09,Lufthansa ,340,,1997
159,1996-12-04,Egyptair,340,,1996
160,1997-01-24,Cathay Pacific,340,,1997
161,1997-01-30,China Eastern AL,340,SCR,1997
163,1997-02-06,Singapore AL,340,,1997
164,1997-03-24,Virgin Atlantic lsd,340,,1997
166,1997-03-06,Singapore AL,340,,1997
167,1997-03-14,Air Canada,340,,1997
168,1997-04-02,Air France lsd,340,,1997
169,1997-04-08,Austrian AL ,340,,1997
170,1997-04-04,Air Canada,340,,1997
173,1997-05-12,Philippine AL ,340,,1997
174,1997-05-06,Air France lsd,340,,1997
175,1997-04-30,Air Canada,340,,1997
176,1997-06-05,Philippine AL ,340,,1997
178,1997-06-11,Egyptair,340,,1997
179,1997-04-29,Air Canada,340,,1997
180,1997-08-01,THY Turkish AL,340,,1997
182,1997-06-16,China Eastern AL,340,SCR,1997
185,1997-07-09,Singapore AL,340,,1997
186,1997-08-22,Air France,340,SCR,1997
187,1997-08-28,Philippine AL ,340,,1997
190,1997-09-17,Singapore AL,340,,1997
192,1997-09-19,Air China ,340,,1997
193,1997-10-07,Iberia,340,,1997
194,1997-09-30,Air Mauritius ,340,SCR,1997
196,1997-09-18,Philippine AL ,340,,1997
197,1997-10-22,Iberia,340,,1997
199,1997-10-28,Air China ,340,,1997
201,1997-10-28,Air China ,340,,1997
202,1997-11-18,Singapore AL,340,,1997
204,1997-12-19,Brunei Gvmt ,340,,1997
207,1997-12-05,Air France,340,,1997
208,1998-01-16,Cathay Pacific,340,,1998
210,1998-01-23,Air France,340,,1998
212,1998-02-04,Singapore AL,340,,1998
213,1998-02-20,Lufthansa ,340,C,1998
214,1998-02-25,Virgin Atlantic lsd,340,SCR,1998
215,1998-03-13,Singapore AL,340,,1998
216,1998-03-01,Air Canada lsd,340,,1998
217,1998-02-01,Iberia,340,SCR,1998
218,1998-03-12,Cathay Pacific,340,SCR,1998
220,1998-06-02,Cathay Pacific,340,SCR,1998
221,1998-06-03,Iberia,340,SCR,1998
225,1998-05-18,Virgin Atlantic ,340,SCR,1998
227,1998-06-09,Cathay Pacific,340,SCR,1998
228,1998-07-02,Cathay Pacific,340,SCR,1998
233,1998-07-17,Lufthansa ,340,C,1998
235,1998-09-24,Olympic AW,340,,1998
236,1998-09-21,Singapore AL,340,,1998
237,1998-09-24,Air France,340,SCR,1998
239,1998-08-31,Olympic AW,340,,1998
242,1998-11-16,China Southwest AL,340,,1998
243,1998-10-23,China Southwest AL,340,,1998
245,1998-11-04,Air France,340,,1998
246,1998-11-09,Air France,340,,1998
252,1998-12-09,Lufthansa,340,C,1998
257,1999-01-28,Air Canada lsd,340,,1999
260,1999-02-04,Air France,340,,1999
263,1999-03-05,Austrian AL ,340,,1999
264,1999-02-11,China Southwest AL,340,,1999
268,1999-04-02,Air Mauritius,340,STD,1999
270,1999-03-31,THY Turkish AL,340,,1999
273,1999-05-04,Air Canada,340,,1999
274,1999-04-28,Lufthansa,340,,1999
278,1999-06-08,Air Canada,340,,1999
280,1999-07-13,Olympic AW,340,,1999
282,1999-06-18,Singapore AL,340,,1999
289,1999-08-03,Air France,340,W/O,1999
292,1999-09-30,Olympic AW,340,,1999
297,1999-09-24,Lufthansa,340,C,1999
302,1999-11-10,Iberia,340,,1999
304,1999-11-17,Lufthansa,340,C,1999
307,1999-10-19,Air France,340,SCR,1999
310,1999-12-02,Air France,340,SCR,1999
318,2000-01-24,Iberia,340,,2000
319,2000-02-09,Air France,340,,2000
321,2000-02-02,Lufthansa,340,C,2000
325,2000-02-09,Lufthansa,340,C,2000
327,2000-02-11,Lufthansa,340,STD,2000
329,2000-02-18,Iberia,340,SCR,2000
331,2000-03-16,THY Turkish AL,340,STD,2000
332,2000-03-13,Iberia,340,,2000
335,2000-05-17,Lufthansa,340,,2000
347,2000-06-16,Lufthansa,340,C,2000
352,2000-06-20,Lufthansa,340,W/O,2000
354,2000-07-12,Lufthansa,340,,2000
355,2000-08-29,Lufthansa,340,,2000
359,2000-09-05,LAN Chile,340,,2000
363,2000-09-21,LAN Chile,340,,2000
367,2000-10-27,AOM-Air Outre Mer lsd,340,,2000
373,2000-10-30,Air France lsd,340,,2000
374,2000-12-01,Fll/AOM-Air Outre Mer,340,,2000
377,2000-12-01,Air France lsd,340,SCR,2000
378,2000-12-15,Iberia,340,,2000
379,2000-12-15,Lufthansa,340,C,2000
381,2000-12-21,Cathay Pacific,340,,2000
383,2002-06-11,Virgin Atlantic AW,340,,2002
385,2001-02-01,Air Tahiti Nui,340,SCR,2001
387,2001-01-26,Iberia,340,,2001
390,2001-02-08,Lufthansa,340,C,2001
391,2002-09-02,Virgin Atlantic AW,340,,2002
395,2001-06-25,Canada 3000 AL lsd,340,,2001
399,2001-03-08,Air France,340,,2001
402,2001-04-03,China AL,340,,2001
406,2001-05-17,China AL,340,,2001
410,2002-10-16,South African AW,340,STD,2002
411,2001-06-11,China AL,340,,2001
413,2001-06-29,SAS,340,,2001
414,2001-06-05,Iberia,340,,2001
415,2001-07-05,China AL,340,,2001
416,2002-10-10,Virgin Atlantic AW,340,,2002
417,2002-12-04,South African AW,340,STD,2002
424,2001-09-06,SAS,340,,2001
426,2003-01-30,South African AW,340,C,2003
429,2001-10-12,LAN Chile,340,,2001
430,2001-10-11,SAS lsd,340,SCR,2001
431,2003-06-07,Iberia,340,,2003
433,2001-10-09,China AL,340,SCR,2001
434,2001-09-26,Lufthansa,340,C,2001
435,2001-10-11,SAS lsd,340,STD,2001
436,2002-09-28,Cathay Pacific AW lsd,340,,2002
438,2001-11-08,Air Tahiti Nui lsd,340,SCR,2001
440,2003-08-01,Iberia,340,,2003
442,2001-11-15,LAN Chile,340,,2001
445,2003-01-07,Air Canada,340,,2003
446,2001-12-04,Air Tahiti Nui lsd,340,SCR,2001
447,2001-12-06,Lufthansa,340,C,2001
449,2002-12-03,Virgin Atlantic AW,340,,2002
450,2002-01-10,SAS lsd,340,,2002
453,2002-11-16,Cathay Pacific AW lsd,340,,2002
457,2003-07-23,Emirates AL,340,,2003
459,2002-01-30,Iberia,340,,2002
460,2003-09-17,Iberia,340,STD,2003
464,2003-03-28,Air Canada,340,,2003
467,2002-03-22,SAS lsd,340,SCR,2002
468,2002-05-09,China Eastern AL,340,,2002
470,2002-04-03,SAS lsd,340,SCR,2002
471,2003-09-22,Emirates AL,340,,2003
474,2002-04-22,Iberia lsd,340,,2002
475,2003-02-17,Cathay Pacific AW lsd,340,,2003
478,2003-10-03,Singapore AL,340,,2003
482,2003-08-08,Lufthansa lsd,340,SCR,2003
483,2002-11-23,Iberia lsd,340,,2002
485,2003-09-12,Emirates AL,340,,2003
488,2003-06-04,China Eastern AL,340,,2003
492,2003-11-11,Singapore AL,340,,2003
495,2003-06-11,Qatar Gvmt,340,C,2003
499,2003-11-15,Singapore AL,340,,2003
514,2003-09-09,China Eastern AL,340,,2003
517,2003-10-10,Lufthansa,340,STD,2003
520,2003-10-29,Emirates AL,340,,2003
523,2003-10-23,Lufthansa lsd,340,STD,2003
528,2003-04-08,Singapore AL,340,,2003
531,2003-10-13,South African AW,340,C,2003
534,2003-10-31,South African AW lsd,340,STD,2003
537,2003-11-26,Lufthansa lsd,340,STD,2003
538,2003-06-11,Swiss Int'l AL lsd,340,C,2003
540,2003-11-18,Lufthansa,340,STD,2003
541,2003-05-28,China AL,340,SCR,2003
543,2004-01-13,Lufthansa,340,STD,2004
544,2003-09-18,South African AW,340,,2003
545,2003-07-03,Swiss Int'l AL,340,C,2003
546,2003-07-22,Swiss Int'l AL,340,C,2003
547,2003-12-03,South African AW,340,C,2003
554,2003-09-30,Singapore AL,340,,2003
556,2003-10-29,Swiss Int'l AL,340,,2003
557,2003-12-16,South African AW,340,,2003
559,2003-10-10,Swiss Int'l AL,340,,2003
560,2004-03-16,Singapore AL,340,,2004
561,2003-10-25,Swiss Int'l AL,340,,2003
562,2003-11-12,Swiss Int'l AL lsd,340,,2003
563,2004-03-06,Singapore AL,340,,2004
566,2004-01-20,Lufthansa,340,STD,2004
569,2004-02-06,Lufthansa,340,C,2004
572,2004-02-02,Emirates AL,340,SCR,2004
575,2004-02-18,Virgin Atlantic AW,340,,2004
577,2004-06-02,China Eastern AL,340,,2004
580,2004-04-16,Lufthansa,340,STD,2004
582,2004-02-20,South African AW,340,,2004
583,2004-05-04,Lufthansa,340,STD,2004
585,2004-02-27,Swiss Int'l AL,340,C,2004
586,2004-06-29,China Eastern AL,340,,2004
590,2004-03-11,South African AW,340,,2004
594,2005-04-18,NOT BUILT,340,,2005
598,2004-04-22,Swiss Int'l AL,340,C,2004
601,2004-09-07,Iberia,340,STD,2004
604,2004-09-17,Iberia,340,,2004
606,2004-10-19,Iberia,340,STD,2004
608,2004-11-04,Emirates AL,340,,2004
611,2004-11-23,Emirates AL,340,,2004
615,2004-11-25,Virgin Atlantic AW,340,,2004
617,2005-01-04,Iberia lsd,340,SCR,2005
619,2005-01-28,Iberia lsd,340,STD,2005
622,2004-12-21,Virgin Atlantic AW,340,,2004
624,2005-02-07,Thai AW Int,340,STD,2005
626,2005-03-11,South African AW lsd,340,STD,2005
628,2005-04-14,Thai AW Int,340,STD,2005
630,2005-04-18,South African AW lsd,340,STD,2005
639,2005-03-16,Virgin Atlantic AW,340,SCR,2005
643,2004-11-25,South African AW lsd,340,,2004
646,2004-12-08,South African AW,340,,2004
651,2005-02-09,South African AW,340,,2005
668,2005-05-13,Air Tahiti Nui,340,,2005
672,2005-05-18,Iberia,340,STD,2005
677,2005-06-06,Thai AW Int,340,STD,2005
681,2005-06-24,Thai AW Int,340,STD,2005
685,2005-06-30,Emirates AL,340,,2005
689,2005-07-12,Thai AW Int,340,STD,2005
694,2005-09-06,Emirates AL,340,,2005
698,2005-09-13,Thai AW Int,340,,2005
702,2005-09-15,Iberia,340,STD,2005
706,2005-10-07,Virgin Atlantic AW lsd,340,SCR,2005
710,2005-10-27,Thai AW Int,340,STD,2005
715,2005-11-18,Qatar AW,340,SCR,2005
719,2005-11-04,Thai AW Int,340,STD,2005
723,2006-01-04,Virgin Atlantic AW lsd,340,SCR,2006
727,2005-11-30,Iberia,340,STD,2005
731,2006-02-01,Iberia,340,W/O,2006
736,2006-02-09,Virgin Atlantic AW lsd,340,,2006
740,2006-06-03,Qatar AW,340,STD,2006
744,2006-03-16,Iberia,340,STD,2006
748,2006-03-30,Etihad AW,340,,2006
753,2006-05-10,Virgin Atlantic AW,340,,2006
757,2006-04-28,Etihad AW,340,,2006
761,2006-08-11,Etihad AW,340,,2006
762,2006-07-17,Lufthansa,340,SCR,2006
763,2006-09-01,Lufthansa,340,SCR,2006
764,2006-06-09,Virgin Atlantic AW,340,,2006
765,2006-08-08,Virgin Atlantic AW,340,,2006
766,2006-10-13,Qatar AW,340,,2006
767,2006-10-11,Lufthansa,340,SCR,2006
768,2006-09-05,Virgin Atlantic AW,340,,2006
771,2006-11-08,Lufthansa,340,STD,2006
775,2006-10-13,Thai AW Int,340,STD,2006
779,2006-11-28,National Air Service lsd,340,,2006
783,2006-10-31,Etihad AW,340,,2006
787,2006-11-15,Virgin Atlantic AW,340,,2006
790,2007-01-03,Lufthansa,340,SCR,2007
793,2006-11-08,Air Mauritius,340,SCR,2006
794,2007-01-30,Lufthansa,340,SCR,2007
798,2007-02-16,Qatar AW,340,,2007
800,2006-11-27,Air Mauritius,340,SCR,2006
804,2007-02-09,Virgin Atlantic AW lsd,340,SCR,2007
812,2007-03-05,Lufthansa,340,SCR,2007
829,2007-05-04,Etihad AW,340,,2007
835,2007-04-11,Finnair,340,,2007
837,2007-08-01,Etihad AW,340,,2007
844,2007-06-01,Finnair,340,,2007
846,2008-04-03,Lufthansa,340,C,2008
848,2008-05-06,Lufthansa,340,STD,2008
856,2007-09-21,Etihad AW,340,W/O,2007
870,2007-10-31,Etihad AW,340,,2007
886,2008-02-06,Azerbaijan AL lsd,340,C,2008
894,2008-04-09,Azerbaijan AL lsd,340,C,2008
897,2008-03-05,Lufthansa,340,STD,2008
902,2008-05-29,Tunisian Gvmt,340,,2008
910,2008-06-17,Arik Air,340,,2008
912,2008-07-18,Arik Air,340,,2008
917,2008-05-15,Algerian Government,340,C,2008
921,2008-04-30,Finnair lsd,340,,2008
924,2008-08-29,Royal Jordanian AF,340,,2008
929,2008-10-01,Etihad AW,340,,2008
933,2008-11-07,Etihad AW,340,,2008
938,2008-07-02,Finnair,340,,2008
953,2008-08-06,Thai AW Int,340,STD,2008
955,2008-09-17,Global Jet Luxembourg,340,,2008
960,2009-01-14,Iberia,340,STD,2009
972,2008-12-03,Lufthansa,340,STD,2008
981,2009-01-27,Lufthansa,340,STD,2009
987,2009-02-27,Lufthansa,340,C,2009
993,2009-07-29,Iberia,340,STD,2009
1005,2009-04-14,Lufthansa,340,STD,2009
1017,2009-06-12,Iberia,340,STD,2009
1030,2009-07-23,Etihad AW,340,,2009
1040,2009-08-06,Etihad AW,340,,2009
1079,2010-01-26,Iberia,340,STD,2010
1091,2010-05-11,Kuwait Government,340,C,2010
1102,2010-11-16,Kuwait Government,340,C,2010
1122,2010-06-25,Iberia,340,STD,2010
