c/n,f/f,operator,type,St,year
5,1992-07-31,Air France lsd,340,,1992
6,1992-07-20,Lufthansa ,340,,1992
7,1993-01-15,Air France lsd,340,,1993
8,1992-12-07,Lufthansa ,340,,1992
9,1993-01-13,Lufthansa ,340,,1993
10,1993-03-18,Sabena/Air France ,340,W/O,1993
11,1993-02-03,Lufthansa ,340,,1993
13,1993-10-19,Virgin Atlantic ,340,,1993
14,1993-04-01,Sabena/Air France ,340,,1993
15,1993-10-26,Virgin Atlantic ,340,,1993
16,1993-11-03,Virgin Atlantic ,340,,1993
18,1993-06-18,Lufthansa ,340,,1993
19,1993-07-02,Lufthansa ,340,,1993
20,1993-09-08,Lufthansa ,340,,1993
21,1993-08-06,Lufthansa ,340,,1993
22,1993-05-24,Sabena/Air France ,340,,1993
23,1993-06-08,THY Turkish AL,340,SCR,1993
24,1993-10-06,Lufthansa ,340,SCR,1993
25,1993-06-21,THY Turkish AL,340,STD,1993
26,1993-04-23,Qatar Gvmt,340,C,1993
27,1993-10-01,Lufthansa ,340,SCR,1993
28,1994-01-04,Lufthansa ,340,SCR,1994
29,1993-07-21,Air France lsd,340,SCR,1993
31,1993-07-23,Air France,340,,1993
32,1994-04-25,Air Lanka ,340,,1994
33,1994-07-20,Air Lanka ,340,,1994
35,1994-03-31,Lufthansa ,340,SCR,1994
36,1994-04-06,Gulf Air,340,,1994
38,1993-12-01,Air France,340,,1993
39,1994-05-25,Gulf Air,340,,1994
40,1994-07-01,Gulf Air,340,,1994
41,1994-11-25,TAP Air Portugal,340,SCR,1994
43,1994-02-02,Air France,340,,1994
44,1994-12-14,TAP Air Portugal,340,SCR,1994
46,1994-02-22,Bahrein Gvmt,340,,1994
47,1994-02-09,Sabena/Air France ,340,,1994
48,1994-04-26,Air Mauritius lsd ,340,,1994
49,1994-03-18,Air France lsd,340,,1994
51,1994-03-18,Sabena/Air France ,340,,1994
52,1994-06-30,Lufthansa ,340,SCR,1994
53,1994-10-17,Lufthansa ,340,SCR,1994
56,1994-12-07,Lufthansa ,340,,1994
57,1994-04-15,THY Turkish AL,340,STD,1994
58,1994-10-05,Virgin Atlantic ,340,,1994
61,1994-04-12,Egypt Govmt ,340,C,1994
63,1994-09-14,PAL/Cathay Pacific,340,,1994
74,1994-10-27,PAL/Cathay Pacific,340,,1994
75,1995-02-02,Austrian AL ,340,,1995
76,1994-10-21,Air Mauritius ,340,SCR,1994
78,1995-01-05,Air France,340,SCR,1995
79,1995-02-17,TAP Air Portugal,340,SCR,1995
80,1994-12-05,PAL/Cathay Pacific,340,,1994
81,1995-02-07,Austrian AL ,340,,1995
84,1995-07-12,Air France,340,SCR,1995
85,1995-03-03,PAL/Cathay Pacific,340,,1995
88,1995-01-19,Air Canada lsd,340,,1995
89,1995-03-08,Kuwait AW ,340,STD,1995
90,1995-03-23,Kuwait AW ,340,STD,1995
91,1995-03-28,TAP Air Portugal,340,STD,1995
93,1995-03-15,Air Canada lsd,340,,1995
94,1995-03-13,Air Mauritius lsd ,340,,1995
97,1995-05-17,Gulf Air,340,,1995
