c/n,f/f,operator,type,St,year
6.0,2014-10-15,Qatar AW,350,C,2014
7.0,2015-01-21,Qatar AW,350,C,2015
8.0,2015-07-09,Qatar AW,350,C,2015
9.0,2015-03-27,Qatar AW,350,C,2015
10.0,2015-05-11,Qatar AW,350,C,2015
11.0,2015-08-28,Qatar AW,350,C,2015
12.0,2016-02-05,Qatar AW,350,C,2016
13.0,2015-10-08,Qatar AW,350,C,2015
14.0,2015-06-01,Vietnam AL lsd,350,C,2015
15.0,2015-07-31,Vietnam AL lsd,350,C,2015
16.0,2015-09-10,Vietnam AL lsd,350,C,2015
17.0,2015-10-30,Vietnam AL lsd,350,C,2015
18.0,2015-09-16,Finnair,350,C,2015
19.0,2015-10-22,Finnair,350,C,2015
20.0,2015-11-07,Finnair,350,C,2015
21.0,2016-03-14,Qatar AW,350,C,2016
22.0,2015-12-04,Finnair,350,C,2015
23.0,2016-01-07,Finnair,350,C,2016
24.0,2015-12-01,TAM,350,,2015
25.0,2016-05-06,Qatar AW,350,C,2016
26.0,2016-02-02,Singapore AL,350,C,2016
27.0,2016-02-10,TAM,350,,2016
28.0,2016-04-13,Finnair,350,C,2016
29.0,2016-03-24,Cathay Pacific,350,C,2016
30.0,2016-04-02,Singapore AL,350,C,2016
31.0,2016-04-27,Singapore AL,350,C,2016
32.0,2016-08-04,Cathay Pacific,350,C,2016
33.0,2016-05-30,Qatar AW,350,C,2016
34.0,2016-06-08,Cathay Pacific,350,C,2016
35.0,2016-04-27,TAM,350,,2016
36.0,2016-09-07,Qatar AW,350,C,2016
37.0,2016-06-03,Singapore AL,350,C,2016
38.0,2016-09-05,Cathay Pacific,350,C,2016
39.0,2016-07-25,Cathay Pacific,350,C,2016
40.0,2016-06-08,Ethiopian AL,350,C,2016
41.0,2016-07-06,Singapore AL,350,C,2016
42.0,2016-10-18,Qatar AW,350,C,2016
43.0,2016-08-01,Ethiopian AL,350,C,2016
44.0,2016-07-22,Thai AW International,350,C,2016
45.0,2016-08-05,LATAM,350,,2016
46.0,2016-09-30,Cathay Pacific,350,C,2016
47.0,2017-01-13,Qatar AW,350,C,2017
48.0,2016-09-06,LATAM,350,,2016
49.0,2016-09-14,China AL,350,C,2016
50.0,2016-09-15,Thai AW International,350,C,2016
51.0,2016-09-07,Finnair,350,C,2016
52.0,2016-10-26,Sichuan AL,350,C,2016
53.0,2016-10-28,Cathay Pacific,350,C,2016
54.0,2016-09-26,Singapore AL,350,C,2016
55.0,2016-12-01,Sichuan AL,350,C,2016
56.0,2016-10-05,Vietnam AL,350,C,2016
57.0,2016-10-27,China AL,350,C,2016
58.0,2016-10-18,Cathay Pacific,350,C,2016
60.0,2017-10-27,Sichuan AL,350,C,2017
61.0,2016-11-09,Cathay Pacific,350,C,2016
62.0,2016-11-17,Singapore AL,350,C,2016
63.0,2017-08-25,Qatar AW,350,C,2017
64.0,2016-10-17,LATAM,350,,2016
66.0,2016-12-01,China AL,350,C,2016
67.0,2016-12-13,Vietnam AL,350,C,2016
68.0,2016-11-18,Singapore AL,350,C,2016
69.0,2017-04-06,Qatar AW,350,C,2017
70.0,2017-01-13,Cathay Pacific,350,C,2017
72.0,2017-02-17,Cathay Pacific,350,C,2017
73.0,2016-12-14,China AL,350,C,2016
74.0,2016-11-29,Lufthansa,350,C,2016
75.0,2016-12-11,Cathay Pacific,350,C,2016
76.0,2017-05-17,Qatar AW,350,C,2017
77.0,2016-12-02,Singapore AL,350,C,2016
78.0,2017-09-05,Qatar AW,350,C,2017
79.0,2016-11-29,LATAM,350,,2016
80.0,2017-01-27,Lufthansa,350,C,2017
81.0,2016-12-15,Singapore AL,350,C,2016
82.0,2017-02-08,Air Caraibes,350,C,2017
