c/n,f/f,operator,type,St
,1994-01-31,Trent-PR 330,*33,
30.0,1993-06-22,Air Inter ,330,
37.0,1993-10-20,Air Inter ,330,
45.0,1994-01-31,Air Inter ,330,
50.0,1994-03-28,Thai AW Int ,330,STD
54.0,1994-02-24,Aer Lingus lsd,330,
55.0,1994-03-17,Aer Lingus lsd,330,
59.0,1994-01-06,Air Inter ,330,
60.0,1994-10-08,Thai AW Int ,330,SCR
62.0,1994-12-08,Thai AW Int ,330,SCR
64.0,1994-11-25,Thai AW Int ,330,SCR
65.0,1995-01-13,Thai AW Int ,330,SCR
66.0,1995-02-03,Thai AW Int ,330,STD
67.0,1995-10-02,Malaysian AS,330,SCR
68.0,1994-08-09,Malaysian AS,330,W/O
69.0,1994-09-28,Malaysian AS,330,SCR
70.0,1994-10-27,Aer Lingus lsd,330,
71.0,1994-08-27,Cathay Pacific,330,
72.0,1995-01-26,LTU lsd,330,
73.0,1995-08-03,Malaysian AS,330,SCR
77.0,1995-03-21,Malaysian AS,330,SCR
82.0,1994-11-24,LTU Int'l AW lsd,330,
83.0,1995-09-02,Cathay Pacific,330,
86.0,1994-12-21,Aer Lingus,330,
87.0,1995-01-03,LTU lsd,330,
95.0,1995-07-04,LTU lsd,330,
96.0,1995-12-04,Malaysian AS lsd,330,
98.0,1995-05-04,Dragonair lsd,330,
99.0,1995-05-23,Cathay Pacific,330,
100.0,1995-05-05,Malaysian AS,330,SCR
102.0,1995-09-06,Cathay Pacific,330,
106.0,1995-06-18,Dragonair lsd,330,
107.0,1995-06-22,Malaysian AS,330,SCR
109.0,1995-06-07,Cathay Pacific,330,
110.0,1995-07-18,Malaysian AS,330,SCR
111.0,1995-05-09,Dragonair lsd,330,
112.0,1995-08-29,Thai AW Int ,330,STD
113.0,1995-03-10,Cathay Pacific,330,
116.0,1995-05-10,Malaysian AS,330,
118.0,1995-08-11,Cathay Pacific,330,
119.0,1995-11-21,Malaysian AS,330,SCR
120.0,1996-02-13,LTU Int'l AW,330,
121.0,1995-12-18,Cathay Pacific,330,
122.0,1995-11-17,Thai AW Int ,330,STD
127.0,1996-01-26,LTU Int'l AW,330,
132.0,1996-03-15,Cathay Pacific,330,
138.0,1996-11-21,Garuda,330,C
140.0,1996-06-12,Garuda Indonesian AW,330,C
143.0,1996-08-22,Malaysian AS lsd,330,
144.0,1997-09-01,Garuda Indonesian AW,330,C
148.0,1997-01-31,Garuda,330,C
153.0,1997-02-27,Garuda Indonesian AW,330,C
155.0,1996-10-17,Cathay Pacific,330,
162.0,1997-01-29,Korean Air,330,C
165.0,1997-03-20,Garuda,330,C
171.0,1997-02-04,LTU ,330,
172.0,1997-04-28,Korean Air,330,C
177.0,1997-07-06,Dragonair lsd,330,
181.0,1997-08-13,PROTO 330-200 #1,330,
183.0,1997-09-07,Philippine AL ,330,
184.0,1997-07-28,Philippine AL ,330,
