c/n,f/f,operator,type,St
158.0,2017-10-20,Singapore AL,350,C
159.0,2017-11-09,Malaysia AL,350,C
160.0,2017-11-11,Delta AL,350,C
161.0,2018-11-13,Qatar AW,350,C
162.0,2017-11-13,China AL,350,C
163.0,2018-07-19,Qatar AW,350,C
164.0,2017-11-07,Delta AL,350,C
165.0,2017-11-30,Malaysia AL,350,C
167.0,2018-05-31,Air China,350,C
168.0,2017-10-23,Hong Kong AL,350,
169.0,2018-08-01,Cathay Pacific,350,C
170.0,2017-12-06,Singapore AL,350,C
172.0,2018-08-23,Qatar AW,350,C
173.0,2017-12-09,Vietnam AL,350,C
174.0,2017-12-21,Lufthansa,350,C
175.0,2017-12-06,Delta AL,350,C
176.0,2017-12-06,Asiana AL,350,C
177.0,2018-01-08,Thai AW International,350,C
178.0,2018-07-02,Air China,350,C
179.0,2017-12-20,China AL,350,C
180.0,2018-01-09,Ethiopian AL,350,C
181.0,2018-01-10,Thai AW International,350,C
182.0,2018-01-05,Delta AL,350,C
183.0,2018-01-23,Malaysia AL,350,C
184.0,2018-01-19,Lufthansa,350,C
185.0,2018-01-29,Thai AW International,350,C
186.0,2018-01-22,Singapore AL,350,C
187.0,2018-02-01,Hong Kong AL,350,
188.0,2018-06-15,Cathay Pacific,350,C
189.0,2018-02-02,Thai AW International,350,C
190.0,2018-02-07,Delta AL,350,C
191.0,2018-02-09,China AL,350,C
192.0,2018-02-14,Vietnam AL,350,C
193.0,2018-02-16,French Bee,350,C
195.0,2018-02-28,Malaysia AL,350,C
196.0,2018-02-12,Ethiopian AL,350,C
197.0,2018-03-07,Vietnam AL,350,C
198.0,2018-02-19,Asiana AL,350,C
199.0,2018-03-14,Delta AL,350,C
200.0,2018-03-22,LATAM AL,350,
201.0,2018-03-06,Thai AW International,350,C
202.0,2018-04-11,Lufthansa,350,C
203.0,2018-04-03,Malaysia AL,350,C
204.0,2018-04-25,Delta AL,350,C
205.0,2018-03-21,Ethiopian AL,350,C
206.0,2018-09-06,Cathay Pacific,350,C
207.0,2018-09-21,Qatar AW,350,C
208.0,2018-04-06,China AL,350,C
209.0,2018-04-30,Lufthansa,350,C
210.0,2018-05-14,Delta AL,350,C
211.0,2018-12-04,Qatar AW,350,C
212.0,2018-04-19,Lufthansa,350,C
213.0,2018-05-29,Malaysia AL,350,C
214.0,2019-01-31,Qatar AW,350,C
215.0,2019-02-05,Qatar AW,350,C
216.0,2018-04-23,Singapore AL,350,C
217.0,2018-05-30,Air China,350,C
218.0,2018-06-11,Asiana AL,350,C
219.0,2018-05-29,Iberia,350,C
220.0,2018-07-05,Singapore AL,350,C
221.0,2018-06-07,Philippine AL,350,C
223.0,2018-08-16,Singapore AL,350,C
224.0,2019-02-20,Asiana AL,350,C
225.0,2018-10-09,Cathay Pacific,350,C
226.0,2018-07-17,LATAM AL (ntu),350,
227.0,2018-07-17,Iberia,350,C
228.0,2018-07-11,Philippine AL,350,
229.0,2019-03-06,Qatar AW,350,C
230.0,2018-08-01,Singapore AL,350,C
231.0,2018-06-29,Air China lsd,350,C
232.0,2018-10-10,Singapore AL,350,C
233.0,2018-10-25,Cathay Pacific,350,C
234.0,2019-02-20,Asiana AL,350,C
235.0,2018-07-24,Hong Kong AL,350,STD
236.0,2018-07-31,Philippine AL,350,
237.0,2019-04-01,Qatar AW,350,C
238.0,2018-11-05,Singapore AL,350,C
239.0,2018-08-09,China AL,350,C
240.0,2018-09-05,Air China,350,C
241.0,2019-04-23,Qatar AW,350,C
243.0,2018-09-11,Philippine AL,350,
244.0,2018-11-22,Singapore AL,350,C
245.0,2018-10-03,LATAM AL (ntu),350,
246.0,2018-10-08,Hainan AL,350,STD
247.0,2018-10-22,Air China,350,C
248.0,2018-10-30,China Eastern AL,350,C
249.0,2019-05-20,Qatar AW,350,C
250.0,2018-09-28,LATAM AL,350,
251.0,2018-10-12,Hong Kong AL,350,
252.0,2018-10-29,Cathay Pacific,350,C
254.0,2018-11-27,Singapore AL,350,C
255.0,2018-10-08,Lufthansa,350,C
256.0,2018-10-17,Hong Kong AL,350,
257.0,2019-06-27,Qatar AW,350,C
258.0,2018-11-27,Cathay Pacific,350,C
259.0,2018-11-09,Ethiopian AL,350,C
260.0,2018-11-29,Hong Kong AL,350,
261.0,2018-11-28,China Eastern AL,350,C
262.0,2019-01-09,Cathay Pacific,350,C
263.0,2018-11-14,Singapore AL,350,C
264.0,2018-11-19,Finnair,350,C
265.0,2019-02-04,Qatar AW,350,
266.0,2019-06-13,Qatar AW,350,C
267.0,2018-12-14,Delta AL,350,C
268.0,2018-12-07,Air China,350,C
269.0,2018-12-19,China Eastern AL,350,C
270.0,2018-11-29,ITA AW,350,C
271.0,2019-01-04,Iberia,350,C
272.0,2019-02-06,China Eastern AL,350,C
273.0,2019-01-17,Finnair,350,C
274.0,2019-06-25,Virgin Atlantic AW,350,C
276.0,2019-01-11,Singapore AL,350,C
277.0,2019-01-08,Delta AL,350,C
278.0,2019-01-29,Singapore AL,350,C
279.0,2019-01-28,Vietnam AL,350,C
280.0,2019-01-07,Philippine AL,350,
281.0,2019-03-06,Sichuan AL,350,C
282.0,2019-06-04,Qatar AW lsd,350,
283.0,2022-04-19,ITA AW,350,C
284.0,2018-12-12,Air China,350,C
285.0,2019-02-21,Adhan Aircraft Leasing,350,
286.0,2019-02-15,Cathay Pacific,350,C
287.0,2019-02-11,Lufthansa,350,C
289.0,2019-03-13,Ethiopian AL,350,C
290.0,2019-04-04,Etihad AW,350,C
291.0,2019-03-21,China Eastern AL,350,C
292.0,2019-01-31,Lufthansa,350,C
293.0,2019-03-04,Evelop,350,C
294.0,2019-03-25,Singapore AL,350,C
295.0,2019-04-16,Air China,350,C
296.0,2019-03-12,Cathay Pacific,350,C
297.0,2019-02-26,Vietnam AL,350,C
298.0,2019-05-27,Virgin Atlantic AW,350,C
299.0,2019-10-24,Fiji AW,350,C
300.0,2019-04-03,Finnair,350,C
301.0,2019-05-24,Asiana AL,350,C
302.0,2019-04-04,Iberia,350,C
303.0,2019-04-09,Philippine AL,350,C
305.0,2019-03-19,Singapore AL,350,C
306.0,2019-05-03,Cathay Pacific,350,C
307.0,2019-05-15,China Eastern AL,350,C
308.0,2019-06-12,Adhan Aircraft Leasing,350,
309.0,2019-04-17,Singapore AL,350,C
310.0,2019-04-30,Ethiopian AL,350,C
311.0,2019-05-13,Air China,350,C
312.0,2019-05-07,Iberia,350,C
313.0,2019-10-03,Qatar AW lsd,350,
314.0,2019-06-19,Lufthansa,350,C
315.0,2019-05-14,Etihad AW,350,C
316.0,2019-04-16,Singapore AL,350,C
318.0,2019-06-03,China Southern AL,350,C
319.0,2019-06-25,Virgin Atlantic AW,350,C
320.0,2019-11-19,Fiji AW,350,C
321.0,2019-05-16,Japan AL,350,C
322.0,2019-06-12,Singapore AL,350,C
323.0,2019-08-07,ALAFCO,350,
324.0,2019-06-18,Cathay Pacific AL,350,C
325.0,2019-05-23,French Bee,350,C
326.0,2019-07-02,British AW,350,C
327.0,2019-07-08,Air Caraibes,350,C
328.0,2019-07-19,Singapore AL,350,C
329.0,2019-06-26,Singapore AL,350,C
330.0,2019-06-05,Etihad AW,350,C
331.0,2019-08-27,Air France,350,C
332.0,2019-09-05,Qatar AW,350,C
333.0,2019-07-08,Japan AL,350,C
334.0,2019-07-05,China Southern AL,350,C
335.0,2019-09-23,Asiana AL,350,C
336.0,2019-07-23,Virgin Atlantic AW,350,C
337.0,2019-07-22,Cathay Pacific AL,350,C
338.0,2019-09-26,ALAFCO,350,
339.0,2019-09-11,China Southern AL,350,C
340.0,2019-08-21,British AW,350,C
341.0,2019-07-30,Singapore AL,350,C
342.0,2019-08-06,Etihad AW,350,C
343.0,2019-08-19,Japan AL,350,C
344.0,2019-08-16,Singapore AL,350,C
345.0,2019-09-06,Ethiopian AL,350,C
346.0,2019-10-01,Qatar AW,350,C
347.0,2019-10-10,China Southern AL,350,C
348.0,2019-10-11,Singapore AL,350,C
349.0,2019-10-05,Air France,350,C
350.0,2019-10-15,Qatar AW,350,C
351.0,2019-08-26,Hainan AL,350,
352.0,2019-09-06,Japan AL,350,C
354.0,2019-10-11,South African AW lsd,350,
355.0,2019-09-17,Hainan AL,350,
356.0,2019-11-22,Qatar AW,350,C
357.0,2019-09-20,China Southern AL,350,C
358.0,2019-11-06,SAS Scandinavian AL,350,C
359.0,2019-11-12,Air France,350,C
362.0,2019-11-06,British AW,350,C
363.0,2019-11-22,LATAM AL,350,
364.0,2019-11-07,Singapore AL,350,C
365.0,2019-11-14,South African AW lsd,350,
366.0,2019-11-13,Iberia,350,C
368.0,2020-02-11,Qatar AW,350,C
369.0,2019-11-07,Singapore AL,350,C
370.0,2019-11-05,Japan AL,350,C
371.0,2019-11-21,Singapore AL,350,C
372.0,2020-01-28,Qatar AW,350,C
373.0,2019-11-29,China Eastern AL,350,C
374.0,2019-12-11,British AW,350,C
375.0,2019-11-28,Ethiopian AL,350,C
376.0,2019-11-29,China Southern AL,350,C
378.0,2020-01-14,SAS Scandinavian AL,350,C
379.0,2020-01-07,Singapore AL,350,C
380.0,2020-07-09,Cathay Pacific AL,350,C
381.0,2020-01-14,Air France,350,C
382.0,2020-03-04,Qatar AW,350,C
383.0,2020-02-03,Aeroflot,350,
385.0,2020-01-14,Singapore AL,350,C
386.0,2020-01-16,British AW,350,C
387.0,2020-01-10,Asiana AL,350,C
388.0,2020-04-23,Etihad AW,350,C
389.0,2020-02-11,Asiana AL,350,C
390.0,2020-01-31,Lufthansa,350,C
391.0,2020-02-13,SAS Scandinavian AL,350,C
392.0,2019-12-19,Finnair,350,C
393.0,2021-06-24,Cathay Pacific AL,350,C
394.0,2020-02-06,Singapore AL,350,C
395.0,2020-03-05,Delta AL,350,C
396.0,2020-01-15,Cathay Pacific AL,350,C
397.0,2020-01-17,Iberia,350,C
398.0,2020-02-10,China Southern AL,350,C
399.0,2020-05-11,Qatar AW,350,C
400.0,2020-02-24,Evelop AL,350,C
401.0,2020-02-07,Cathay Pacific AL,350,C
402.0,2020-04-03,British AW,350,C
403.0,2020-03-13,THY Turkish AL,350,C
404.0,2020-06-25,Delta AL,350,C
405.0,2020-03-11,Japan AL,350,C
406.0,2020-03-16,Iberia,350,C
407.0,2020-04-10,Air France,350,C
408.0,2020-05-18,China Eastern AL,350,C
409.0,2021-09-01,Qatar AW ntu,350,STD
410.0,2020-05-18,Finnair,350,C
411.0,2020-07-15,China Southern AL,350,C
412.0,2020-05-07,Ethiopian AL,350,C
413.0,2020-07-23,Cathay Pacific AL,350,C
414.0,2020-05-04,Aeroflot,350,
415.0,2020-05-18,Virgin Atlantic AW,350,C
416.0,2020-02-21,German Air Force,350,C
417.0,2021-03-29,China Southern AL,350,C
418.0,2020-06-09,SAS Scandinavian AL,350,C
419.0,2020-04-30,Iberia,350,C
420.0,2020-08-17,Qatar AW,350,C
421.0,2020-06-04,THY Turkish AL,350,C
422.0,2020-06-03,Air France,350,C
423.0,2020-09-22,China Eastern AL,350,C
424.0,2021-05-17,Cathay Pacific AL,350,C
425.0,2020-10-26,Asiana AL,350,C
426.0,2020-07-03,Virgin Atlantic AW,350,C
427.0,2020-05-29,Lufthansa,350,C
428.0,2020-06-26,Aeroflot,350,
429.0,2020-12-18,Aeroflot,350,
430.0,2021-11-18,Qatar AW ntu,350,STD
431.0,2020-08-27,Ethiopian AL,350,C
432.0,2020-08-07,British AW,350,C
433.0,2020-06-11,French Bee,350,C
434.0,2021-02-08,Cathay Pacific AL,350,C
435.0,2020-07-28,THY Turkish AL,350,C
436.0,2020-08-14,Singapore AL,350,C
437.0,2021-03-05,Aeroflot,350,
438.0,2022-01-27,Qatar AW ntu,350,STD
439.0,2020-08-18,Singapore AL,350,C
440.0,2022-04-29,Qatar AW ntu,350,STD
441.0,2021-05-27,Aeroflot,350,
442.0,2021-02-02,THY Turkish AL,350,C
443.0,2020-07-31,K5 Aviation,350,C
444.0,2022-06-09,Qatar AW ntu,350,STD
445.0,2020-09-11,Singapore AL,350,C
446.0,2020-10-22,British AW,350,C
447.0,2020-09-22,Singapore AL,350,C
448.0,2021-04-23,World2fly,350,C
449.0,2021-01-28,China Southern AL,350,C
451.0,2020-10-08,Japan AL,350,C
452.0,2020-12-14,China Eastern AL,350,C
