year,0
1993,2
1994,14
1995,26
1996,7
1997,17
1998,21
1999,46
2000,41
2001,33
2002,41
2003,31
2004,44
2005,57
2006,63
2007,63
2008,74
2009,81
2010,76
2011,85
2012,89
2013,104
2014,98
2015,97
2016,64
2017,67
2018,49
2019,52
2020,20
2021,19
2022,23
