c/n,f/f,operator,type,St
5.0,2006-07-19,Singapore AL,380,
6.0,2006-11-17,Singapore AL,380,
8.0,2007-03-19,Singapore AL,380,
10.0,2007-12-21,Singapore AL,380,
11.0,2007-09-04,Emirates AL,380,SCR
12.0,2008-02-20,Singapore AL,380,C
13.0,2008-04-02,Emirates AL,380,SCR
14.0,2008-01-25,Qantas lsd,380,STD
15.0,2008-06-25,Qantas,380,C
16.0,2008-05-28,Emirates AL,380,C
17.0,2008-09-29,Emirates AL,380,C
19.0,2008-11-07,Singapore AL,380,SCR
20.0,2008-07-15,Emirates AL,380,C
21.0,2008-12-10,Singapore AL,380,SCR
22.0,2008-08-01,Qantas lsd,380,STD
23.0,2009-05-06,Emirates AL,380,C
25.0,2009-07-13,Emirates AL,380,C
26.0,2008-11-12,Qantas lsd,380,C
27.0,2009-03-18,Qantas lsd,380,STD
28.0,2009-10-15,Emirates AL,380,C
29.0,2009-03-30,Qantas lsd,380,STD
30.0,2010-01-14,Emirates AL,380,C
31.0,2011-03-03,China Southern AL,380,
33.0,2009-02-12,Air France lsd,380,STD
34.0,2009-01-12,Singapore AL,380,C
35.0,2010-11-16,Korean AL,380,C
36.0,2011-05-06,China Southern AL,380,
38.0,2009-10-06,Lufthansa,380,STD
39.0,2011-01-07,Korean AL,380,C
40.0,2009-06-02,Air France,380,SCR
41.0,2010-01-22,Lufthansa,380,STD
42.0,2010-04-06,Emirates AL,380,C
43.0,2009-07-20,Air France,380,STD
44.0,2010-02-15,Lufthansa,380,STD
45.0,2009-02-23,Singapore AL,380,C
46.0,2010-01-29,Emirates AL,380,C
47.0,2009-08-06,Qantas,380,STD
48.0,2010-04-29,Lufthansa,380,STD
49.0,2010-02-22,Air France,380,STD
50.0,2009-08-28,Qantas lsd,380,C
51.0,2009-09-10,Singapore AL,380,C
52.0,2010-08-10,Air France,380,STD
54.0,2011-08-12,China Southern AL,380,C
55.0,2010-07-15,Qantas,380,STD
56.0,2010-05-17,Emirates AL,380,C
57.0,2010-06-11,Emirates AL,380,C
58.0,2010-07-23,Singapore AL,380,C
59.0,2011-02-16,Korean AL,380,C
61.0,2010-08-03,Lufthansa,380,STD
62.0,2010-09-09,Qantas,380,C
63.0,2011-04-01,Qantas,380,C
64.0,2010-08-27,Air France lsd,380,STD
65.0,2010-09-29,Singapore AL,380,C
66.0,2010-10-18,Lufthansa,380,STD
67.0,2011-09-23,Air France lsd,380,STD
68.0,2011-03-15,Korean AL,380,C
69.0,2010-11-22,Lufthansa,380,STD
70.0,2010-12-09,Lufthansa,380,STD
71.0,2010-11-08,Singapore AL,380,C
72.0,2011-11-16,Lufthansa,380,STD
73.0,2011-11-28,Lufthansa,380,STD
74.0,2011-04-19,Qantas,380,STD
75.0,2011-05-16,Korean AL,380,C
76.0,2011-06-22,Singapore AL,380,C
77.0,2011-03-18,Emirates AL,380,C
78.0,2011-10-20,Malaysian AL,380,STD
79.0,2011-10-03,Singapore AL,380,C
80.0,2011-04-18,Emirates AL,380,C
81.0,2012-01-17,Malaysian AL,380,STD
82.0,2011-09-05,Singapore AL,380,C
83.0,2011-05-31,Emirates AL,380,C
84.0,2012-03-14,Malaysian AL,380,STD
85.0,2011-12-13,Singapore AL,380,C
86.0,2011-06-17,Emirates AL,380,C
87.0,2012-03-05,Thai AW,380,STD
88.0,2012-03-26,China Southern AL,380,C
89.0,2012-05-21,Malaysian AL,380,STD
90.0,2011-07-11,Emirates AL,380,C
92.0,2012-02-03,Singapore AL,380,C
93.0,2012-06-06,Thai AW,380,STD
94.0,2012-09-12,Malaysian AL,380,STD
95.0,2012-11-09,British AW,380,C
96.0,2012-06-27,Korean AL,380,C
98.0,2011-08-29,Emirates AL,380,C
99.0,2011-10-18,Air France lsd,380,STD
100.0,2012-08-13,Thai AW,380,STD
101.0,2011-10-28,Emirates AL,380,C
103.0,2012-01-10,Emirates AL,380,C
105.0,2012-02-28,Emirates AL,380,C
106.0,2012-04-05,Emirates AL,380,C
107.0,2012-04-26,Emirates AL,380,C
108.0,2012-04-23,Emirates AL,380,C
109.0,2012-05-11,Emirates AL,380,C
110.0,2012-07-05,Emirates AL,380,C
111.0,2012-07-19,Emirates AL,380,C
112.0,2012-08-02,Emirates AL,380,C
113.0,2012-11-26,Emirates AL,380,C
114.0,2012-10-29,Malaysian AL,380,STD
115.0,2013-03-08,Air France,380,STD
116.0,2012-12-14,Emirates AL,380,C
117.0,2014-01-16,Air France,380,STD
119.0,2013-01-03,Emirates AL,380,C
120.0,2012-09-25,China Southern AL,380,C
121.0,2013-02-04,British AW,380,C
122.0,2012-10-12,Thai AW,380,STD
123.0,2013-01-17,Emirates AL,380,C
