c/n,f/f_year,operator,type,St
5,92,Air France lsd,340,
6,92,Lufthansa ,340,
7,93,Air France lsd,340,
8,92,Lufthansa ,340,
9,93,Lufthansa ,340,
10,93,Sabena/Air France ,340,W/O
11,93,Lufthansa ,340,
13,93,Virgin Atlantic ,340,
14,93,Sabena/Air France ,340,
15,93,Virgin Atlantic ,340,
16,93,Virgin Atlantic ,340,
18,93,Lufthansa ,340,
19,93,Lufthansa ,340,
20,93,Lufthansa ,340,
21,93,Lufthansa ,340,
22,93,Sabena/Air France ,340,
23,93,THY Turkish AL,340,SCR
24,93,Lufthansa ,340,SCR
25,93,THY Turkish AL,340,STD
26,93,Qatar Gvmt,340,C
27,93,Lufthansa ,340,SCR
28,94,Lufthansa ,340,SCR
29,93,Air France lsd,340,SCR
31,93,Air France,340,
32,94,Air Lanka ,340,
33,94,Air Lanka ,340,
35,94,Lufthansa ,340,SCR
36,94,Gulf Air,340,
38,93,Air France,340,
39,94,Gulf Air,340,
40,94,Gulf Air,340,
41,94,TAP Air Portugal,340,SCR
43,94,Air France,340,
44,94,TAP Air Portugal,340,SCR
46,94,Bahrein Gvmt,340,
47,94,Sabena/Air France ,340,
48,94,Air Mauritius lsd ,340,
49,94,Air France lsd,340,
51,94,Sabena/Air France ,340,
52,94,Lufthansa ,340,SCR
53,94,Lufthansa ,340,SCR
56,94,Lufthansa ,340,
57,94,THY Turkish AL,340,STD
58,94,Virgin Atlantic ,340,
61,94,Egypt Govmt ,340,C
63,94,PAL/Cathay Pacific,340,
74,94,PAL/Cathay Pacific,340,
75,95,Austrian AL ,340,
76,94,Air Mauritius ,340,SCR
78,95,Air France,340,SCR
79,95,TAP Air Portugal,340,SCR
80,94,PAL/Cathay Pacific,340,
81,95,Austrian AL ,340,
84,95,Air France,340,SCR
85,95,PAL/Cathay Pacific,340,
88,95,Air Canada lsd,340,
89,95,Kuwait AW ,340,STD
90,95,Kuwait AW ,340,STD
91,95,TAP Air Portugal,340,STD
93,95,Air Canada lsd,340,
94,95,Air Mauritius lsd ,340,
97,95,Gulf Air,340,
101,95,Kuwait AW ,340,
103,95,Gulf Air/Egyptair ,340,
104,95,Kuwait AW ,340,
114,96,Virgin Atlantic lsd,340,
115,96,THY Turkish AL,340,
117,95,Singapore AL,340,
123,96,Singapore AL,340,
125,96,Iberia,340,
126,96,Singapore AL,340,
128,96,Singapore AL,340,
129,96,China Eastern AL,340,SCR
131,96,China Eastern AL,340,SCR
133,96,Gulf Air/Egyptair ,340,
134,96,Iberia,340,
135,96,Lufthansa ,340,C
136,96,Cathay Pacific,340,
137,96,Cathay Pacific,340,
139,96,Singapore AL,340,
141,96,China Eastern AL,340,SCR
142,96,Cathay Pacific,340,
145,96,Iberia,340,
146,96,Iberia,340,
147,96,Cathay Pacific,340,
149,96,Singapore AL,340,
150,96,Air Canada,340,
151,96,Brunei Gvmt ,340,
152,96,Air Mauritius lsd ,340,SCR
154,96,Air Canada,340,
156,96,Egyptair,340,
157,96,Cathay Pacific,340,
158,97,Lufthansa ,340,
159,96,Egyptair,340,
160,97,Cathay Pacific,340,
161,97,China Eastern AL,340,SCR
163,97,Singapore AL,340,
164,97,Virgin Atlantic lsd,340,
166,97,Singapore AL,340,
167,97,Air Canada,340,
168,97,Air France lsd,340,
169,97,Austrian AL ,340,
170,97,Air Canada,340,
173,97,Philippine AL ,340,
174,97,Air France lsd,340,
175,97,Air Canada,340,
176,97,Philippine AL ,340,
178,97,Egyptair,340,
179,97,Air Canada,340,
180,97,THY Turkish AL,340,
182,97,China Eastern AL,340,SCR
185,97,Singapore AL,340,
186,97,Air France,340,SCR
187,97,Philippine AL ,340,
