c/n,f/f_year,operator,type,St
220.0,18,Singapore AL,350,C
221.0,18,Philippine AL,350,C
223.0,18,Singapore AL,350,C
224.0,19,Asiana AL,350,C
225.0,18,Cathay Pacific,350,C
226.0,18,LATAM AL (ntu),350,
227.0,18,Iberia,350,C
228.0,18,Philippine AL,350,
229.0,19,Qatar AW,350,C
230.0,18,Singapore AL,350,C
231.0,18,Air China lsd,350,C
232.0,18,Singapore AL,350,C
233.0,18,Cathay Pacific,350,C
234.0,19,Asiana AL,350,C
235.0,18,Hong Kong AL,350,STD
236.0,18,Philippine AL,350,
237.0,19,Qatar AW,350,C
238.0,18,Singapore AL,350,C
239.0,18,China AL,350,C
240.0,18,Air China,350,C
241.0,19,Qatar AW,350,C
243.0,18,Philippine AL,350,
244.0,18,Singapore AL,350,C
245.0,18,LATAM AL (ntu),350,
246.0,18,Hainan AL,350,STD
247.0,18,Air China,350,C
248.0,18,China Eastern AL,350,C
249.0,19,Qatar AW,350,C
250.0,18,LATAM AL,350,
251.0,18,Hong Kong AL,350,
252.0,18,Cathay Pacific,350,C
254.0,18,Singapore AL,350,C
255.0,18,Lufthansa,350,C
256.0,18,Hong Kong AL,350,
257.0,19,Qatar AW,350,C
258.0,18,Cathay Pacific,350,C
259.0,18,Ethiopian AL,350,C
260.0,18,Hong Kong AL,350,
261.0,18,China Eastern AL,350,C
262.0,19,Cathay Pacific,350,C
263.0,18,Singapore AL,350,C
264.0,18,Finnair,350,C
265.0,19,Qatar AW,350,
266.0,19,Qatar AW,350,C
267.0,18,Delta AL,350,C
268.0,18,Air China,350,C
269.0,18,China Eastern AL,350,C
270.0,18,ITA AW,350,C
271.0,19,Iberia,350,C
272.0,19,China Eastern AL,350,C
273.0,19,Finnair,350,C
274.0,19,Virgin Atlantic AW,350,C
276.0,19,Singapore AL,350,C
277.0,19,Delta AL,350,C
278.0,19,Singapore AL,350,C
279.0,19,Vietnam AL,350,C
280.0,19,Philippine AL,350,
281.0,19,Sichuan AL,350,C
282.0,19,Qatar AW lsd,350,
283.0,22,ITA AW,350,C
284.0,18,Air China,350,C
285.0,19,Adhan Aircraft Leasing,350,
286.0,19,Cathay Pacific,350,C
287.0,19,Lufthansa,350,C
289.0,19,Ethiopian AL,350,C
290.0,19,Etihad AW,350,C
291.0,19,China Eastern AL,350,C
292.0,19,Lufthansa,350,C
293.0,19,Evelop,350,C
294.0,19,Singapore AL,350,C
295.0,19,Air China,350,C
296.0,19,Cathay Pacific,350,C
297.0,19,Vietnam AL,350,C
298.0,19,Virgin Atlantic AW,350,C
299.0,19,Fiji AW,350,C
300.0,19,Finnair,350,C
301.0,19,Asiana AL,350,C
302.0,19,Iberia,350,C
303.0,19,Philippine AL,350,C
305.0,19,Singapore AL,350,C
306.0,19,Cathay Pacific,350,C
307.0,19,China Eastern AL,350,C
308.0,19,Adhan Aircraft Leasing,350,
309.0,19,Singapore AL,350,C
310.0,19,Ethiopian AL,350,C
311.0,19,Air China,350,C
312.0,19,Iberia,350,C
313.0,19,Qatar AW lsd,350,
314.0,19,Lufthansa,350,C
315.0,19,Etihad AW,350,C
316.0,19,Singapore AL,350,C
318.0,19,China Southern AL,350,C
319.0,19,Virgin Atlantic AW,350,C
320.0,19,Fiji AW,350,C
321.0,19,Japan AL,350,C
322.0,19,Singapore AL,350,C
323.0,19,ALAFCO,350,
324.0,19,Cathay Pacific AL,350,C
325.0,19,French Bee,350,C
326.0,19,British AW,350,C
327.0,19,Air Caraibes,350,C
328.0,19,Singapore AL,350,C
329.0,19,Singapore AL,350,C
330.0,19,Etihad AW,350,C
331.0,19,Air France,350,C
332.0,19,Qatar AW,350,C
333.0,19,Japan AL,350,C
334.0,19,China Southern AL,350,C
335.0,19,Asiana AL,350,C
336.0,19,Virgin Atlantic AW,350,C
337.0,19,Cathay Pacific AL,350,C
338.0,19,ALAFCO,350,
339.0,19,China Southern AL,350,C
340.0,19,British AW,350,C
341.0,19,Singapore AL,350,C
342.0,19,Etihad AW,350,C
343.0,19,Japan AL,350,C
344.0,19,Singapore AL,350,C
345.0,19,Ethiopian AL,350,C
346.0,19,Qatar AW,350,C
347.0,19,China Southern AL,350,C
348.0,19,Singapore AL,350,C
349.0,19,Air France,350,C
350.0,19,Qatar AW,350,C
351.0,19,Hainan AL,350,
352.0,19,Japan AL,350,C
354.0,19,South African AW lsd,350,
355.0,19,Hainan AL,350,
356.0,19,Qatar AW,350,C
357.0,19,China Southern AL,350,C
358.0,19,SAS Scandinavian AL,350,C
359.0,19,Air France,350,C
362.0,19,British AW,350,C
363.0,19,LATAM AL,350,
364.0,19,Singapore AL,350,C
365.0,19,South African AW lsd,350,
366.0,19,Iberia,350,C
368.0,20,Qatar AW,350,C
369.0,19,Singapore AL,350,C
370.0,19,Japan AL,350,C
371.0,19,Singapore AL,350,C
372.0,20,Qatar AW,350,C
373.0,19,China Eastern AL,350,C
374.0,19,British AW,350,C
375.0,19,Ethiopian AL,350,C
376.0,19,China Southern AL,350,C
378.0,20,SAS Scandinavian AL,350,C
379.0,20,Singapore AL,350,C
380.0,20,Cathay Pacific AL,350,C
381.0,20,Air France,350,C
382.0,20,Qatar AW,350,C
383.0,20,Aeroflot,350,
385.0,20,Singapore AL,350,C
386.0,20,British AW,350,C
387.0,20,Asiana AL,350,C
388.0,20,Etihad AW,350,C
389.0,20,Asiana AL,350,C
390.0,20,Lufthansa,350,C
391.0,20,SAS Scandinavian AL,350,C
392.0,19,Finnair,350,C
393.0,21,Cathay Pacific AL,350,C
394.0,20,Singapore AL,350,C
395.0,20,Delta AL,350,C
396.0,20,Cathay Pacific AL,350,C
397.0,20,Iberia,350,C
398.0,20,China Southern AL,350,C
399.0,20,Qatar AW,350,C
400.0,20,Evelop AL,350,C
401.0,20,Cathay Pacific AL,350,C
402.0,20,British AW,350,C
403.0,20,THY Turkish AL,350,C
404.0,20,Delta AL,350,C
405.0,20,Japan AL,350,C
406.0,20,Iberia,350,C
407.0,20,Air France,350,C
408.0,20,China Eastern AL,350,C
409.0,21,Qatar AW ntu,350,STD
410.0,20,Finnair,350,C
411.0,20,China Southern AL,350,C
412.0,20,Ethiopian AL,350,C
413.0,20,Cathay Pacific AL,350,C
414.0,20,Aeroflot,350,
415.0,20,Virgin Atlantic AW,350,C
416.0,20,German Air Force,350,C
417.0,21,China Southern AL,350,C
418.0,20,SAS Scandinavian AL,350,C
419.0,20,Iberia,350,C
420.0,20,Qatar AW,350,C
421.0,20,THY Turkish AL,350,C
422.0,20,Air France,350,C
423.0,20,China Eastern AL,350,C
424.0,21,Cathay Pacific AL,350,C
425.0,20,Asiana AL,350,C
426.0,20,Virgin Atlantic AW,350,C
427.0,20,Lufthansa,350,C
428.0,20,Aeroflot,350,
429.0,20,Aeroflot,350,
430.0,21,Qatar AW ntu,350,STD
431.0,20,Ethiopian AL,350,C
432.0,20,British AW,350,C
433.0,20,French Bee,350,C
434.0,21,Cathay Pacific AL,350,C
435.0,20,THY Turkish AL,350,C
436.0,20,Singapore AL,350,C
437.0,21,Aeroflot,350,
438.0,22,Qatar AW ntu,350,STD
439.0,20,Singapore AL,350,C
440.0,22,Qatar AW ntu,350,STD
441.0,21,Aeroflot,350,
442.0,21,THY Turkish AL,350,C
443.0,20,K5 Aviation,350,C
444.0,22,Qatar AW ntu,350,STD
445.0,20,Singapore AL,350,C
446.0,20,British AW,350,C
447.0,20,Singapore AL,350,C
448.0,21,World2fly,350,C
449.0,21,China Southern AL,350,C
451.0,20,Japan AL,350,C
452.0,20,China Eastern AL,350,C
453.0,20,Iberia,350,C
454.0,21,THY Turkish AL,350,C
455.0,20,Air China,350,C
457.0,21,THY Turkish AL,350,C
458.0,20,Air China,350,C
459.0,21,Iberia,350,C
460.0,21,Singapore AL,350,C
462.0,21,China Southern AL,350,C
463.0,21,THY Turkish AL,350,C
464.0,20,Singapore AL,350,C
465.0,21,Air China,350,C
466.0,22,Aeroflot,350,
468.0,20,German AF,350,C
469.0,21,Singapore AL,350,C
470.0,21,China Eastern AL,350,C
471.0,22,THY Turkish AL,350,C
472.0,21,Singapore AL,350,C
473.0,21,British AW,350,C
474.0,21,Air China,350,C
475.0,21,Singapore AL,350,C
476.0,20,Japan AL,350,C
478.0,21,China Southern AL,350,C
479.0,21,Air France,350,C
480.0,22,Starlux AL,350,C
481.0,21,Air China,350,C
482.0,21,Air Caraibes Atlantique,350,C
483.0,21,Iberia,350,C
484.0,21,SAS,350,C
485.0,21,Singapore AL,350,C
487.0,21,Air China,350,C
488.0,21,Air France,350,C
489.0,21,China Eastern AL,350,C
490.0,22,British AW,350,C
491.0,21,Air France,350,C
492.0,21,Virgin Atlantic AW,350,C
493.0,22,THY Turkish AL,350,C
494.0,22,Singapore AL,350,C
495.0,22,British AW,350,C
496.0,22,THY Turkish AL,350,C
497.0,21,Japan AL,350,C
499.0,21,SAS,350,C
500.0,21,Air France,350,C
502.0,21,Air France,350,C
503.0,22,Cathay Pacific AL,350,C
504.0,22,Air China,350,C
505.0,21,China Eastern AL,350,C
506.0,22,China Southern AL,350,C
507.0,22,Virgin Atlantic AW,350,C
509.0,22,Cathay Pacific AL,350,C
510.0,21,Air France,350,C
512.0,22,China Southern AL,350,C
516.0,21,Finnair,350,C
517.0,21,Air China,350,C
520.0,21,Air France,350,C
524.0,21,Ethiopian AL,350,C
526.0,21,German Air Force,350,C
528.0,21,Air China,350,C
530.0,21,Delta AL,350,C
531.0,21,Japan AL,350,C
533.0,21,Air Caraibes,350,C
535.0,21,Japan AL,350,C
536.0,21,Japan AL,350,C
537.0,21,Air China,350,C
538.0,21,Japan AL,350,C
539.0,21,French Bee,350,C
540.0,22,China Eastern AL,350,C
541.0,21,Japan AL,350,C
542.0,21,Ethiopian AL,350,C
543.0,22,Japan AL,350,C
544.0,21,Air France,350,C
545.0,22,Delta AL,350,C
546.0,22,Air France,350,C
547.0,22,British AW,350,C
548.0,22,Air France,350,C
549.0,22,Iberia,350,C
550.0,21,Sichuan AL,350,C
551.0,22,Air France,350,C
552.0,22,Japan AL,350,C
556.0,22,Iberia,350,
557.0,22,Starlux AL,350,
559.0,22,World2fly,350,C
560.0,22,French Bee,350,C
561.0,22,China Eastern AL,350,
562.0,22,Air France,350,C
563.0,22,British AW,350,C
564.0,22,Singapore AL,350,C
565.0,22,THY Turkish AL,350,C
567.0,22,Iberia,350,C
568.0,22,China Southern AL,350,
569.0,22,Singapore AL,350,C
570.0,22,Air China,350,
571.0,22,Sichuan AL,350,
573.0,22,China Eastern AL,350,
574.0,22,Air China,350,
576.0,22,Air France,350,C
577.0,22,China Eastern AL,350,
578.0,22,Air France,350,C
579.0,22,Iberia,350,C
580.0,22,Delta AL,350,C
582.0,22,Ethiopian AL,350,C
583.0,22,China Southern AL,350,C
584.0,22,Cathay Pacific AL,350,
587.0,22,Air China,350,
588.0,22,Delta AL,350,
600.0,22,Air Caraibes (?),350,
