c/n,f/f_year,operator,type,St
6.0,14,Qatar AW,350,C
7.0,15,Qatar AW,350,C
8.0,15,Qatar AW,350,C
9.0,15,Qatar AW,350,C
10.0,15,Qatar AW,350,C
11.0,15,Qatar AW,350,C
12.0,16,Qatar AW,350,C
13.0,15,Qatar AW,350,C
14.0,15,Vietnam AL lsd,350,C
15.0,15,Vietnam AL lsd,350,C
16.0,15,Vietnam AL lsd,350,C
17.0,15,Vietnam AL lsd,350,C
18.0,15,Finnair,350,C
19.0,15,Finnair,350,C
20.0,15,Finnair,350,C
21.0,16,Qatar AW,350,C
22.0,15,Finnair,350,C
23.0,16,Finnair,350,C
24.0,15,TAM,350,
25.0,16,Qatar AW,350,C
26.0,16,Singapore AL,350,C
27.0,16,TAM,350,
28.0,16,Finnair,350,C
29.0,16,Cathay Pacific,350,C
30.0,16,Singapore AL,350,C
31.0,16,Singapore AL,350,C
32.0,16,Cathay Pacific,350,C
33.0,16,Qatar AW,350,C
34.0,16,Cathay Pacific,350,C
35.0,16,TAM,350,
36.0,16,Qatar AW,350,C
37.0,16,Singapore AL,350,C
38.0,16,Cathay Pacific,350,C
39.0,16,Cathay Pacific,350,C
40.0,16,Ethiopian AL,350,C
41.0,16,Singapore AL,350,C
42.0,16,Qatar AW,350,C
43.0,16,Ethiopian AL,350,C
44.0,16,Thai AW International,350,C
45.0,16,LATAM,350,
46.0,16,Cathay Pacific,350,C
47.0,17,Qatar AW,350,C
48.0,16,LATAM,350,
49.0,16,China AL,350,C
50.0,16,Thai AW International,350,C
51.0,16,Finnair,350,C
52.0,16,Sichuan AL,350,C
53.0,16,Cathay Pacific,350,C
54.0,16,Singapore AL,350,C
55.0,16,Sichuan AL,350,C
56.0,16,Vietnam AL,350,C
57.0,16,China AL,350,C
58.0,16,Cathay Pacific,350,C
60.0,17,Sichuan AL,350,C
61.0,16,Cathay Pacific,350,C
62.0,16,Singapore AL,350,C
63.0,17,Qatar AW,350,C
64.0,16,LATAM,350,
66.0,16,China AL,350,C
67.0,16,Vietnam AL,350,C
68.0,16,Singapore AL,350,C
69.0,17,Qatar AW,350,C
70.0,17,Cathay Pacific,350,C
72.0,17,Cathay Pacific,350,C
73.0,16,China AL,350,C
74.0,16,Lufthansa,350,C
75.0,16,Cathay Pacific,350,C
76.0,17,Qatar AW,350,C
77.0,16,Singapore AL,350,C
78.0,17,Qatar AW,350,C
79.0,16,LATAM,350,
80.0,17,Lufthansa,350,C
81.0,16,Singapore AL,350,C
82.0,17,Air Caraibes,350,C
83.0,17,Qatar AW,350,C
84.0,17,Singapore AL,350,C
85.0,17,Cathay Pacific,350,C
86.0,17,Vietnam AL,350,C
87.0,17,Lufthansa,350,C
88.0,17,Qatar AW,350,C
89.0,17,Ethiopian AL,350,C
90.0,17,Qatar AW,350,C
91.0,17,Air Caraibes,350,C
92.0,17,China AL,350,C
93.0,17,Cathay Pacific,350,C
94.0,17,Asiana AL,350,C
95.0,17,Thai AW International,350,C
96.0,17,Singapore AL,350,C
97.0,17,Finnair,350,C
98.0,18,Hainan AL,350,C
99.0,17,Singapore AL,350,C
100.0,18,Qatar AW,350,C
101.0,17,Cathay Pacific,350,C
102.0,18,Qatar AW,350,C
103.0,17,Ethiopian AL,350,C
104.0,17,Finnair,350,C
105.0,17,China AL,350,C
106.0,18,Qatar AW,350,C
107.0,17,Singapore AL,350,C
109.0,17,Cathay Pacific,350,C
110.0,18,Qatar AW,350,C
111.0,17,Thai AW International,350,C
112.0,18,Hainan AL,350,C
113.0,17,Finnair,350,C
114.0,18,Qatar AW,350,C
115.0,17,Delta AL,350,C
116.0,17,Singapore AL,350,C
117.0,17,Asiana AL,350,C
118.0,18,Cathay Pacific,350,C
119.0,17,Cathay Pacific,350,C
120.0,17,Ethiopian AL,350,C
121.0,17,China AL,350,C
122.0,17,Singapore AL,350,C
123.0,17,Thai AW International,350,C
124.0,17,Hong Kong AL,350,
125.0,18,Qatar AW,350,C
126.0,18,Qatar AW,350,C
127.0,17,Lufthansa,350,C
128.0,17,Cathay Pacific,350,C
129.0,17,Vietnam AL,350,C
130.0,17,Thai AW International,350,C
132.0,17,Qatar AW,350,C
133.0,17,Singapore AL,350,C
134.0,17,Finnair,350,C
135.0,17,Delta AL,350,C
136.0,17,Lufthansa,350,C
137.0,17,Cathay Pacific,350,C
138.0,17,China AL,350,C
140.0,17,Singapore AL,350,C
141.0,18,Qatar AW,350,C
142.0,17,Thai AW International,350,C
143.0,18,Qatar AW,350,C
144.0,17,Asiana AL,350,C
145.0,17,Air Mauritius,350,C
146.0,17,Lufthansa,350,C
147.0,17,Ethiopian AL,350,C
148.0,17,Cathay Pacific,350,C
149.0,17,Delta AL,350,C
150.0,17,Vietnam AL,350,C
151.0,17,China AL,350,C
153.0,17,Hong Kong AL,350,
154.0,17,Cathay Pacific,350,C
155.0,17,Cathay Pacific,350,C
157.0,17,Air Mauritius,350,C
158.0,17,Singapore AL,350,C
159.0,17,Malaysia AL,350,C
160.0,17,Delta AL,350,C
161.0,18,Qatar AW,350,C
162.0,17,China AL,350,C
163.0,18,Qatar AW,350,C
164.0,17,Delta AL,350,C
165.0,17,Malaysia AL,350,C
167.0,18,Air China,350,C
168.0,17,Hong Kong AL,350,
169.0,18,Cathay Pacific,350,C
170.0,17,Singapore AL,350,C
172.0,18,Qatar AW,350,C
173.0,17,Vietnam AL,350,C
174.0,17,Lufthansa,350,C
175.0,17,Delta AL,350,C
176.0,17,Asiana AL,350,C
177.0,18,Thai AW International,350,C
178.0,18,Air China,350,C
179.0,17,China AL,350,C
180.0,18,Ethiopian AL,350,C
181.0,18,Thai AW International,350,C
182.0,18,Delta AL,350,C
183.0,18,Malaysia AL,350,C
184.0,18,Lufthansa,350,C
185.0,18,Thai AW International,350,C
186.0,18,Singapore AL,350,C
187.0,18,Hong Kong AL,350,
188.0,18,Cathay Pacific,350,C
189.0,18,Thai AW International,350,C
190.0,18,Delta AL,350,C
191.0,18,China AL,350,C
192.0,18,Vietnam AL,350,C
193.0,18,French Bee,350,C
195.0,18,Malaysia AL,350,C
196.0,18,Ethiopian AL,350,C
197.0,18,Vietnam AL,350,C
198.0,18,Asiana AL,350,C
199.0,18,Delta AL,350,C
200.0,18,LATAM AL,350,
201.0,18,Thai AW International,350,C
202.0,18,Lufthansa,350,C
203.0,18,Malaysia AL,350,C
204.0,18,Delta AL,350,C
205.0,18,Ethiopian AL,350,C
206.0,18,Cathay Pacific,350,C
207.0,18,Qatar AW,350,C
208.0,18,China AL,350,C
209.0,18,Lufthansa,350,C
210.0,18,Delta AL,350,C
211.0,18,Qatar AW,350,C
212.0,18,Lufthansa,350,C
213.0,18,Malaysia AL,350,C
214.0,19,Qatar AW,350,C
215.0,19,Qatar AW,350,C
216.0,18,Singapore AL,350,C
217.0,18,Air China,350,C
218.0,18,Asiana AL,350,C
219.0,18,Iberia,350,C
