c/n,f/f,testreg,regi,operator,d/d,type,St
173,09.12.17,F-WZHK,VN-A895,Vietnam AL,29.12.17,350-941,C
174,21.12.17,F-WZHI,D-AIXG,Lufthansa,24.01.18,350-941,C
175,06.12.17,F-WZHJ,N506DN,Delta AL,21.12.17,350-941,C
176,06.12.17,F-WZFU,HL7579,Asiana AL,27.12.17,350-941,C
177,08.01.18,F-WZGC,HS-THJ,Thai AW International,26.01.18,350-941,C
178,02.07.18,F-WZGZ,B-1085,Air China,29.08.18,350-941,C
179,20.12.17,F-WZNX,B-18913,China AL,23.01.18,350-941,C
180,09.01.18,F-WZFX,ET-AVB,Ethiopian AL,06.02.18,350-941,C
181,10.01.18,F-WZFP,HS-THK,Thai AW International,31.01.18,350-941,C
182,05.01.18,F-WZFW,N507DN,Delta AL,20.02.18,350-941,C
183,23.01.18,F-WZGA,9M-MAD,Malaysia AL,12.02.18,350-941,C
184,19.01.18,F-WZGR,D-AIXH,Lufthansa,13.02.18,350-941,C
185,29.01.18,F-WWIW,HS-THL,Thai AW International,21.02.18,350-941,C
186,22.01.18,F-WWTW,9V-SMU,Singapore AL,09.02.18,350-941,C
187,01.02.18,F-WWAW,B-LGD,Hong Kong AL,27.02.18,350-941,
,,F-WXAO,PR-AOZ,Azul L.A.,due22,,STD
188,15.06.18,F-WZGS,B-LXC,Cathay Pacific,18.07.18,350-1041,C
189,02.02.18,F-WZFD,HS-THM,Thai AW International,14.03.18,350-941,C
190,07.02.18,F-WZGL,N508DN,Delta AL,05.03.18,350-941,C
191,09.02.18,F-WZGP,B-18916,China AL,08.03.18,350-941,C
192,14.02.18,F-WZGB,VN-A896,Vietnam AL,26.03.18,350-941,C
193,16.02.18,F-WZGX,F-HREV,French Bee,23.03.18,350-941,C
194,,,,United AL,,350-1041,
195,28.02.18,F-WZFC,9M-MAE,Malaysia AL,06.04.18,350-941,C
196,12.02.18,F-WZNC,ET-AVC,Ethiopian AL,20.04.18,350-941,C
197,07.03.18,F-WZFN,VN-A897,Vietnam AL,12.04.18,350-941,C
198,19.02.18,F-WZFF,HL7771,Asiana AL,10.04.18,350-941,C
199,14.03.18,F-WZFH,N509DN,Delta AL,11.04.18,350-941,C
200,22.03.18,F-WZFB,PR-XTH,LATAM AL,30.04.18,350-941,
,,F-WJKI,N572DZ,Delta AL,12.10.21,,C
201,06.03.18,F-WZGE,HS-THN,Thai AW International,03.05.18,350-941,C
202,11.04.18,F-WZGO,D-AIXI,Lufthansa,03.05.18,350-941,C
203,03.04.18,F-WZFS,9M-MAF,Malaysia AL,03.05.18,350-941,C
204,25.04.18,F-WZNS,N510DN,Delta AL,24.05.18,350-941,C
205,21.03.18,F-WZGY,ET-AVD,Ethiopian AL,18.05.18,350-941,C
206,06.09.18,F-WZNI,B-LXD,Cathay Pacific,01.10.18,350-1041,C
207,21.09.18,F-WZNJ,A7-AMG,Qatar AW,26.10.18,350-941,C
208,06.04.18,F-WZNF,B-18917,China AL,12.06.18,350-941,C
209,30.04.18,F-WZND,D-AIXJ,Lufthansa,30.05.18,350-941,C
210,14.05.18,F-WZNE,N511DN,Delta AL,13.06.18,350-941,C
211,04.12.18,F-WZNM,A7-AMH,Qatar AW,25.01.19,350-941,C
212,19.04.18,F-WZNN,D-AIXK,Lufthansa,19.06.18,350-941,C
213,29.05.18,F-WZGT,9M-MAG,Malaysia AL,11.07.18,350-941,C
214,31.01.19,F-WZNQ,A7-AMI,Qatar AW,19.03.19,350-941,C
215,05.02.19,F-WZNV,A7-ANG,Qatar AW,01.03.19,350-1041,C
216,23.04.18,F-WZNY,9V-SGE,Singapore AL,14.11.18,350-941,C
217,30.05.18,F-WZNU,B-1083,Air China,18.09.18,350-941,C
218,11.06.18,F-WZNQ,HL8308,Asiana AL,03.07.18,350-941,C
219,29.05.18,F-WZNP,EC-MXV,Iberia,26.06.18,350-941,C
220,05.07.18,F-WZFZ,9V-SGA,Singapore AL,21.09.18,350-941,C
221,07.06.18,F-WZNA,RP-C3501,Philippine AL,28.06.18,350-941,C
222,,,,United AL,,350-1041,
223,16.08.18,F-WZHE,9V-SGB,Singapore AL,28.09.18,350-941,C
224,20.02.19,F-WZNT,HL8359,Asiana AL,29.03.19,350-941,C
225,09.10.18,F-WZNL,B-LXE,Cathay Pacific,30.10.18,350-1041,C
226,17.07.18,F-WZFG,,LATAM AL (ntu),28.09.18,350-941,
,,,B-304Z,Hainan AL,24.01.19,,
,,,ZS-SDC,South African AW lsd,31.10.19,,
,,OE-IPK,,,,,STD
227,17.07.18,F-WZHC,EC-MYX,Iberia,27.07.18,350-941,C
228,11.07.18,F-WZNZ,RP-C3503,Philippine AL,30.07.18,350-941,
,,EI-GWZ,D-AIVA,Lufthansa lsd,20.04.22,,C
229,06.03.19,F-WZNG,A7-ANH,Qatar AW,07.05.19,350-1041,C
230,01.08.18,F-WZHI,9V-SGC,Singapore AL,05.10.18,350-941,C
231.0,29.06.18,F-WZNO,B-1082,Air China lsd,19.12.18,350-941,C
232.0,10.10.18,F-WZNR,9V-SGD,Singapore AL,25.10.18,350-941,C
233.0,25.10.18,F-WZHF,B-LXF,Cathay Pacific,20.11.18,350-1041,C
234.0,20.02.19,F-WZFJ,HL8360,Asiana AL,16.04.19,350-941,C
235.0,24.07.18,F-WZHJ,B-LGE,Hong Kong AL,31.08.18,350-941,STD
236.0,31.07.18,F-WZHH,RP-C3504,Philippine AL,17.09.18,350-941,
,,,D-AIVB,Lufthansa lsd,08.06.22,,C
237.0,01.04.19,F-WZHD,A7-AMJ,Qatar AW,06.05.19,350-941,C
238.0,05.11.18,F-WZGP,9V-SGF,Singapore AL,21.11.18,350-941,C
239.0,09.08.18,F-WZFU,B-18918,China AL,22.10.18,350-941,C
240.0,05.09.18,F-WZHK,B-1081,Air China,17.10.18,350-941,C
241.0,23.04.19,F-WZGC,A7-ANI,Qatar AW,05.06.19,350-1041,C
242.0,,,,Aeroflot,,350-941,
243.0,11.09.18,F-WZFP,RP-C3506,Philippine AL,09.10.18,350-941,
,,D-AAEU,D-AIVC,Lufthansa lsd,10.03.22,,C
244.0,22.11.18,F-WZFC,9V-SGG,Singapore AL,14.12.18,350-941,C
245.0,03.10.18,F-WZNX,,LATAM AL (ntu),21.11.18,350-941,
,,,B-305A,Hainan AL,22.01.19,,
,,,ZS-SDD,South African AW lsd,05.11.19,,
,,OE-IPX,,,,,STD
246.0,08.10.18,F-WZGR,B-308G,Hainan AL,20.09.19,350-941,STD
247.0,22.10.18,F-WZFW,B-1080,Air China,23.11.18,350-941,C
248.0,30.10.18,F-WWIW,B-304D,China Eastern AL,28.11.18,350-941,C
249.0,20.05.19,F-WWTV,A7-AMK,Qatar AW,27.06.19,350-941,C
250.0,28.09.18,F-WZFX,PR-XTI,LATAM AL,20.12.18,350-941,
,,,N573DZ,Delta AL,r12.10.21,,STD
251.0,12.10.18,F-WWAW,B-LGG,Hong Kong AL,31.12.18,350-941,
,,,B-308H,Hainan AL,29.07.19,,STD
252.0,29.10.18,F-WZGL,B-LXG,Cathay Pacific,29.11.18,350-1041,C
253.0,,,,,,350-941,
254.0,27.11.18,F-WZGX,9V-SHA,Singapore AL,17.12.18,350-941,C
255.0,08.10.18,F-WZGA,D-AIXL,Lufthansa,20.11.18,350-941,C
256.0,17.10.18,F-WZFD,B-LGH,Hong Kong AL,21.11.18,350-941,
,,,B-30EG,Hainan AL tfd,01.08.21,,C
257.0,27.06.19,F-WZFF,A7-AML,Qatar AW,27.09.19,350-941,C
258.0,27.11.18,F-WZFN,B-LXH,Cathay Pacific,18.12.18,350-1041,C
259.0,09.11.18,F-WZFH,ET-AVE,Ethiopian AL,07.12.18,350-941,C
260.0,29.11.18,F-WZNC,B-LGI,Hong Kong AL,31.12.18,350-941,
,,,B-308J,Hainan AL,14.08.19,,STD
261.0,28.11.18,F-WZFO,B-304N,China Eastern AL,19.12.18,350-941,C
262.0,09.01.19,F-WZFB,B-LXI,Cathay Pacific,01.02.19,350-1041,C
263.0,14.11.18,F-WZFV,9V-SHB,Singapore AL,30.11.18,350-941,C
264.0,19.11.18,F-WZGB,OH-LWM,Finnair,12.12.18,350-941,C
265.0,04.02.19,F-WZGO,A7-AQA,Qatar AW,21.03.19,350-941,
,,,PR-XTJ,LATAM AL ret,07.20,,
,,,N574DZ,Delta AL lsd,15.07.21,,C
266.0,13.06.19,F-WZGY,A7-ANJ,Qatar AW,27.06.19,350-1041,C
267.0,14.12.18,F-WZGE,N512DN,Delta AL,25.01.19,350-941,C
268.0,07.12.18,F-WZFS,B-307A,Air China,22.01.19,350-941,C
269.0,19.12.18,F-WZNS,B-305X,China Eastern AL,29.01.19,350-941,C
270.0,29.11.18,F-WZFT,EI-IFB,ITA AW,06.05.22,350-941,C
271.0,04.01.19,F-WZND,EC-NBE,Iberia,24.01.19,350-941,C
272.0,06.02.19,F-WZNF,B-306Y,China Eastern AL,27.02.19,350-941,C
273.0,17.01.19,F-WZNE,OH-LWN,Finnair,13.02.19,350-941,C
274.0,25.06.19,F-WZGN,G-VLUX,Virgin Atlantic AW,10.08.19,350-1041,C
275.0,,,,Qatar AW,,350-941,
276.0,11.01.19,F-WZGV,9V-SHC,Singapore AL,01.02.19,350-941,C
277.0,08.01.19,F-WZNN,N513DZ,Delta AL,26.02.19,350-941,C
278.0,29.01.19,F-WZGU,9V-SHD,Singapore AL,28.02.19,350-941,C
279.0,28.01.19,F-WZNP,VN-A898,Vietnam AL,28.02.19,350-941,C
280.0,07.01.19,F-WZNA,RP-C3507,Philippine AL,19.02.19,350-941,
,,EI-GZS,D-AIVD,Lufthansa,28.04.22,,C
281.0,06.03.19,F-WZGT,B-306N,Sichuan AL,22.05.19,350-941,C
282.0,04.06.19,F-WZGS,A7-AQB,Qatar AW lsd,24.09.19,350-941,
,,,PR-XTK,LATAM AL ret,07.20,,
,,,N575DZ,Delta AL lsd,22.06.21,,C
283.0,19.04.22,F-WZFY,EI-IFF,ITA AW,13.07.22,350-941,C
284.0,12.12.18,F-WZFQ,B-307C,Air China,26.02.19,350-941,C
285.0,21.02.19,"F-WZNZ, F-WXAN",M-ABOD,Adhan Aircraft Leasing,09.04.21,350-941,
,,F-WXAN,EI-IFE,ITA AW,15.09.22,,C
286.0,15.02.19,F-WZHG,B-LXJ,Cathay Pacific,13.03.19,350-1041,C
287.0,11.02.19,F-WZHC,D-AIXM,Lufthansa,14.03.19,350-941,C
288.0,,,,,,,
289.0,13.03.19,F-WZFK,ET-AWM,Ethiopian AL,05.04.19,350-941,C
290.0,04.04.19,F-WZNI,A6-XWB,Etihad AW,22.05.21,350-1041,C
291.0,21.03.19,F-WZGZ,B-307Y,China Eastern AL,09.04.19,350-941,C
292.0,31.01.19,F-WZGW,D-AIXN,Lufthansa,28.03.19,350-941,C
293.0,04.03.19,F-WZHJ,EC-NBO,Evelop,25.03.19,350-941,C
294.0,25.03.19,F-WZGM,9V-SHE,Singapore AL,05.04.19,350-941,C
295.0,16.04.19,F-WZHH,B-308C,Air China,14.05.19,350-941,C
296.0,12.03.19,F-WZGF,B-LXK,Cathay Pacific,03.04.19,350-1041,C
297.0,26.02.19,F-WZFZ,VN-A899,Vietnam AL,17.05.19,350-941,C
298.0,27.05.19,F-WZNU,G-VPOP,Virgin Atlantic AW,29.08.19,350-1041,C
299.0,24.10.19,F-WZFR,DQ-FAI,Fiji AW,15.11.19,350-941,C
300.0,03.04.19,F-WWDV,OH-LWO,Finnair,26.04.19,350-941,C
301.0,24.05.19,F-WZHE,HL8361,Asiana AL,18.06.19,350-941,C
302.0,04.04.19,F-WZGK,EC-NCX,Iberia,30.04.19,350-941,C
303.0,09.04.19,F-WZHI,RP-C3508,Philippine AL,03.05.19,350-941,C
304.0,,,,,,,
305.0,19.03.19,F-WZFP,9V-SHF,Singapore AL,11.05.19,350-941,C
306.0,03.05.19,F-WZHK,B-LXL,Cathay Pacific,29.05.19,350-1041,C
307.0,15.05.19,F-WZGQ,B-308E,China Eastern AL,07.06.19,350-941,C
308.0,12.06.19,"F-WZFU, F-WXAO",M-ABOE,Adhan Aircraft Leasing,14.04.21,350-941,
,,F-WXAO,EI-IFA,ITA AW,11.05.22,,C
309.0,17.04.19,F-WZNR,9V-SHG,Singapore AL,18.05.19,350-941,C
310.0,30.04.19,F-WZFA,ET-AWN,Ethiopian AL,24.05.19,350-941,C
311.0,13.05.19,F-WZNJ,B-308M,Air China,29.05.19,350-941,C
312.0,07.05.19,F-WZNK,EC-NDR,Iberia,29.05.19,350-941,C
313.0,03.10.19,F-WZFI,A7-AQC,Qatar AW lsd,12.12.19,350-941,
,,,PR-XTL,LATAM AL Brazil,07.20,,
,,,N576DZ,Delta AL,10.03.22,,C
314.0,19.06.19,F-WZGA,D-AIXO,Lufthansa,17.07.19,350-941,C
315.0,14.05.19,"F-WZFD, F-WXAB",A6-XWA,Etihad AW,03.07.21,350-1041,C
316.0,16.04.19,F-WZNL,9V-SHH,Singapore AL,08.06.19,350-941,C
317.0,,,,Lufthansa,,350-941,
318.0,03.06.19,F-WZGP,B-308T,China Southern AL,28.06.19,350-941,C
319.0,25.06.19,F-WZNY,G-VPRD,Virgin Atlantic AW,23.09.19,350-1041,C
