c/n,f/f,testreg,regi,operator,d/d,type,St
001,14.06.13,F-WWXB,F-WWXB,Airbus Industrie,,350-900,C
002,26.02.14,F-WWCF,F-WWCF,Airbus Industrie,,350-941,C
003,14.10.13,F-WZGG,F-WWZG,Airbus Industrie,,350-941,STD
004,26.02.14,F-WZNW,F-WZNW,Airbus Industrie,,350-941,STD
005,20.06.14,F-WWYB,F-WWYB,Airbus Industrie,,350-941,
,,,F-HREU,French Blue,30.06.17,,
,,,,French Bee nn,29.01.18,,C
006,15.10.14,F-WZFA,A7-ALA,Qatar AW,18.12.14,350-941,C
007,21.01.15,F-WZFB,A7-ALB,Qatar AW,04.03.15,350-941,C
008,09.07.15,F-WZFC,A7-ALE,Qatar AW,30.10.15,350-941,C
009,27.03.15,F-WZFD,A7-ALC,Qatar AW,07.05.15,350-941,C
010,11.05.15,F-WZFE,A7-ALD,Qatar AW,14.06.15,350-941,C
011,28.08.15,F-WZFF,A7-ALF,Qatar AW,29.10.15,350-941,C
012,05.02.16,F-WZFG,A7-ALH,Qatar AW,07.03.16,350-941,C
013,08.10.15,F-WZFH,A7-ALG,Qatar AW,20.11.15,350-941,C
014,01.06.15,F-WZFI,VN-A886,Vietnam AL lsd,30.06.15,350-941,C
015,31.07.15,F-WZFJ,VN-A887,Vietnam AL lsd,18.09.15,350-941,C
016,10.09.15,F-WZFK,VN-A888,Vietnam AL lsd,19.10.15,350-941,C
017,30.10.15,F-WZFL,VN-A889,Vietnam AL lsd,01.12.15,350-941,C
018,16.09.15,F-WZFM,OH-LWA,Finnair,06.10.15,350-941,C
019,22.10.15,F-WZFN,OH-LWB,Finnair,14.12.15,350-941,C
020,07.11.15,F-WZFO,OH-LWC,Finnair,30.12.15,350-941,C
021,14.03.16,F-WZFP,A7-ALI,Qatar AW,01.07.16,350-941,C
022,04.12.15,F-WZFQ,OH-LWD,Finnair,25.03.16,350-941,C
023,07.01.16,F-WZFR,OH-LWE,Finnair,29.04.16,350-941,C
024,01.12.15,F-WZFS,PR-XTA,TAM,16.12.15,350-941,
,,N8936W,,,,,STD
025,06.05.16,F-WZFT,A7-ALJ,Qatar AW,01.08.16,350-941,C
026,02.02.16,F-WZFU,9V-SMA,Singapore AL,26.02.16,350-941,C
027,10.02.16,F-WZFV,PR-XTB,TAM,17.03.16,350-941,
,,N982DJ,,,,,STD
028,13.04.16,F-WZFW,OH-LWF,Finnair,24.06.16,350-941,C
029,24.03.16,F-WZFX,B-LRA,Cathay Pacific,27.05.16,350-941,C
030,02.04.16,F-WZFY,9V-SMB,Singapore AL,19.04.16,350-941,C
031,27.04.16,F-WZFZ,9V-SMC,Singapore AL,27.05.16,350-941,C
032,04.08.16,F-WZGA,B-LRB,Cathay Pacific,24.08.16,350-941,C
033,30.05.16,F-WZGB,A7-ALK,Qatar AW,22.09.16,350-941,C
034,08.06.16,F-WZGC,B-LRC,Cathay Pacific,15.07.16,350-941,C
035,27.04.16,F-WZGD,PR-XTC,TAM,18.05.16,350-941,
,,,,LATAM nn,16,,
,,N285BN,,,,,STD
036,07.09.16,F-WZGE,A7-ALL,Qatar AW,01.11.16,350-941,C
037,03.06.16,F-WZGF,9V-SMD,Singapore AL,30.06.16,350-941,C
038,05.09.16,F-WZGK,B-LRD,Cathay Pacific,23.09.16,350-941,C
039,25.07.16,F-WZGL,B-LRE,Cathay Pacific,11.08.16,350-941,C
040,08.06.16,F-WZGM,ET-ATQ,Ethiopian AL,28.06.16,350-941,C
041,06.07.16,F-WZGN,9V-SME,Singapore AL,27.07.16,350-941,C
042,18.10.16,F-WZGO,A7-ALM,Qatar AW,20.12.16,350-941,C
043,01.08.16,F-WZGP,ET-ATR,Ethiopian AL,15.08.16,350-941,C
044,22.07.16,F-WZGQ,HS-THB,Thai AW International,29.08.16,350-941,C
045,05.08.16,F-WZGR,PR-XTD,LATAM,30.08.16,350-941,
,,,A7-AMD,Qatar AW lsd,05.17,,
,,,PR-XTD,LATAM ret,07.12.17,,
,,N286BN,,,,,STD
046,30.09.16,F-WZGS,B-LRF,Cathay Pacific,20.10.16,350-941,C
047,13.01.17,F-WZGT,A7-ALN,Qatar AW,27.02.17,350-941,C
048,06.09.16,F-WZGU,PR-XTE,LATAM,30.09.16,350-941,
,,,A7-AMC,Qatar AW lsd,20.04.17,,
,,,PR-XTE,LATAM ret,24.11.17,,
,,,N570DZ,Delta AL,20.09.21,,STD
049,14.09.16,F-WZGV,B-18901,China AL,30.09.16,350-941,C
050,15.09.16,F-WZGW,HS-THC,Thai AW International,11.10.16,350-941,C
051,07.09.16,F-WZGX,OH-LWG,Finnair,29.09.16,350-941,C
052,26.10.16,F-WZFA,B-304U,Sichuan AL,26.10.18,350-941,C
053,28.10.16,F-WZFB,B-LRG,Cathay Pacific,02.12.16,350-941,C
054,26.09.16,F-WZFD,9V-SMF,Singapore AL,14.10.16,350-941,C
055,01.12.16,F-WZFI,B-304V,Sichuan AL,20.11.18,350-941,C
056,05.10.16,F-WZFC,VN-A890,Vietnam AL,29.10.16,350-941,C
057,27.10.16,F-WZFF,B-18902,China AL,21.11.16,350-941,C
058,18.10.16,F-WZFH,B-LRI,Cathay Pacific,18.11.16,350-941,C
059,24.11.16,,F-WMIL,Airbus -1000 proto,,350-1041,C
060,27.10.17,F-WZFK,B-301D,Sichuan AL,08.08.18,350-941,C
061,09.11.16,F-WZFL,B-LRJ,Cathay Pacific,09.12.16,350-941,C
062,17.11.16,F-WZFM,9V-SMG,Singapore AL,07.12.16,350-941,C
063,25.08.17,F-WZFJ,A7-ALO,Qatar AW,25.10.17,350-941,C
064,17.10.16,F-WZFN,PR-XTF,LATAM,16.11.16,350-941,
,,,A7-AMB,Qatar AW lsd,20.03.17,,
,,,PR-XTF,LATAM ret,07.20,,
,,,N571DZ,Delta AL,r09.07.21,,STD
065,07.02.17,,F-WLXV,Airbus 2nd -1000,,350-1041,
,,,F-HMIL,Air Caraibes,02.12.19,,C
066,01.12.16,F-WZFO,B-18903,China AL,22.12.16,350-941,C
067,13.12.16,F-WZFS,VN-A891,Vietnam AL,28.12.16,350-941,C
068,18.11.16,F-WZGY,9V-SMH,Singapore AL,09.12.16,350-941,C
069,06.04.17,F-WZGZ,A7-ALP,Qatar AW,23.05.17,350-941,C
070,13.01.17,F-WWTJ,B-LRK,Cathay Pacific,01.02.17,350-941,C
071,10.01.17,,F-WWXL,Airbus 3rd -1000,,350-1041,
,,,G-VDOT,Virgin Atlantic AW,04.09.20,,C
072,17.02.17,F-WZNA,B-LRL,Cathay Pacific,13.03.17,350-941,C
073,14.12.16,F-WZNB,B-18905,China AL,30.12.16,350-941,C
074,29.11.16,F-WZNC,D-AIXA,Lufthansa,19.12.16,350-941,C
075,11.12.16,F-WZND,B-LRM,Cathay Pacific,30.12.16,350-941,C
076,17.05.17,F-WZNE,A7-ALQ,Qatar AW,10.10.17,350-941,C
077,02.12.16,F-WZNF,9V-SMI,Singapore AL,21.12.16,350-941,C
078,05.09.17,F-WZNG,A7-ALR,Qatar AW,18.12.17,350-941,C
079,29.11.16,F-WZNI,PR-XTG,LATAM,19.12.16,350-941,
,,,A7-AMA,Qatar AW lsd,21.02.17,,
,,N287BN,,,,,STD
080,27.01.17,F-WZNJ,D-AIXB,Lufthansa,22.02.17,350-941,C
081,15.12.16,F-WZNK,9V-SMJ,Singapore AL,30.12.16,350-941,C
082,08.02.17,F-WZNL,F-HHAV,Air Caraibes,27.02.17,350-941,C
083,08.06.17,F-WZNM,A7-ALS,Qatar AW,10.10.17,350-941,C
084,06.02.17,F-WZNN,9V-SMK,Singapore AL,24.02.17,350-941,C
085,06.03.17,F-WZNO,B-LRN,Cathay Pacific,30.03.17,350-941,C
086,21.02.17,F-WZNP,VN-A892,Vietnam AL,15.03.17,350-941,C
087,13.03.17,F-WZNQ,D-AIXC,Lufthansa,30.03.17,350-941,C
088,07.12.17,F-WZNR,A7-ANA,Qatar AW,16.02.18,350-1041,C
089,16.01.17,F-WZNS,ET-ATY,Ethiopian AL,31.01.17,350-941,C
090,19.10.17,F-WZNT,A7-ALT,Qatar AW,24.11.17,350-941,C
091,09.03.17,F-WZNU,F-HNET,Air Caraibes,27.03.17,350-941,C
092,23.02.17,F-WZNV,B-18906,China AL,20.03.17,350-941,C
093,12.04.17,F-WZNX,B-LRO,Cathay Pacific,11.05.17,350-941,C
094,28.03.17,F-WZNY,HL8078,Asiana AL,24.04.17,350-941,C
095,28.03.17,F-WZNZ,HS-THD,Thai AW International,21.04.17,350-941,C
096,16.03.17,F-WZFG,9V-SML,Singapore AL,31.03.17,350-941,C
097,11.03.17,F-WZFQ,OH-LWH,Finnair,03.04.17,350-941,C
098,03.09.18,F-WZFR,B-1069,Hainan AL,28.09.18,350-941,C
099,12.04.17,F-WZFU,9V-SMM,Singapore AL,05.05.17,350-941,C
100,13.03.18,F-WZFV,A7-ALU,Qatar AW,24.04.18,350-941,C
101,05.05.17,F-WZFX,B-LRP,Cathay Pacific,01.06.17,350-941,C
102,18.05.18,F-WZFY,A7-ANB,Qatar AW,30.06.18,350-1041,C
103,10.04.17,F-WZFZ,ET-AUA,Ethiopian AL,28.04.17,350-941,C
104,11.05.17,F-WZFW,OH-LWI,Finnair,02.06.17,350-941,C
105,03.05.17,F-WZFP,B-18907,China AL,24.05.17,350-941,C
106,13.04.18,F-WZFT,A7-ALV,Qatar AW,29.05.18,350-941,C
107,10.04.17,F-WZGC,9V-SMN,Singapore AL,19.05.17,350-941,C
108,,F-WZGD,,American AL,,350-941,
109,18.04.17,F-WZGF,B-LRQ,Cathay Pacific,14.06.17,350-941,C
110,31.07.18,F-WZGM,A7-ANC,Qatar AW,10.09.18,350-1041,C
111,28.04.17,F-WZGA,HS-THE,Thai AW International,16.06.17,350-941,C
112,21.09.18,F-WZGQ,B-1070,Hainan AL,16.10.18,350-941,C
113,09.06.17,F-WZGL,OH-LWK,Finnair,30.06.17,350-941,C
114,16.05.18,F-WZGN,A7-ALW,Qatar AW,20.06.18,350-941,C
115,24.05.17,F-WZGP,N501DN,Delta AL,12.07.17,350-941,C
116,22.05.17,F-WZGR,9V-SMO,Singapore AL,16.06.17,350-941,C
117,29.06.17,F-WZGX,HL8079,Asiana AL,19.07.17,350-941,C
118,03.05.18,F-WZGV,B-LXA,Cathay Pacific,15.06.18,350-1041,C
119,13.06.17,F-WZGW,B-LRR,Cathay Pacific,05.07.17,350-941,C
120,08.06.17,F-WZFD,ET-AUB,Ethiopian AL,26.06.17,350-941,C
121,30.06.17,F-WZGS,B-18908,China AL,25.07.17,350-941,C
122,14.06.17,F-WZFC,9V-SMP,Singapore AL,21.07.17,350-941,C
123,22.06.17,F-WZGB,HS-THF,Thai AW International,13.07.17,350-941,C
124,10.08.17,F-WZGE,B-LGA,Hong Kong AL,31.08.17,350-941,
,,"F-WXAL, F-WTAK",PR-AOW,Azul L.A.,due22,,STD
125,27.08.18,F-WZGK,A7-AND,Qatar AW,28.09.18,350-1041,C
126,14.06.18,F-WZGU,A7-ALX,Qatar AW,13.07.18,350-941,C
127,10.07.17,F-WZFN,D-AIXD,Lufthansa,15.08.17,350-941,C
128,28.06.17,F-WZFH,B-LRS,Cathay Pacific,29.08.17,350-941,C
129,19.07.17,F-WZFF,VN-A893,Vietnam AL,18.08.17,350-941,C
130,07.07.17,F-WZFB,HS-THG,Thai AW International,01.09.17,350-941,C
131,,,,American AL,,350-941,
132,24.11.17,F-WZFL,A7-ALY,Qatar AW,29.12.17,350-941,C
133,17.07.17,F-WZGO,9V-SMQ,Singapore AL,08.09.17,350-941,C
134,23.08.17,F-WZGY,OH-LWL,Finnair,22.09.17,350-941,C
135,20.07.17,F-WZNC,N502DN,Delta AL,10.08.17,350-941,C
136,28.07.17,F-WZNI,D-AIXE,Lufthansa,30.08.17,350-941,C
137,08.09.17,F-WZNF,B-LRT,Cathay Pacific,29.09.17,350-941,C
138,27.07.17,F-WZNS,B-18909,China AL,14.09.17,350-941,C
139,,,,LATAM,,350-941,
140,07.09.17,F-WZND,9V-SMR,Singapore AL,29.09.17,350-941,C
141,01.10.18,F-WZNK,A7-ANE,Qatar AW,15.11.18,350-1041,C
142,12.08.17,F-WZNS,HS-THH,Thai AW International,22.09.17,350-941,C
143,16.03.18,F-WZFO,A7-ALZ,Qatar AW,18.04.18,350-941,C
144,05.09.17,F-WZNJ,HL7578,Asiana AL,26.09.17,350-941,C
145,22.09.17,F-WZNN,3B-NBP,Air Mauritius,18.10.17,350-941,C
146,24.10.17,F-WZNY,D-AIXF,Lufthansa,16.11.17,350-941,C
147,03.10.17,F-WZNL,ET-AUC,Ethiopian AL,20.10.17,350-941,C
148,06.09.17,F-WZGT,B-LRU,Cathay Pacific,26.10.17,350-941,C
149,27.09.17,F-WZNA,N503DN,Delta AL,31.10.17,350-941,C
150,06.10.17,F-WZNP,VN-A894,Vietnam AL,03.11.17,350-941,C
151,03.10.17,F-WZNV,B-18910,China AL,07.11.17,350-941,C
152,,,,LATAM,,350-941,
153,04.10.17,F-WZNU,B-LGB,Hong Kong AL,20.11.17,350-941,
,,F-WXAM,PR-AOX,Azul L.A.,due22,,STD
154,10.10.17,F-WZNQ,B-LRV,Cathay Pacific,30.10.17,350-941,C
155,09.11.17,F-WZNO,B-LRX,Cathay Pacific,08.12.17,350-941,C
156,,,,American AL,,350-941,
157,31.10.17,F-WZFQ,3B-NBQ,Air Mauritius,23.11.17,350-941,C
158,20.10.17,F-WZNZ,9V-SMS,Singapore AL,30.11.17,350-941,C
159,09.11.17,F-WZFG,9M-MAB,Malaysia AL,29.11.17,350-941,C
160,11.11.17,F-WZFZ,N504DN,Delta AL,28.11.17,350-941,C
161,13.11.18,F-WWBW,A7-ANF,Qatar AW,18.12.18,350-1041,C
162,13.11.17,F-WZHC,B-18912,China AL,30.11.17,350-941,C
163,19.07.18,F-WZGF,A7-AME,Qatar AW,10.09.18,350-941,C
164,07.11.17,F-WZHD,N505DN,Delta AL,11.12.17,350-941,C
165,30.11.17,F-WZHE,9M-MAC,Malaysia AL,22.12.17,350-941,C
166,,,,American AL,,350-941,
167,31.05.18,F-WZHG,B-1086,Air China,08.08.18,350-941,C
168,23.10.17,F-WZHF,B-LGC,Hong Kong AL,29.11.17,350-941,
,,"F-WXAN, F-WTAO",PR-AOY,Azul L.A.,27.09.22,,C
169,01.08.18,F-WZGW,B-LXB,Cathay Pacific,30.08.18,350-1041,C
170,06.12.17,F-WZHH,9V-SMT,Singapore AL,22.12.17,350-941,C
171,,,,SriLankan AL,,350-941,
172,23.08.18,F-WWDW,A7-AMF,Qatar AW,28.09.18,350-941,C
