c/n;f/f;testreg;regi;operator;d/d;type;St
339;15.05.00;F-WWYZ;C-GGWD;Canada 3000 lsd;26.05.00;330-202;
;;;I-VLEF;Volare AL lsd;11.04.02;;
;;;EI-DIP;Calliope Ltd;28.10.04;;
;;;A6-EYW;Etihad AW lsd;04.05.05;;
;;;EI-DIP;Air One lsd;10.03.08;;
;;;;Alitalia;13.01.09;;STD
340;17.04.00;F-WWYY;A4O-KF;Gulf Air;29.05.00;330-243;
;;;A9C-KF;Gulf Air rr;03.12.07;;SCR
341;03.05.00;F-WWYD;4R-ALF;Srilankan AL;15.06.00;330-243;W/O
342;15.06.00;F-WWYB;N674UW;US AW lsd;27.06.00;330-323X;
;;;N274AY;US AW rr;12.09.06;;
;;;;American AL;10.12.13;;STD
343;18.05.00;F-WWYA;HB-IQO;Swissair;23.06.00;330-223;
;;;;Swiss Int'l AL lsd;31.03.02;;
;;;TC-ETP;Atlas Jet Int'l lsd;14.06.10;;
;;;;Saudi Arabian AL slsd;03.08.10;;
;;;;AtlasJet Int'l ret;22.12.10;;
;;;N772RD;Ryan Int'l AL;25.07.12;;
;;;;Atlasjet Int'l lsd;14.09.12;;
;;;TF-EAA;Saudi Arabian AL slsd;01.07.13;;
;;F-WTAX;F-WTDD;Azur Air;s12.01.17;;
;;;F-HHUB;Air Caraibes lsd;31.03.17;;C
344;15.06.00;F-WWYC;C-GFUR;Air Canada;30.06.00;330-343E;C
345;13.09.00;F-WWYI;A6-EKZ;Emirates AL;27.10.00;330-243;
;;;TS-IRA;Syphax AL lsd;20.06.13;;
;;F-WHUS;TC-OCG;Onur Air;25.12.15;;
;;;5A-OSA;Oya International AL;26.11.21;;C
346;06.06.00;F-WWYE;HS-TEM;Thai AW Int;19.07.00;330-323X;STD
347;16.06.00;F-WWJT;D-AIGZ;Lufthansa;29.06.00;340-313X;C
348;30.08.00;F-WWYK;A6-EAA;Emirates AL;15.12.00;330-243;
;;;HC-COH;TAME lsd;09.07.13;;SCR
349;30.06.00;F-WWYG;OY-VKG;Airtours/Premiair;24.07.00;330-343;
;;;;MyTravel AW nn;01.05.02;;
;;;;Garuda slsd;27.12.03;;
;;;;MyTravel AW ret;00.03.04;;
;;;;Garuda Indonesian AL slsd;14.12.04;;
;;;;MyTravel AW ret;23.02.05;;
;;;;Garuda Indonesian AL slsd;03.12.05;;
;;;;MyTravel AW ret;21.03.06;;
;;;;Garuda Indonesian AL slsd;18.11.06;;
;;;;MyTravel AW ret;03.02.07;;
;;;;Garuda Indonesian AL slsd;03.12.07;;
;;;;MyTravel AW ret;23.01.08;;
;;;;Thomas Cook AL Scandinavia ret;21.04.08;;
;;;;Garuda Indonesian AL slsd;30.11.08;;
;;;;Thomas Cook AL Scandinavia ret;15.01.09;;
;;;;Garuda Indonesian AW slsd;10.10.10;;
;;;;Thomas Cook AL Scandinavia ret;20.12.10;;
;;;;Sunclass AL nn;31.10.19;;
;;N349UK;T7-ULS;ULS AL Cargo;11.05.21;*F;C
350;07.07.00;F-WWYF;HL7585;Korean Air;26.07.00;330-323X;C
351;26.07.00;F-WWYH;HL7586;Korean Air;10.08.00;330-323X;C
352;20.06.00;F-WWJU;D-AIFA;Lufthansa;25.08.00;340-313X;W/O
353;30.08.00;F-WWYN;SE-RBF;Fll/Novair AL;29.09.00;330-223;
;;;;Libyan Arab AL slsd;20.03.02;;
;;;;Air Luxor slsd;15.05.02;;
;;;;Novair ret;27.10.02;;
;;;;Cubana slsd;16.02.03;;
;;;;Air Luxor slsd;21.06.03;;
;;;;Novair ret;02.11.03;;
;;;VT-IWA;Air India lsd;26.09.07;;
;;G-CINP;TC-OCE;Onur Air;16.09.15;;
;;;;Saudi Arabian AL slsd;17.09.15;;
;;;;Onur Air ret;23.10.18;;STD
354;12.07.00;F-WWJV;D-AIGX;Lufthansa;08.09.00;340-313X;
;;;OO-SCX;Brussels AL lsd;20.03.18;;
;;;D-AIGX;Lufthansa ret;23.06.19;;C
355;29.08.00;F-WWJX;D-AIFB;Lufthansa;06.10.00;340-313X;
;;;16+02;German Air Force;04.07.11;;C
356;20.07.00;F-WWYJ;OY-VKH;Airtours/Premiair;10.08.00;330-343E;
;;;;MyTravel AW nn;01.05.02;;
;;;;Garuda lsd;19.12.03;;
;;;;MyTravel AW ret;05.03.04;;
;;;;Garuda Indonesian AL slsd;10.12.04;;
;;;;MyTravel AW ret;23.02.05;;
;;;;Garuda Indonesian AL slsd;01.12.05;;
;;;;MyTravel AW ret;00.01.06;;
;;;;Garuda Indonesian AL slsd;21.11.06;;
;;;;MyTravel AW ret;24.01.08;;
;;;;Garuda Indonesian AL slsd;20.11.08;;
;;;;Thomas Cook AL Scandinavia ret;16.01.09;;
;;;;Garuda Indonesian AL slsd;19.10.09;;
;;;;Thomas Cook AL Scandinavia ret;01.01.10;;
;;;;Garuda Indonesian AW slsd;10.10.10;;
;;;;Thomas Cook AL Scandinavia ret;20.12.10;;
;;;;Sunclass AL nn;31.10.19;;
;;N356UK;T7-SERES;ULS AL Cargo;20.08.21;;C
357;10.08.00;F-WWKA;OY-VKI;Airtours/Premiair;15.09.00;330-343E;
;;;;MyTravel AW nn;01.05.02;;
;;;;Garuda lsd;20.12.03;;
;;;;MyTravel AW ret;06.03.04;;
;;;;Garuda Indonesian AL slsd;16.12.04;;
;;;;MyTravel AW ret;23.02.05;;
;;;;Garuda Indonesian AL slsd;01.12.05;;
;;;C-GVKI;Skyservice AL lsd;05.05.06;;
;;;OY-VKI;MyTravel AW ret;24.10.06;;
;;;;Garuda Indonesian AL slsd;22.11.06;;
;;;;MyTravel AW ret;29.04.07;;
;;;C-GVKI;Skyservice AL lsd;03.05.07;;
;;;OY-VKI;MyTravel AW ret;26.10.07;;
;;;;Garuda Indonesian AL slsd;15.11.07;;
;;;;MyTravel AW ret;24.01.08;;
;;;C-GVKI;Skyservice AL lsd;30.04.08;;
;;;OY-VKI;Garuda Indonesian AL slsd;24.10.08;;
;;;;Thomas Cook AL Scandinavia ret;11.01.09;;
;;;;Garuda Indonesian AL slsd;19.10.09;;
;;;;Thomas Cook AL Scandinavia ret;02.01.10;;
;;;;Garuda Indonesian AW slsd;10.10.10;;
;;;;Thomas Cook AL Scandinavia ret;22.12.10;;
;;;;Sunclass AL nn;31.10.19;;C
358;08.09.00;F-WWYO;TU-TAX;Air Afrique lsd;29.09.00;330-223;
;;;EI-CXF;Calliope Ltd;28.02.02;;
;;;I-EEZA;Eurofly lsd;26.09.02;;
;;;TC-ETK;Atlas Jet Int'l lsd;12.05.09;;
;;;;Saudi Arabian AL slsd;25.09.11;;
;;;;Strategic AL slsd;12.12.11;;
;;;;Atlasjet Int'l AL ret;24.02.12;;
;;;EI-CXF;Calliope Ltd;26.07.12;;
;;;LV-FNK;Aerolineas Argentinas lsd;25.11.13;;STD
359;05.09.00;F-WWJY;CC-CQA;LAN Chile;27.09.00;340-313X;
;;;;LAN nn;31.03.04;;
;;;;LAN AL nn;23.07.04;;SCR
360;23.04.01;F-WWTA;F-WWCA;Airbus 340-600 proto;23.04.01;340-642;STD
361;05.10.00;F-WWYM;PT-MVE;TAM Brasil;10.11.00;330-223;
;;;A6-EYA;Etihad AW lsd;15.11.03;;
;;;PT-MVE;TAM ret;19.10.06;;SCR
362;26.09.00;F-WWKD;SE-RBG;Novair AL lsd ;20.10.00;330-223;
;;;;Air Madrid slsd;24.06.05;;
;;;;Novair ret;10.01.07;;
;;;;TUI AL Belgium slsd;25.02.07;;
;;;;Novair ret;25.03.07;;
;;;;Kuwait AW lsd;20.06.07;;
;;;;Novair ret;12.09.07;;
;;;VT-IWB;Air India lsd;29.11.07;;
;;G-CINR;TC-OCF;Onur Air;06.10.15;;
;;;N137AR;AAR Corporation;r07.02.20;;SCR
363;21.09.00;F-WWJZ;CC-CQC;LAN Chile;27.10.00;340-313X;
;;;;LAN nn;31.03.04;;
;;;;LAN AL nn;23.07.04;;SCR
364;17.10.00;F-WWKE;TU-TAY;Air Afrique lsd;16.11.00;330-223;
;;;EI-CXG;Calliope Ltd;28.02.02;;
;;;I-EEZB;Eurofly lsd;07.08.02;;
;;;TC-ETL;Saudi Arabian AL slsd;08.07.09;;
;;;;Atlasjet Int'l AL ret;05.02.12;;
;;;EI-CXG;Calliope Ltd;02.03.12;;
;;;LV-FNL;Aerolineas Argentinas lsd;20.12.13;;
;;;N640CL;Carlyle Avtn Partners;r14.02.22;;STD
365;25.10.00;F-WWKB;A6-EAB;Emirates AL;30.11.00;330-243;
;;;VH-XFA;Virgin Blue AL lsd;03.03.11;;
;;;;Virgin Australia nn;04.05.11;;
;;;PR-AIY;Azul Linhas Aereas lsd;29.10.14;;
;;;CS-TOS;TAP Air Portugal;09.05.16;;
;;;PR-AIY;Azul Linhas Aereas ret;21.10.17;;C
366;01.07.00;F-WWYZ;HB-IQP;Swissair;22.05.01;330-223;
;;;;Swiss Int'l AL lsd;31.03.02;;
;;;VN-A375;Vietnam AL lsd;02.07.09;;
;;;N366SA;BoU;r30.07.18;;SCR
367;27.10.00;;F-GTUA;AOM-Air Outre Mer lsd;01.12.00;340-313X;
;;;;Airlib nn;     10.01;;
;;;4R-ADE;SriLankan AL lsd;21.10.03;;
;;;9H-SUN;Hi Fly Malta lsd;22.01.16;;C
368;08.11.00;F-WWKF;HL7587;Korean Air;29.11.00;330-323X;C
369;08.11.00;F-WWKG;HB-IQZ;Edelweiss Air lsd;17.11.00;330-243;
;;;C-GTSN;Air Transat lsd;18.11.10;;
;;;;XL AW slsd;25.12.10;;
;;;;Air Transat ret;00.06.11;;
;;;;Garuda Indonesian AW slsd;29.09.11;;
;;;;XL AW France slsd;16.12.11;;
;;;;Travel Service AL slsd;29.10.16;;
;;;;Air Transat ret;ar04.17;;
;;;N369BV;AerCap ret;r11.02.21;;STD
370;15.11.00;F-WWKH;N675US;US AW lsd;07.12.00;330-323X;
;;;N275AY;US AW rr;19.09.06;;
;;;;American AL;10.12.13;;STD
371;18.06.01;F-WWBT;F-WWCB;Airbus 340-600 #2 proto;18.06.01;340-642;
;;;G-VGOA;Virgin Atlantic AW;30.08.03;;
;;;YI-ASL;Alnaser AL lsd;30.07.14;;
;;;EP-MME;Mahan Air tfd;08.05.15;;C
372;20.11.00;F-WWYQ;A6-EAC;Emirates AL;21.12.00;330-243;
;;;VH-XFB;Virgin Austalia lsd;19.04.11;;
;;;PR-AIX;Azul Linhas Aereas lsd;10.12.14;;
;;;CS-TOT;TAP Air Portugal;07.16;;
;;;PR-AIX;Azul Linhas Aereas ret;15.05.17;;C
373;30.10.00;;F-GNIH;Air France lsd;04.12.00;340-313X;
;;;LV-CSX;Aerolineas Argentinas;19.11.11;;
;;;N373UA;Unical Avtn;r19.10.17;;SCR
374;01.12.00;;F-GTUB;Fll/AOM-Air Outre Mer;20.12.00;340-313X;
;;;;Airlib nn;     10.01;;
;;;4R-ADF;SriLankan AL lsd;25.10.03;*312X;
;;M-VVIP;9H-BIG;Air X Charter;r15.09.16;;C
375;14.12.00;F-WWKI;N676UW;US AW lsd;12.01.01;330-323X;
;;;N276AY;US AW rr;19.09.06;;
;;;;American AL;10.12.13;;STD
376;24.09.01;F-WWCC;;Airbus 340-600 #3;24.09.01;340-642;
;;;G-VATL;Virgin Atlantic AW;31.10.03;;
;;;YI-ASM;Alnaser AL lsd;03.07.14;;
;;;EP-MMF;Mahan Air tfd;08.05.15;;
;;;YV3533;Conviasa;15.03.22;;C
377;01.12.00;;F-GLZU;Air France lsd;15.12.00;340-313X;SCR
378;15.12.00;F-WWJI;EC-HQF;Iberia;16.01.01;340-313X;
;;F-WJKF;ZS-SXG;South African AW lsd;22.10.10;;C
379;15.12.00;F-WWJJ;D-AIFC;Lufthansa;26.01.01;340-313X;C
380;08.01.01;F-WWYL;N677UW;US AW;15.02.01;330-323X;
;;;N277AY;US AW rr;12.09.06;;
;;;;American AL;10.12.13;;STD
381;21.12.00;F-WWJB;B-HXL;Cathay Pacific;22.01.01;340-313X;
;;;4R-ADG;SriLankan AL lsd;08.06.11;;
;;N322AK;UP-A4001;Bek Air/Mahan Air;s08.10.16;*312;
;;TT-WAG;YK-AZA;Syrianair;10.02.17;;C
382;12.01.01;F-WWYR;A6-EAD;Emirates AL;26.01.01;330-243;SCR
383;11.06.02;F-WWCD;G-VSHY;Virgin Atlantic AW;26.07.02;340-642;
;;;9H-SEA;Hi Fly Malta lsd;03.07.13;;
;;;YI-ASN;Alnaser AL;01.09.14;;
;;;YI-NAA;Alnaser AL rr;08.02.15;;
;;;EP-MMG;Mahan AL tfd;08.05.15;;C
384;21.12.00;F-WWYS;A6-EAE;Emirates AL;31.01.01;330-243;SCR
385;01.02.01;F-WWJC;F-OJGF;Air Tahiti Nui;28.12.01;340-313X;SCR
386;18.01.01;F-WWYT;B-HLM;Cathay Pacific;15.02.01;330-343E;
;;;;Cathay Dragon tfd;30.07.19;;STD
387;26.01.01;F-WWJD;EC-HQH;Iberia;01.03.01;340-313X;
;;F-WWJK;EC-LHM;Iberia lsd;15.07.10;;
;;;RP-C3438;Philippine AL lsd;22.10.13;;
;;N387MR;YA-KMH;Kam Air;13.07.18;;C
388;12.02.01;F-WWYU;N678US;US AW;01.03.01;330-323X;
;;;N278AY;US AW rr;03.10.06;;
;;;;American AL;10.12.13;;STD
389;25.01.01;F-WWYV;B-HLN;Cathay Pacific;23.02.01;330-343E;
;;;;Cathay Dragon tfd;25.10.19;;STD
390;08.02.01;F-WWJE;D-AIFD;Lufthansa;16.03.01;340-313X;C
391;02.09.02;F-WWCK;G-VMEG;Virgin Atlantic AW;05.10.02;340-642;
;;9H-TEP;YI-ASN;Alnaser AL;06.02.15;;
;;;EP-MMH;Mahan Air tfd;08.05.15;;C
392;09.03.01;F-WWYX;A6-EAF;Emirates AL;28.03.01;330-243;
;;EI-FSI;SU-ALC;Air Leisure;10.03.17;;
;;;;Azman Air lsd;02.10.17;;
;;;;Air Leisure ret;22.03.18;;STD
393;13.03.01;F-WWYY;B-HLO;Cathay Pacific;30.03.01;330-343E;
;;;;Cathay Dragon tfd;10.01.20;;
;;;;Cathay Pacifc tfd;20.01.20;;C
394;11.02.02;F-WWAI;F-WWTE;Airbus 340-500 proto #1;11.02.02;340-541;
;;;A6-ERF;Emirates AL;30.07.04;;SCR
395;25.06.01;F-WWJF;C-GZIA;Canada 3000 AL lsd;19.09.01;340-313X;
;;;F-OJTN;Air Tahiti Nui lsd;18.01.02;;
;;;;Air Caledonie Int'l slsd;17.08.14;;
;;;;Air Tahiti Nui ret;14;;STD
396;21.02.01;F-WWKJ;A6-EAG;Emirates AL;06.04.01;330-243;
;;OE-IEG;B-LHA;Hong Kong AL;14.02.18;;STD
397;16.03.01;F-WWKK;EI-DAA;Aer Lingus;17.04.01;330-202;
;;;;Novair AL lsd;01.12.14;;
;;;;Aer Lingus ret;31.03.15;;C
398;09.04.01;F-WWKL;G-WWBM;bmi British Midland;27.04.01;330-243;
;;;;South African AW lsd;16.12.02;;
;;;;bmi British Midland ret;30.05.03;;
;;;;THY Turkish AL slsd;10.06.10;;
;;;;bmi British Midland ret;31.03.11;;
;;;G-CHTZ;Thomas Cook AL;31.10.13;;
;;N839AG;;;;;SCR
399;08.03.01;;F-GNII;Air France;06.04.01;340-313X;
;;;EC-MQM;Plus Ultra L.A.;21.06.17;;C
400;23.03.01;F-WWKM;C-GHKR;Air Canada;16.05.01;330-343E;C
401;13.04.01;F-WWKN;G-WWBD;bmi British Midland;09.05.01;330-243;
;;;;SAS slsd;09.05.01;;
;;;;bmi British Midland ret;15.11.01;;
;;;;South African AW lsd;02.12.02;;
;;;;bmi British Midland ret;30.11.03;;
;;;;Virgin Nigeria AW lsd;28.01.07;;
;;;;bmi British Midland ret;10.05.07;;SCR
402;03.04.01;F-WWJG;B-18801;China AL;26.04.01;340-313X;
;;;N402XA;Aersale Inc;r18.04.18;;SCR
403;03.04.01;F-WWKO;D-ALPA;LTU Int'l AW;18.05.01;330-223;
;;;;Air Berlin tfd;27.03.09;;
;;;G-VMNK;Virgin Atlantic AW lsd;r02.02.18;;SCR
404;09.05.01;F-WWKP;G-WWBB;bmi British Midland lsd;30.05.01;330-243;
;;;;South African AW slsd;19.12.02;;
;;;;bmi British Midland ret;31.05.03;;
;;;4R-ALG;SriLankan AL slsd;15.07.10;;
;;;TC-OCK;Onur Air lsd;04.16;;SCR
405;27.04.01;F-WWKQ;B-HYG;Dragonair;29.05.01;330-343E;
;;;;Cathay Dragon nn;22.11.16;;STD
406;17.05.01;F-WWJK;B-18802;China AL;08.06.01;340-313X;
;;;3DC-SDF;Swazi Gvmt-King Mswati III;05.16;;C
407;21.05.01;F-WWKR;B-HYH;Dragonair lsd;11.06.01;330-343E;
;;;TC-SGJ;Saga AL lsd;29.08.09;;
;;;;THY Turkish AL slsd;21.10.09;;
;;;;Saga AL ret;11.06.10;;
;;;;Mongolian AL slsd;30.06.10;;
;;;;THY Turkish AL slsd;01.11.10;;
;;;C-GTSD;Air Transat lsd;08.07.11;;
;;;;Garuda Indonesian AW slsd;16.09.12;;
;;;;Air Transat ret;29.11.12;;
;;;;Garuda Indonesian AW slsd;07.09.13;;
;;;;Air Transat ret;20.11.13;;
;;;;XL AW France slsd;s15.12.15;;
;;;;Air Transat ret;05.16;;C
408;28.05.01;F-WWKS;C-GHKW;Air Canada;19.06.01;330-343E;C
409;15.05.01;F-WWKT;A6-EAH;Emirates AL;22.06.01;330-243;
;;2-RLAI;JY-JVA;Jordan Aviation;r30.05.16;;C
410;16.10.02;F-WWCE;ZS-SNA;South African AW;24.12.02;340-642;STD
411;11.06.01;F-WWJL;B-18803;China AL;28.06.01;340-313X;
;;N411XA;;;;;SCR
412;12.06.01;F-WWKU;C-GHKX;Air Canada;28.06.01;330-343E;C
413;29.06.01;F-WWJM;SE-REA;SAS;20.07.01;340-313X;
;;;LN-RKF;SAS rr lsd;28.11.01;;SCR
414;05.06.01;F-WWJN;EC-HQN;Iberia;10.07.01;340-313X;
;;OE-IAN;EC-LKS;Iberia;03.03.11;;SCR
415;05.07.01;F-WWJO;B-18805;China AL;20.07.01;340-313X;
;;N415XA;;;;;SCR
416;10.10.02;F-WWCF;G-VOGE;Virgin Atlantic AW;29.11.02;340-642;
;;;9H-TEQ;Hi Fly Malta lsd;15.10.14;;
;;;YI-NAD;Alnaser AL;18.11.14;;
;;;EP-MMI;Mahan Air;08.05.15;;
;;;YV3535;Conviasa;s12.06.22;;C
417;04.12.02;F-WWCG;ZS-SNB;South African AW;20.12.02;340-642;STD
418;25.07.01;F-WWKV;B-HLP;Cathay Pacific AW;10.08.01;330-343E;C
419;30.07.01;F-WWYA;C-GHLM;Air Canada;16.08.01;330-343E;C
420;10.08.01;F-WWYB;B-HLQ;Cathay Pacific AW;31.08.01;330-343E;C
421;07.09.01;F-WWYC;B-HLR;Cathay Pacific AW;28.09.01;330-343E;C
422;24.08.01;;F-GZCA;Air France lsd;20.12.01;330-203;C
423;11.09.01;F-WWYD;B-HLS;Cathay Pacific AW;05.10.01;330-343E;C
424;06.09.01;F-WWJP;SE-REB;SAS;26.09.01;340-313X;
;;;LN-RKG;SAS rr lsd;30.11.01;;SCR
425;03.09.01;F-WWYE;HL7701;Korean Air;25.10.01;330-323X;
;;;OK-YBA;CSA Czech AL lsd;14.05.13;;STD
426;30.01.03;F-WWCH;ZS-SNC;South African AW;11.02.03;340-642;C
427;09.10.01;F-WWYH;G-OJMB;JMC AL lsd;09.11.01;330-243;
;;;;Garuda Indonesian AW slsd;17.01.02;;
;;;;JMC AL ret;27.03.02;;
;;;;MEA-Middle East AL lsd;25.01.03;;
;;;;Thomas Cook AL ret;22.02.03;;
;;;;Garuda Indonesian AL slsd;24.11.06;;
;;;;Thomas Cook AL ret;00.02.07;;
;;;;Garuda Indonesian AL slsd;14.11.07;;
;;;;Thomas Cook AL ret;21.01.08;;
;;;C-GTSI;Air Transat lsd;20.12.11;;
;;;;Travel Service AL slsd;29.10.17;;
;;;;Air Transat ret;04.04.18;;
;;;OK-GBB;Travel Service AL Poland lsd;29.10.18;;
;;;C-GTSI;Air Transat ret;03.04.19;;
;;VP-C;;;;;STD
428;12.09.01;F-WWYF;HL7702;Korean Air;25.10.01;330-323X;C
429;12.10.01;F-WWJO;CC-CQE;LAN Chile;29.10.01;340-313X;
;;;;LAN nn;31.03.04;;
;;;;LAN AL nn;23.07.04;;SCR
430;11.10.01;F-WWJR;OY-KBI;SAS lsd;15.11.01;340-313X;SCR
431;07.06.03;F-WWCI;EC-INO;Iberia;24.06.03;340-642;
;;;9H-FFC;Air X Charter;r01.21;;
;;;TF-MFC;Air Atlanta Icelandic;03.11.21;;C
432;09.10.01;F-WWYG;D-ALPB;LTU Int'l AW lsd;09.11.01;330-223;
;;;;Air Berlin tfd;17.04.09;;
;;;G-VMIK;Virgin Atlantic AW lsd;24.01.18;;STD
433;09.10.01;F-WWJS;B-18806;China AL;31.10.01;340-313X;SCR
434;26.09.01;F-WWJT;D-AIFE;Lufthansa;29.10.01;340-313X;C
435;11.10.01;F-WWJU;OY-KBA;SAS lsd;16.11.01;340-313X;STD
436;28.09.02;F-WWCJ;B-HQA;Cathay Pacific AW lsd;19.12.02;340-642;
;;;B-6508;Hainan AL lsd;03.02.09;;
;;;N711LF;BoU;14.11.14;;SCR
437;07.11.01;F-WWYI;A6-EAI;Emirates AL;26.11.01;330-243;
;;F-WJKF;TC-OCH;Onur Air lsd;03.03.16;;W/O
438;08.11.01;F-WWJV;F-OSEA;Air Tahiti Nui lsd;27.12.02;340-313X;SCR
439;14.11.01;F-WWYJ;B-HLT;Cathay Pacific AW;28.11.01;330-343E;
;;;;Cathay Dragon tfd;03.09.19;;STD
440;01.08.03;F-WWCL;EC-IOB;Iberia;27.08.03;340-642;
;;;9H-LFC;Air X Charter;r01.21;;
;;;TF-LFC;Air Atlanta Icelandic;21.10.21;;C
441;27.11.01;F-WWYK;A7-ACH;Qatar AW;12.12.03;330-203*202;
;;;EI-GEY;Aer Lingus;s11.05.18;;C
442;15.11.01;F-WWJY;CC-CQF;LAN Chile;14.12.01;340-313X;
;;;;LAN nn;31.03.04;;
;;;;LAN AL nn;23.07.04;;SCR
443;29.11.01;;F-GZCB;Air France;17.12.01;330-203;C
444;16.01.02;F-WWKD;D-ALPC;LTU Int'l AW lsd;31.01.02;330-223;
;;;;Air Berlin tfd;02.06.09;;
;;EI-GFD;F-HTIC;Aigle Azur lsd;14.06.18;;STD
445;07.01.03;F-WWTH;C-GKOL;Air Canada;26.07.04;340-541;
;;;PT-MSN;TAM lsd;13.11.07;;SCR
446;04.12.01;F-WWJA;F-OSUN;Air Tahiti Nui lsd;27.12.02;340-313X;SCR
447;06.12.01;F-WWJB;D-AIFF;Lufthansa;21.12.01;340-313X;C
448;09.01.02;;F-GZCC;Air France lsd;29.01.02;330-203;C
449;03.12.02;F-WWCM;G-VFOX;Virgin Atlantic AW;23.12.02;340-642;
;;;9H-TER;Hi Fly Malta lsd;18.11.14;;
;;;YI-NAE;Alnaser AL lsd;26.11.14;;
;;;EP-MMQ;Mahan Air;08.05.15;;C
450;10.01.02;F-WWJD;OY-KBM;SAS lsd;01.02.02;340-313X;
;;;;Hi Fly slsd;02.07.10;;
;;;;Adagold Aviation slsd;04.01.11;;
;;;;Hi Fly ret;26.05.11;;
;;;;SAS ret;19.01.12;;STD
451;09.01.02;F-WWKE;A6-EAJ;Emirates AL;29.01.02;330-243;
;;F-WJKG;9H-CLX;Comlux Malta;07.15;;
;;;P4-MLO;Comlux Aruba tfd;05.19;;C
452;04.02.02;F-WWKF;A6-EAK;Emirates AL;27.02.02;330-243;
;;OE-IFL;B-LHB;Hong Kong AL;13.06.18;;STD
453;16.11.02;F-WWCN;B-HQB;Cathay Pacific AW lsd;29.11.02;340-642;
;;;B-6509;Hainan AL lsd;03.06.09;;
;;;N171LF;BOU;08.10.14;;SCR
454;22.01.02;F-WWKG;D-ALPD;LTU Int'l AW lsd;14.02.02;330-223;
;;;;Air Berlin tfd;08.05.09;;
;;EI-GFE;EC-MTT;Wamos Air lsd;02.03.18;;
;;N454AD;;;;;STD
455;04.02.03;F-WWKH;A6-EAS;Emirates AL;09.10.03;330-243;
;;F-WTAX;C-GUBH;Air Transat;r18.09.17;;C
456;07.02.02;F-WWKI;G-OJMC;JMC AL lsd;05.03.02;330-243;
;;;;Thomas Cook AL nn;01.03.03;;
;;;4R-ALJ;SriLankan AL lsd;09.03.12;;
;;OE-ILX;EI-GVH;I-Fly lsd;14.03.21;;C
457;23.07.03;F-WWTI;A6-ERA;Emirates AL;22.11.03;340-541;
;;;F-WHUG;;s23.12.14;;SCR
458;25.02.02;;F-GZCD;Air France lsd;19.03.02;330-203;C
459;30.01.02;F-WWJU;EC-ICF;Iberia;28.02.02;340-313X;
;;;RP-C3439;Philippine AL lsd;02.04.14;;
;;OE-IAL;EC-NBU;Plus Ultra L.A.;04.19;;C
460;17.09.03;F-WWCO;EC-IQR;Iberia;06.10.03;340-642;STD
461;19.03.02;F-WWKL;EC-IDB;Iberworld lsd;09.04.02;330-243;
;;;;Garuda Indonesian AW slsd;29.12.04;;
;;;;Iberworld ret;04.03.05;;
;;;;Etihad AW slsd;11.12.05;;
;;;;Surinam AW slsd;25.03.06;;
;;;;Air Comet slsd;27.12.06;;
;;;CS-TRA;Orbest slsd;18.05.07;;
;;;;Novair slsd;00.12.07;;
;;;;Orbest ret;16.04.09;;
;;;;Novair slsd;29.10.09;;
;;;;Orbest ret;14.04.10;;
;;;EC-LKE;Air Europa lsd;22.12.10;;
;;;;Orbest ret;15.07.12;;
;;;EC-LVL;Air Europa lsd;26.03.13;;
;;OE-IRD;;;;;STD
462;19.02.02;F-WWKK;A6-EAL;Emirates AL lsd;12.03.02;330-243;
;;N181LF;B-5907;Sichuan AL lsd;02.07.12;;
;;2-LYSE;PR-AIW;Azul Linhas Aereas;11.12.14;;C
463;19.11.02;F-WWKN;I-VLEG;Volare AL lsd;27.11.02;330-203;
;;EI-DDU;A7-AFN;Qatar AW lsd;06.02.04;*-202;
;;;TC-JNF;THY Turkish AL;15.05.09;;
;;;EI-DDU;GECAS-Celestial AT;r31.08.17;;SCR
464;28.03.03;F-WWTJ;C-GKOM;Air Canada;28.06.04;340-541;
;;;PT-MSL;TAM lsd;14.11.07;;
;;;D-AAAL;Lufthansa Technik;04.12.14;;STD
465;12.03.02;F-WWKM;F-GZCE;Air France lsd;28.03.02;330-203;C
466;26.03.02;F-WWKP;PT-MVF;TAM lsd;01.07.02;330-203;
;;N478DM;9H-JFS;Maleth-Aero;02.06.21;;C
467;22.03.02;F-WWJE;OY-KBC;SAS lsd;10.04.02;340-313X;SCR
468;09.05.02;F-WWCP;B-6050;China Eastern AL;30.06.03;340-642;
;;;D-AAAU;Lufthansa Technik;20.12.14;;SCR
469;11.03.02;F-WWKO;D-ALPE;LTU Int'l AW lsd;09.04.02;330-223;
;;;;Air Berlin tfd;04.12.08;;
;;EI-GFF;EC-MTU;Wamos Air lsd;09.04.18;;STD
470;03.04.02;F-WWJF;OY-KBD;SAS lsd;29.04.02;340-313X;SCR
471;22.09.03;F-WWTK;A6-ERB;Emirates AL;23.10.03;340-541;
;;F-WXAE;;;;;SCR
472;30.04.02;F-WWKQ;PT-MVG;TAM lsd;01.07.02;330-203;
;;;EI-GEW;I-Fly;04.08.18;;
;;;9H-BFS;Maleth-Aero;r09.20;;C
473;22.04.02;F-WWKR;A7-ACA;Qatar AW;10.05.02;330-203;
;;9H-AGP;9H-RTU;Luke Air;08.11.19;;C
474;22.04.02;F-WWJG;EC-IDF;Iberia lsd;21.05.02;340-313X;
;;;RP-C3441;Philippine AL lsd;02.07.14;;
;;N474JS;C5-MIA;Macka Invest Co;s22.05.22;;STD
