c/n;f/f;testreg;regi;operator;d/d;type;St
;;;;Srilankan AL nn;15.07.99;;SCR
34;03.03.95;F-WWJY;;;;340-311 ;
;;F-WWJU;4R-ADC;Air Lanka ;22.03.95;;
;;;;Srilankan AL nn;15.07.99;;SCR
35;31.03.94;F-WWJV;D-AIGF;Lufthansa ;16.05.94;340-311 ;SCR
36;06.04.94;F-WWJX;A4O-LA;Gulf Air;17.05.94;340-312 ;
;;;;Philippine AL lsd ;    11.96;;
;;F-WHPZ;F-OHPZ;Sabena lsd;16.09.98;;
;;;4R-ADD;Srilankan AL;12.07.99;;W/O
37;20.10.93;F-WWKE;F-GMDB;Air Inter ;30.12.93;330-301 ;
;;;OO-SFN;Sabena;30.07.97;;
;;;;SN Brussels AL slsd;19.04.02;;
;;;;Brussels AL mgd;25.03.07;;STD
38;01.12.93;;F-GLZE;Air France;21.02.94;340-211 ;
;;;;AOM-Air Outre Mer;05.03.99;;
;;;;Airlib nn;    10.01;;
;;;JY-AIA;Royal Jordanian AL lsd;16.07.02;;SCR
39;25.05.94;F-WWJZ;A4O-LB;Gulf Air;18.07.94;340-312 ;
;;;;Philippine AL lsd ;01.09.96;;
;;;;Air Mauritius lsd ; 10.96;;
;;;;Gulf Air ret;01.97;;
;;;A9C-LB;Gulf Air rr;13.09.07;;SCR
40;01.07.94;F-WWJA;A4O-LC;Gulf Air;01.08.94;340-312 ;
;;;;Philippine AL lsd ; 08.96;;
;;;;Gulf Air ret;s1.11.97;;
;;;A9C-LC;Gulf Air rr;00.12.07;;SCR
41;25.11.94;F-WWJB;CS-TOA;TAP Air Portugal;22.12.94;340-312 ;SCR
42;14.10.93;F-WWKH;;Airbus test ;;330-321 ;W/O
43;02.02.94;;F-GLZF;Air France;18.03.94;340-311 ;
;;;;AOM-Air Outre Mer;18.02.99;;
;;;;Airlib nn;    10.01;;
;;;JY-AIB;Royal Jordanian AL lsd;09.08.02;;SCR
44;14.12.94;F-WWJN;CS-TOB;TAP Air Portugal;22.12.94;340-312 ;SCR
45;31.01.94;;F-GMDC;Air Inter ;21.02.94;330-301 ;
;;;OO-SFO;Sabena;12.11.97;;
;;;;SN Brussels AL slsd;22.04.02;;
;;;;Brussels AL mgd;25.03.07;;SCR
46;22.02.94;F-WWJC;A9C-HH;Bahrein Gvmt;31.03.94;340-212 ;
;;;;Lufthansa ;1.06.94?;;
;;;V8-PJB;Brunei Gvmt ;1.06.94?;;
;;;V8-BKH;Brunei Gvmt rr; 04.96? ;;
;;;V8-001;Brunei Gvmt rr;01.08.14;;STD
47;09.02.94;;F-GNID;Sabena/Air France ;08.03.94;340-311 ;
;;;OO-SCY;Sabena ret;24.03.97;;
;;F-WQRH;D-AIMF;Lufthansa lsd;10.05.03;;
;;;V5-NMF;Air Namibia lsd;05.09.06;;SCR
48;26.04.94;F-WWJD;3B-NAT;Air Mauritius lsd ;18.05.94;340-312 ;
;;;6Y-JMC;Air Jamaica lsd;21.05.99;;
;;;C-FDRO;Air Canada lsd;30.06.05;;
;;;LV-BMT;Aerolineas Argentinas lsd;05.12.07;;SCR
49;18.03.94;;F-GLZG;Air France lsd;08.04.94;340-311 ;
;;;PZ-TCP;Surinam AW lsd;09.12.09;;SCR
50;28.03.94;F-WWKI;HS-TEA;Thai AW Int ;20.01.95;330-321 ;STD
51;18.03.94;;F-GNIE;Sabena/Air France ;27.04.94;340-311 ;
;;;OO-SCZ;Sabena ret;15.04.97;;
;;F-WQRI;D-AIMG;Lufthansa lsd;28.02.03;;
;;;V5-NME;Air Namibia lsd;28.11.05;;SCR
52;30.06.94;F-WWJQ;D-AIGH;Lufthansa ;12.08.94;340-311 ;SCR
53;17.10.94;F-WWJJ;D-AIGI;Lufthansa ;31.10.94;340-311 ;SCR
54;24.02.94;F-WWKJ;EI-SHN;Aer Lingus lsd;02.05.94;330-301 ;
;;;N54AN;MSA V rr;01.07.02;;
;;F-WMSA;F-OMSA;Air Algerie lsd;29.04.04;;
;;;EC-JMF;Air Madrid lsd;26.09.05;;
;;;N54AN;MSA V;01.03.07;;
;;;9M-XAA;AirAsia X lsd;11.09.07;;SCR
55;17.03.94;F-WWKP;EI-DUB;Aer Lingus lsd;11.05.94;330-301 ;
;;;VQ-BEU;Vladivostok Air lsd;05.03.10;;
;;;AP-BKL;Shaheen Air lsd;21.10.12;;SCR
56;07.12.94;F-WWJK;D-AIGK;Lufthansa ;20.12.94;340-311 ;
;;;HS-CHB;Chaba AL;06.08.12;;
;;;EX-34002;Manas AW;25.12.12;;
;;;EP-MMB;Mahan Air;01.02.13;;C
57;15.04.94;F-WWJF;TC-JDL;THY Turkish AL;28.07.94;340-311 ;STD
58;05.10.94;F-WWJE;G-VFLY;Virgin Atlantic ;24.10.94;340-311 ;
;;;OH-LQA;Finnair;12.06.06;;SCR
59;01.06.94;;F-GMDD;Air Inter ;27.06.94;330-301 ;
;;;EI-ORD;Aer Lingus;27.03.97;;SCR
60;10.08.94;F-WWKQ;HS-TEB;Thai AW Int ;09.12.94;330-321 ;SCR
61;12.04.94;F-WWJI;SU-GGG;Egypt Govmt ;22.02.95;340-211 ;C
62;12.08.94;F-WWKR;HS-TEC;Thai AW Int ;14.12.94;330-321 ;SCR
63;14.09.94;F-WWJM;VR-HMR;PAL/Cathay Pacific;26.10.94;340-211 ;
;;;F-OHPF;Philippine AL ret ;10.11.96;;
;;;LV-ZPO;Aerolineas Argentinas;15.06.99;;
;;;N630GR;GRG Aircraft and Leasing;13.09.22;;STD
64;25.11.94;F-WWKS;HS-TED;Thai AW Int ;03.02.95;330-321 ;SCR
65;13.01.95;F-WWKT;HS-TEE;Thai AW Int ;30.01.95;330-321 ;SCR
66;02.03.95;F-WWKJ;HS-TEF;Thai AW Int ;24.03.95;330-321 ;STD
67;10.02.95;F-WWKK;9M-MKA;Malaysian AS;01.03.95;330-322 ;SCR
68;08.09.94;F-WWKL;9M-MKB;Malaysian AS;23.02.95;330-322 ;W/O
69;28.09.94;F-WWKM;9M-MKC;Malaysian AS;10.02.95;330-322 ;SCR
70;27.10.94;F-WWKV;EI-CRK;Aer Lingus lsd;17.11.94;330-301 ;
;;;VQ-BCW;Vladivostok Air lsd;06.05.09;;
;;;AP-BKM;Shaheen Air;18.07.12;;SCR
71;27.08.94;F-WWKU;VR-HLA;Cathay Pacific;24.03.95;330-342 ;
;;;B-HLA ;Cathay Pacific rr ;15.08.97;;
;;;;Dragonair slsd;28.09.12;;
;;;;Cathay Dragon nn;22.11.16;;SCR
72;26.01.95;F-WWKY;D-AERG;LTU lsd;28.02.95;330-321 ;
;;;EC-IJH;Iberworld lsd;08.11.02;;
;;;TC-OCA;Onur Air lsd;18.06.10;;
;;;;Saudi Arabian AL lsd;03.08.11;;
;;;;Onur Air ret;14.09.12;;SCR
73;08.03.95;F-WWKN;9M-MKD;Malaysian AS;24.03.95;330-322 ;SCR
74;27.10.94;F-WWJL;VR-HMS;PAL/Cathay Pacific;28.11.94;340-211 ;
;;F-WHPG;F-OHPG;Philippine AL ret ;18.01.97;;
;;;LV-ZPJ;Aerolineas Argentinas;04.06.99;;STD
75;02.02.95;F-WWJR;OE-LAG;Austrian AL ;28.02.95;340-212 ;
;;;F-RAJA;French Air Force lsd;08.12.06;;
;;;F-HFDD;Kenyan Red Cross lsd;03.03.21;;STD
76;21.10.94;F-WWJG;3B-NAU;Air Mauritius ;28.10.94;340-312 ;SCR
77;21.03.95;F-WWKO;9M-MKE;Malaysian AS;02.04.95;330-322 ;SCR
78;05.01.95;;F-GLZH;Air France;18.07.95;340-311 ;SCR
79;17.02.95;F-WWJS;CS-TOC;TAP Air Portugal;24.04.95;340-312 ;SCR
80;05.12.94;F-WWJC;VR-HMT;PAL/Cathay Pacific;06.02.95;340-211 ;
;;;F-OHPH;Philippine AL ret ; 02.97;;
;;;LV-ZPX;Aerolineas Argentinas;12.07.99;;STD
81;07.02.95;F-WWJO;OE-LAH;Austrian AL ;24.02.95;340-212 ;
;;F-HCEL;F-RAJB;French Air Force lsd;11.05.06;;
;;;F-HLMG;Kenyan Red Cross lsd;04.03.21;;STD
82;24.11.94;F-WWKD;D-AERF;LTU Int'l AW lsd;12.12.94;330-322 ;
;;;EC-JTB;Air Madrid lsd;16.05.06;;
;;;EI-DVB;BAL 1;22.12.06;;
;;;OO-SFW;Brussels AL lsd;11.05.07;;SCR
