c/n,f/f,testreg,regi,operator,d/d,type,St
225.0,23.06.16,F-WWSQ,A6-EUM,Emirates AL,28.12.16,380-842,C
226.0,12.07.16,F-WWSR,A6-EUN,Emirates AL,29.12.16,380-842,C
227.0,26.07.16,F-WWSA,A6-EUO,Emirates AL,29.12.16,380-842,C
228.0,14.09.16,F-WWSC,A6-EUP,Emirates AL,25.03.17,380-842,C
229.0,29.09.16,F-WWSF,A6-EUQ,Emirates AL,12.05.17,380-842,C
230.0,17.05.16,F-WWSU,HL7640,Asiana AL,25.10.16,380-841,C
231.0,10.08.16,F-WWSV,HL7641,Asiana AL,22.12.16,380-841,C
232.0,28.10.16,F-WWAE,A6-EUR,Emirates AL,16.03.18,380-842,C
233.0,25.10.16,F-WWAK,A6-API,Etihad AW,24.03.17,380-861,STD
234.0,09.02.17,F-WWAN,A6-EUS,Emirates AL,30.11.17,380-842,C
235.0,27.07.17,F-WWAO,A7-API,Qatar AW,18.12.17,380-861,C
236.0,24.01.17,F-WWAP,A6-EUT,Emirates AL,01.11.17,380-842,C
237.0,04.01.17,F-WWAR,A6-APJ,Etihad AW,24.05.17,380-861,STD
238.0,27.01.17,F-WWAY,A6-EUU,Emirates AL,30.06.18,380-842,C
239.0,20.02.17,F-WWSB,A6-EUV,Emirates AL,06.11.17,380-842,C
240.0,03.05.17,F-WWSE,A6-EUW,Emirates AL,14.09.18,380-842,C
241.0,08.03.17,F-WWSG,A6-EUX,Emirates AL,28.07.17,380-842,C
242.0,03.04.17,F-WWSX,A6-EUY,Emirates AL,29.08.17,380-842,C
243.0,17.03.17,"F-WWAQ, F-WJKF",9V-SKU,Singapore AL,06.10.17,380-841,C
244.0,08.06.17,F-WWAT,A6-EUZ,Emirates AL,29.09.17,380-842,C
245.0,,F-WWAZ,,NOT BUILT,,380-842,
246.0,,F-WWAG,,NOT BUILT,,380-842,
247.0,07.06.17,F-WWSJ,9V-SKV,Singapore AL,22.11.17,380-841,C
248.0,13.03.18,F-WWSK,A6-EVC,Emirates AL,11.05.19,380-842,C
249.0,24.04.18,F-WWSM,A6-EVD,Emirates AL,19.07.19,380-842,C
250.0,30.05.18,F-WWSU,A6-EVE,Emirates AL,28.11.18,380-842,C
251.0,20.09.17,F-WWSS,9V-SKW,Singapore AL,11.04.18,380-841,C
252.0,11.07.18,F-WWSY,A6-EVF,Emirates AL,07.12.18,380-842,C
253.0,05.01.18,F-WWAB,9V-SKY,Singapore AL,15.06.18,380-841,C
254.0,12.12.17,F-WWAJ,A7-APJ,Qatar AW,24.04.18,380-861,C
255.0,13.02.18,F-WWAM,9V-SKZ,Singapore AL,26.07.18,380-841,C
256.0,18.10.18,F-WWAD,A6-EVG,Emirates AL,18.06.19,380-842,C
257.0,30.07.18,F-WWAX,A6-EVH,Emirates AL,14.12.18,380-842,C
258.0,04.04.19,F-WWST,A6-EVI,Emirates AL,12.12.19,380-842,C
259.0,05.02.19,F-WWSA,A6-EVJ,Emirates AL,08.11.19,380-842,C
260.0,06.06.19,F-WWSD,A6-EVK,Emirates AL,21.12.19,380-842,C
261.0,24.07.19,F-WWSO,A6-EVL,Emirates AL,04.12.20,380-842,C
