f/f
06
06
07
07
07
08
08
08
08
08
08
08
08
08
08
09
09
08
09
09
09
10
11
09
09
10
11
09
11
09
10
10
09
10
09
10
09
10
10
09
09
10
11
10
10
10
10
11
10
10
11
10
10
10
11
11
10
10
10
11
11
11
11
11
11
11
11
11
12
11
11
12
11
11
12
12
12
11
12
12
12
12
12
11
11
12
11
12
12
12
12
12
12
12
12
12
12
12
13
12
14
13
12
13
12
13
13
13
13
13
13
14
13
13
13
13
13
13
13
13
13
13
13
13
13
13
14
13
13
13
13
13
14
13
14
14
14
14
14
14
14
14
14
14
14
14
14
14
17
14
14
14
14
14
14
14
14
14
14
14
14
15
15
15
15
15
15
15
15
15
15
15
15
16
15
15
16
15
15
15
15
15
15
15
15
15
15
15
15
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
16
17
17
17
17
17
17
17
17
17
17
17
17
18
18
18
17
18
18
17
18
18
18
19
19
19
19
18
18
19
19
20
20
20
20
21
21
